model,xg_range,n_players,actual_xg_90_mean,predicted_xg_90_mean,mae,r2,mean_signed_error,overestimations,underestimations
HistGradientBoostingRegressor,alto_>=0.50,13,0.6446153846153846,0.5429140642940743,0.12762308574770828,-0.5895465440642209,-0.10170132032131032,4,9
Ridge,alto_>=0.50,13,0.6446153846153846,0.5622761271742074,0.13392125820053627,-0.7533275575306373,-0.08233925744117736,2,11
GradientBoostingRegressor,alto_>=0.50,13,0.6446153846153846,0.5453090210687707,0.13473699859155258,-0.7801911270540174,-0.09930636354661387,3,10
RandomForestRegressor,alto_>=0.50,13,0.6446153846153846,0.5210002990423065,0.15097616559085003,-0.9748901943352433,-0.12361508557307815,1,12
DummyRegressor,alto_>=0.50,13,0.6446153846153846,0.15487019076513814,0.48974519385024656,-16.486907174001967,-0.48974519385024656,0,13
HistGradientBoostingRegressor,bajo_<0.10,114,0.04385964912280702,0.06370483356811026,0.02894726572728004,-1.2901943293076328,0.019845184445303234,88,26
RandomForestRegressor,bajo_<0.10,114,0.04385964912280702,0.06613558411980765,0.03024320097340457,-1.3627367696594237,0.02227593499700063,89,25
Ridge,bajo_<0.10,114,0.04385964912280702,0.0626872288586633,0.030246290294258016,-1.3413885293470975,0.0188275797358563,82,32
GradientBoostingRegressor,bajo_<0.10,114,0.04385964912280702,0.06598983167038887,0.030487455289251796,-1.4300762420337487,0.022130182547581857,89,25
DummyRegressor,bajo_<0.10,114,0.04385964912280702,0.1548701907651381,0.11101054164233108,-17.941626104923092,0.11101054164233108,114,0
Ridge,medio_alto_0.25_0.50,34,0.3652941176470588,0.3296171989344991,0.07443732137048437,-0.8004781459314598,-0.03567691871255967,8,26
HistGradientBoostingRegressor,medio_alto_0.25_0.50,34,0.3652941176470588,0.33990424842109934,0.08738381325506166,-2.051941109479612,-0.025389869225959472,11,23
RandomForestRegressor,medio_alto_0.25_0.50,34,0.3652941176470588,0.3315507730542781,0.08759895780045572,-1.9786761901414964,-0.033743344592780666,8,26
GradientBoostingRegressor,medio_alto_0.25_0.50,34,0.3652941176470588,0.3320952696117515,0.09488441785423596,-2.3913615781522366,-0.033198848035307336,10,24
DummyRegressor,medio_alto_0.25_0.50,34,0.3652941176470588,0.15487019076513805,0.21042392688192074,-10.379112809046875,-0.21042392688192074,0,34
DummyRegressor,medio_bajo_0.10_0.25,44,0.15250000000000002,0.15487019076513805,0.03839729006955801,-0.0028800860772317805,0.002370190765138081,24,20
HistGradientBoostingRegressor,medio_bajo_0.10_0.25,44,0.15250000000000002,0.15689344858565654,0.06145531606568358,-2.5581397781329356,0.0043934485856565175,18,26
Ridge,medio_bajo_0.10_0.25,44,0.15250000000000002,0.15907664950335276,0.06500998304783862,-2.0933707521060736,0.006576649503352789,22,22
RandomForestRegressor,medio_bajo_0.10_0.25,44,0.15250000000000002,0.1612929671525855,0.0657677786178128,-2.485388279998347,0.0087929671525855,18,26
GradientBoostingRegressor,medio_bajo_0.10_0.25,44,0.15250000000000002,0.16060394306421363,0.07039303732387268,-3.416651279041303,0.00810394306421361,19,25
