id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,data_source,jornada,fecha_descarga
227,Robert Lewandowski,29,2467,F S,Bayern Munich,Bundesliga,2020-2021,1.4957438184029186,1.1702312723883357,0.2553708958248885,0.175678763073504,4.925010133765707,1.1674098094852048,0.1459262261856506,0.0,1.2038913660316173,0.9214274261190576,1.1579314699335337,0.207556102086609,historical,,
6170,André Silva,32,2787,F,Eintracht Frankfurt,Bundesliga,2020-2021,0.9041980624327234,0.8266673377836352,0.1614639397201291,0.1765474377238102,3.681377825618945,1.0010764262648009,0.0322927879440258,0.0,0.6781485468245425,0.6553752202664946,0.863721938452917,0.1322851291345382,historical,,
8260,Erling Haaland,28,2416,F S,Borussia Dortmund,Bundesliga,2020-2021,1.005794701986755,0.879082595528603,0.2235099337748344,0.1503271031014572,3.4271523178807946,1.005794701986755,0.0745033112582781,0.0,0.9312913907284768,0.7661685391039348,1.013143974115813,0.2196428170180972,historical,,
956,Andrej Kramaric,28,2386,F M S,Hoffenheim,Bundesliga,2020-2021,0.7544006705783739,0.5856261645464815,0.1886001676445934,0.1536119257412969,3.583403185247276,1.4333612740989103,0.0754400670578373,0.0,0.5658005029337804,0.4427098614153547,0.6811366024234294,0.2026428356345146,historical,,
7052,Wout Weghorst,34,2954,F S,Wolfsburg,Bundesliga,2020-2021,0.6093432633716994,0.5578659511736884,0.2437373053486797,0.1653547529900445,2.8334461746784023,1.3710223425863235,0.0914014895057549,0.0,0.5484089370345294,0.4886037889696511,0.7401792792642468,0.1814274764673364,historical,,
8812,Sasa Kalajdzic,33,2146,F S,VfB Stuttgart,Bundesliga,2020-2021,0.6710158434296365,0.4713150022251103,0.2096924510717614,0.1357470392896155,2.767940354147251,1.0904007455731597,0.0419384902143522,0.0,0.6710158434296365,0.4713150022251103,0.6360223532879147,0.1512363923710093,historical,,
208,Lars Stindl,30,1985,F M S,Borussia M.Gladbach,Bundesliga,2020-2021,0.6347607052896725,0.4176332493516751,0.36272040302267,0.1698675660665149,2.53904282115869,1.9496221662468516,0.2720403022670025,0.0,0.36272040302267,0.1771372067331517,0.4847682185883936,0.1873462747698016,historical,,
155,Max Kruse,22,1648,F M S,Union Berlin,Bundesliga,2020-2021,0.6007281553398058,0.4068410341306905,0.2730582524271844,0.2267771821301792,1.6383495145631066,2.020631067961165,0.0,0.0,0.3276699029126214,0.1585493256559469,0.5097672742004823,0.2208148319843831,historical,,
224,Thomas Müller,32,2693,M S,Bayern Munich,Bundesliga,2020-2021,0.3676197549201633,0.2625484085225766,0.6015595989602673,0.3778655111175508,1.6709988860007428,3.0746379502413665,0.0,0.0,0.3341997772001485,0.2372235188802245,0.8739311191762774,0.4073886330541384,historical,,
6338,Lucas Alario,25,1238,F S,Bayer Leverkusen,Bundesliga,2020-2021,0.7996768982229403,0.5296296975688229,0.1453957996768982,0.0672622196532797,2.980613893376413,1.0904684975767367,0.1453957996768982,0.0,0.654281098546042,0.4194521038869759,0.5882831482947931,0.1386143729806861,historical,,
8807,Silas Wamangituka,25,1949,D F M S,VfB Stuttgart,Bundesliga,2020-2021,0.5079527963057978,0.3407003023131741,0.1847101077475628,0.2287049923453378,2.077988712160082,1.0620831195484863,0.2770651616213442,0.0,0.3694202154951256,0.2357239089738969,0.5621716359285223,0.0991402481854145,historical,,
993,Serge Gnabry,27,1653,M S,Bayern Munich,Bundesliga,2020-2021,0.5444646098003629,0.4227784845619691,0.1088929219600726,0.3762252859352072,3.212341197822141,2.0689655172413794,0.2177858439201452,0.0,0.5444646098003629,0.4227784845619691,1.0820645551973052,0.4759796172339882,historical,,
1236,Patrik Schick,29,1869,F S,Bayer Leverkusen,Bundesliga,2020-2021,0.4333868378812199,0.446174286042802,0.0481540930979133,0.0994373102602137,2.696629213483146,1.3001605136436598,0.1926163723916532,0.0,0.4333868378812199,0.446174286042802,0.599927676372218,0.1670675242789102,historical,,
