player_name,team_title,league,season,games,time,goals,assists,xG,xA,goals_90,xG_90,assists_90,xA_90
Robert Lewandowski,Barcelona,La-Liga,2025-2026,31,1630,14,2,16.07,2.28,0.7730061349693252,0.89,0.11042944785276074,0.13
Kylian Mbappe-Lottin,Real Madrid,La-Liga,2025-2026,31,2623,25,5,25.8,7.24,0.857796416317194,0.89,0.1715592832634388,0.25
Ferrán Torres,Barcelona,La-Liga,2025-2026,33,2025,16,2,16.18,3.16,0.7111111111111111,0.72,0.08888888888888889,0.14
Raphinha,Barcelona,La-Liga,2025-2026,22,1424,13,3,11.13,5.91,0.821629213483146,0.7,0.1896067415730337,0.37
Raul García,Osasuna,La-Liga,2025-2026,36,926,7,1,6.94,1.12,0.6803455723542117,0.67,0.09719222462203024,0.11
Carlos Espí,Levante,La-Liga,2025-2026,25,1328,11,0,9.88,0.69,0.7454819277108434,0.67,0.0,0.05
Alexander Sørloth,Atletico Madrid,La-Liga,2025-2026,35,1955,13,0,13.93,1.22,0.59846547314578,0.64,0.0,0.06
Georges Mikautadze,Villarreal,La-Liga,2025-2026,33,2155,13,6,15.06,4.15,0.54292343387471,0.63,0.2505800464037123,0.17
Vedat Muriqi,Mallorca,La-Liga,2025-2026,37,3150,23,1,21.63,2.49,0.6571428571428571,0.62,0.02857142857142857,0.07
Etta Eyong,"Levante,Villarreal",La-Liga,2025-2026,33,1657,7,4,11.02,2.82,0.38020519010259507,0.6,0.21726010863005432,0.15
Ante Budimir,Osasuna,La-Liga,2025-2026,37,2995,17,0,19.19,1.71,0.5108514190317195,0.58,0.0,0.05
Lamine Yamal,Barcelona,La-Liga,2025-2026,28,2291,16,11,14.66,12.57,0.6285464862505455,0.58,0.4321257092972501,0.49
Borja Iglesias,Celta Vigo,La-Liga,2025-2026,35,1903,14,2,11.61,1.66,0.6621124540199685,0.55,0.09458749343142406,0.08
Mikel Oyarzabal,Real Sociedad,La-Liga,2025-2026,34,2727,15,4,16.03,5.96,0.4950495049504951,0.53,0.132013201320132,0.2
Kike García,Espanyol,La-Liga,2025-2026,37,1694,8,1,10.0,2.66,0.42502951593860683,0.53,0.053128689492325853,0.14
Antoine Griezmann,Atletico Madrid,La-Liga,2025-2026,34,1428,7,4,8.29,4.99,0.4411764705882353,0.52,0.25210084033613445,0.31
André Silva,Elche,La-Liga,2025-2026,31,1858,10,0,10.84,1.56,0.48439181916038754,0.52,0.0,0.08
Lucas Boyé,Alaves,La-Liga,2025-2026,29,1960,11,1,11.1,2.71,0.5051020408163265,0.51,0.04591836734693878,0.12
Gonzalo García,Real Madrid,La-Liga,2025-2026,30,923,6,1,5.27,1.63,0.5850487540628386,0.51,0.09750812567713976,0.16
Alvaro Rodríguez,Elche,La-Liga,2025-2026,34,2199,7,5,12.18,3.86,0.286493860845839,0.5,0.20463847203274216,0.16
Largie Ramazani,Valencia,La-Liga,2025-2026,27,1200,6,1,6.47,2.46,0.45,0.49,0.07500000000000001,0.18
Umar Sadiq,"Real Sociedad,Valencia",La-Liga,2025-2026,25,1028,4,2,5.45,1.72,0.35019455252918286,0.48,0.17509727626459143,0.15
Gerard Moreno,Villarreal,La-Liga,2025-2026,22,1368,10,0,7.02,3.0,0.6578947368421052,0.46,0.0,0.2
Ayoze Pérez,Villarreal,La-Liga,2025-2026,26,1154,5,4,5.86,2.58,0.389948006932409,0.46,0.3119584055459272,0.2
Hugo Duro,Valencia,La-Liga,2025-2026,36,1979,10,0,10.06,1.74,0.45477513895907024,0.46,0.0,0.08
Vinícius Júnior,Real Madrid,La-Liga,2025-2026,36,2865,16,5,14.4,7.16,0.5026178010471204,0.45,0.15706806282722513,0.22
Marcus Rashford,Barcelona,La-Liga,2025-2026,32,1739,8,7,8.7,4.96,0.4140310523289247,0.45,0.36227717078780913,0.26
Akor Adams,Sevilla,La-Liga,2025-2026,32,2048,10,3,10.05,1.15,0.439453125,0.44,0.1318359375,0.05
Gorka Guruzeta,Athletic Club,La-Liga,2025-2026,35,2401,10,3,11.73,3.5,0.3748438150770512,0.44,0.11245314452311538,0.13
Juan Camilo Hernández,Real Betis,La-Liga,2025-2026,32,2623,11,3,12.4,4.87,0.3774304231795654,0.43,0.10293556995806329,0.17
Vladyslav Vanat,Girona,La-Liga,2025-2026,27,2003,9,1,9.5,2.1,0.40439340988517225,0.43,0.044932601098352475,0.09
Jorge De Frutos,Rayo Vallecano,La-Liga,2025-2026,36,2526,10,1,12.13,3.34,0.3562945368171021,0.43,0.035629453681710214,0.12
Julián Álvarez,Atletico Madrid,La-Liga,2025-2026,29,1926,8,4,8.89,6.27,0.37383177570093457,0.42,0.18691588785046728,0.29
Antonio Martínez,Alaves,La-Liga,2025-2026,37,2750,14,3,12.84,3.82,0.4581818181818182,0.42,0.09818181818181819,0.13
Abdessamad Ezzalzouli,Real Betis,La-Liga,2025-2026,29,2275,10,8,10.3,6.22,0.3956043956043956,0.41,0.31648351648351647,0.25
Rafa Mir,Elche,La-Liga,2025-2026,27,1834,8,0,8.26,1.71,0.3925845147219193,0.41,0.0,0.08
Roger Brugué,Levante,La-Liga,2025-2026,19,1008,1,1,4.38,0.84,0.08928571428571427,0.39,0.08928571428571427,0.07
Williot Swedberg,Celta Vigo,La-Liga,2025-2026,29,1237,5,5,5.19,1.98,0.36378334680679064,0.38,0.36378334680679064,0.14
Fermín López,Barcelona,La-Liga,2025-2026,30,1780,6,9,7.52,7.65,0.30337078651685395,0.38,0.45505617977528084,0.39
Iván Romero,Levante,La-Liga,2025-2026,32,2339,7,1,9.59,2.89,0.26934587430525864,0.37,0.038477982043608375,0.11
Iago Aspas,Celta Vigo,La-Liga,2025-2026,32,1082,5,3,4.44,4.46,0.4158964879852126,0.37,0.24953789279112754,0.37
Dani Olmo,Barcelona,La-Liga,2025-2026,33,2109,7,8,8.75,6.66,0.29871977240398295,0.37,0.3413940256045519,0.28
Jude Bellingham,Real Madrid,La-Liga,2025-2026,28,1933,6,4,7.73,3.04,0.2793585100879462,0.36,0.18623900672529747,0.14
Iñaki Williams,Athletic Club,La-Liga,2025-2026,30,2188,3,6,8.66,4.21,0.12340036563071298,0.36,0.24680073126142596,0.17
Nicolas Pepe,Villarreal,La-Liga,2025-2026,37,2497,9,8,9.8,8.08,0.32438926712054467,0.35,0.2883460152182619,0.29
Federico Viñas,Real Oviedo,La-Liga,2025-2026,34,2575,9,1,9.88,3.03,0.3145631067961165,0.35,0.03495145631067961,0.11
Oihan Sancet,Athletic Club,La-Liga,2025-2026,28,1832,4,0,7.06,1.45,0.1965065502183406,0.35,0.0,0.07
Ferrán Jutglà,Celta Vigo,La-Liga,2025-2026,30,1702,9,3,6.6,1.55,0.4759106933019977,0.35,0.15863689776733256,0.08
Roberto Fernández,Espanyol,La-Liga,2025-2026,38,2388,7,3,9.3,3.16,0.2638190954773869,0.35,0.11306532663316583,0.12
