feature,importance,importance_percent
numeric__shots_90,0.8438596381555865,84.38596381555865
numeric__xGChain_90,0.06707663318800218,6.707663318800218
numeric__xGBuildup_90,0.03679174200783094,3.679174200783094
numeric__key_passes_90,0.019578824120570958,1.9578824120570957
categorical__position_main_F,0.009783922381216795,0.9783922381216794
numeric__xA_90,0.008998665918441952,0.8998665918441953
numeric__minutes_per_game,0.003962075184617141,0.3962075184617141
numeric__time,0.0026667686915289464,0.2666768691528946
numeric__assists_90,0.002262480895464264,0.2262480895464264
numeric__yellow_cards_90,0.002258626105215465,0.2258626105215465
numeric__games,0.0015909053654252375,0.15909053654252375
categorical__league_Premier-League,0.00018116956567702916,0.018116956567702916
categorical__league_Serie-A,0.00018031279404049966,0.018031279404049964
numeric__red_cards_90,0.00014744302766481397,0.014744302766481397
categorical__position_main_M,0.00014619890208512171,0.014619890208512171
categorical__league_La-Liga,0.00014313211597048148,0.014313211597048148
categorical__league_Bundesliga,0.00012761301799565518,0.012761301799565517
categorical__league_Ligue-1,0.0001120555973189505,0.01120555973189505
numeric__high_participation,6.755218439936446e-05,0.006755218439936446
categorical__position_main_D,6.422172625293627e-05,0.006422172625293627
categorical__position_main_GK,1.9054694771344498e-08,1.9054694771344497e-06
