feature_set,feature,importance,importance_percent
full,numeric__xG_90,0.8064890122840437,80.64890122840438
full,numeric__shots_90,0.04863527269988968,4.8635272699889684
full,numeric__npxG_90,0.028777373660253895,2.8777373660253898
full,numeric__goals_90,0.015672294433933955,1.5672294433933958
full,numeric__npg_90,0.010955082339064422,1.0955082339064424
full,numeric__yellow_cards_90,0.009801557709609887,0.9801557709609889
full,numeric__xGBuildup_90,0.0096366522304489,0.9636652230448902
full,numeric__xA_90,0.009505374811236233,0.9505374811236235
full,numeric__assists_90,0.009060436782964384,0.9060436782964386
full,numeric__minutes_per_game,0.008975179668124776,0.8975179668124778
full,numeric__key_passes_90,0.008235527191744705,0.8235527191744706
full,categorical__position_main_F,0.007252377579522786,0.7252377579522786
full,numeric__time,0.007105454532894213,0.7105454532894214
full,numeric__xGChain_90,0.006576576495834502,0.6576576495834503
full,numeric__games,0.006151911714825804,0.6151911714825805
full,categorical__position_main_M,0.0019173353145243415,0.19173353145243419
full,categorical__league_Premier-League,0.001589689649485717,0.1589689649485717
full,categorical__league_Serie-A,0.0010348306403921124,0.10348306403921126
full,numeric__red_cards_90,0.0008997966937573551,0.08997966937573552
full,categorical__position_main_D,0.000631852038437263,0.06318520384372632
full,categorical__league_Bundesliga,0.000432791234647385,0.04327912346473851
full,categorical__league_La-Liga,0.00029200676871907796,0.0292006768719078
full,categorical__league_Ligue-1,0.00025490754535866417,0.02549075453586642
full,numeric__high_participation,0.00011670598028620495,0.011670598028620497
without_previous_xg,numeric__shots_90,0.5399420238762823,53.994202387628235
without_previous_xg,numeric__goals_90,0.27072962812330775,27.072962812330776
without_previous_xg,categorical__position_main_F,0.05331080432151114,5.331080432151114
without_previous_xg,numeric__xGChain_90,0.020603955497524654,2.0603955497524655
without_previous_xg,numeric__key_passes_90,0.01760430081255106,1.7604300812551061
without_previous_xg,numeric__xGBuildup_90,0.016257875334727286,1.6257875334727285
without_previous_xg,numeric__npg_90,0.015500707395527613,1.5500707395527613
without_previous_xg,numeric__yellow_cards_90,0.011703768960202943,1.1703768960202943
without_previous_xg,numeric__minutes_per_game,0.011681218325607926,1.1681218325607927
without_previous_xg,numeric__assists_90,0.010260720702443205,1.0260720702443205
without_previous_xg,numeric__xA_90,0.010170949431917282,1.0170949431917282
without_previous_xg,numeric__time,0.008346198192674086,0.8346198192674086
without_previous_xg,numeric__games,0.005705215464354974,0.5705215464354975
without_previous_xg,categorical__league_Premier-League,0.002106103264509458,0.2106103264509458
without_previous_xg,categorical__league_Serie-A,0.0014834701012018474,0.14834701012018475
without_previous_xg,categorical__position_main_M,0.0013089795942456848,0.13089795942456847
without_previous_xg,numeric__red_cards_90,0.0009097489391514507,0.09097489391514507
without_previous_xg,categorical__league_Ligue-1,0.000698292302122487,0.0698292302122487
without_previous_xg,categorical__league_Bundesliga,0.0006977482482770413,0.06977482482770413
without_previous_xg,categorical__position_main_D,0.00048633966353882715,0.048633966353882715
without_previous_xg,categorical__league_La-Liga,0.0003897440735384412,0.03897440735384412
without_previous_xg,numeric__high_participation,0.00010220737478251866,0.010220737478251866
