model,xg_range,n_players,actual_xg_90_mean,predicted_xg_90_mean,mae,r2,mean_signed_error,overestimations,underestimations
Ridge,alto_>=0.50,58,0.6791347179868142,0.47475486311534637,0.2237188059608165,-1.681084607864833,-0.20437985487146804,7,51
GradientBoostingRegressor,alto_>=0.50,58,0.6791347179868142,0.4764380254429379,0.23172438546881022,-1.7968298203784205,-0.20269669254387648,8,50
HistGradientBoostingRegressor,alto_>=0.50,58,0.6791347179868142,0.47617711628073905,0.23703005396434274,-1.8772082510117327,-0.20295760170607532,8,50
RandomForestRegressor,alto_>=0.50,58,0.6791347179868142,0.4602917601697284,0.23865084466511402,-1.8192166823176183,-0.21884295781708601,5,53
DummyRegressor,alto_>=0.50,58,0.6791347179868142,0.15228879457511926,0.5268459234116951,-9.301765845086807,-0.5268459234116951,0,58
GradientBoostingRegressor,bajo_<0.10,506,0.04805053855430647,0.06931332683321761,0.031055743231330816,-1.3308911976902578,0.021262788278911128,380,126
HistGradientBoostingRegressor,bajo_<0.10,506,0.04805053855430647,0.06873895224273575,0.03154640769085444,-1.5021658253225185,0.020688413688429264,366,140
Ridge,bajo_<0.10,506,0.04805053855430647,0.0649363529264267,0.031686865575814016,-1.6137979020531907,0.01688581437212023,345,161
RandomForestRegressor,bajo_<0.10,506,0.04805053855430647,0.07020600891858411,0.03169701098361411,-1.4901177403700876,0.02215547036427763,379,127
DummyRegressor,bajo_<0.10,506,0.04805053855430647,0.1522887945751193,0.10423825602081278,-15.485782420577877,0.10423825602081278,506,0
Ridge,medio_alto_0.25_0.50,153,0.3504250566722908,0.33197464050756237,0.08235867718950474,-1.594011767507403,-0.01845041616472841,58,95
RandomForestRegressor,medio_alto_0.25_0.50,153,0.3504250566722908,0.33001692061672677,0.08513715597227556,-1.8005183738155237,-0.020408136055563974,63,90
GradientBoostingRegressor,medio_alto_0.25_0.50,153,0.3504250566722908,0.3345511410919876,0.08593020464651636,-1.8371885883731558,-0.015873915580303183,67,86
HistGradientBoostingRegressor,medio_alto_0.25_0.50,153,0.3504250566722908,0.33128327446424655,0.09285664704223662,-2.2560954045084274,-0.019141782208044196,68,85
DummyRegressor,medio_alto_0.25_0.50,153,0.3504250566722908,0.15228879457511926,0.1981362620971715,-8.896904647559692,-0.1981362620971715,0,153
DummyRegressor,medio_bajo_0.10_0.25,237,0.161095674793221,0.15228879457511932,0.03813791396674295,-0.039627173660482296,-0.008806880218101746,116,121
Ridge,medio_bajo_0.10_0.25,237,0.161095674793221,0.1583130289924367,0.060318242668014777,-2.173195318704931,-0.0027826458007843124,101,136
RandomForestRegressor,medio_bajo_0.10_0.25,237,0.161095674793221,0.15925525951547942,0.06077605070897706,-2.1771653099801576,-0.001840415277741608,95,142
GradientBoostingRegressor,medio_bajo_0.10_0.25,237,0.161095674793221,0.156980555157314,0.06094006192480943,-2.0470052903795506,-0.004115119635907031,92,145
HistGradientBoostingRegressor,medio_bajo_0.10_0.25,237,0.161095674793221,0.15520254455409083,0.061750672990519166,-2.372865931450378,-0.005893130239130156,90,147
