id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
48,Jhon Córdoba,21,1545,7,6.986443366855383,1,1.3975802082568407,48,24,3,0,F S,Hertha Berlin,7,6.986443366855383,8.612784931436181,0.9991083163768052
7080,Matheus Cunha,27,2164,7,8.202691785991192,4,4.3022706946358085,70,47,9,0,F M S,Hertha Berlin,5,5.929601680487394,12.655638253316283,4.903623064979911
7090,Krzysztof Piatek,32,1630,7,6.4053356274962425,1,0.9840233121067286,41,10,4,0,F S,Hertha Berlin,7,5.647558651864529,6.259493094868958,0.7841152036562562
5706,Dodi Lukebakio,29,1887,5,7.118199795484543,5,2.7050752956420183,42,22,2,1,F M S,Hertha Berlin,3,5.602641761302948,10.63773694448173,3.690407996065914
443,Peter Pekarík,23,1723,3,1.5625508073717356,1,0.8000666983425617,7,9,4,0,D S,Hertha Berlin,3,1.5625508073717356,5.361038196831942,3.570916762575507
5759,Matteo Guendouzi,24,1809,2,0.7871310003101826,1,1.810011205263436,17,18,5,0,M S,Hertha Berlin,2,0.7871310003101826,5.14692809060216,3.264001112431288
8396,Jessic Ngankam,15,278,2,0.4356255065649748,0,0.0410468988120555,6,1,1,0,F S,Hertha Berlin,2,0.4356255065649748,0.4766724985092878,0.0
27,Vladimir Darida,27,1930,1,1.723465017043054,6,4.508810508996248,27,35,5,1,F M S,Hertha Berlin,1,1.723465017043054,8.710349779576063,4.041052808053792
3743,Lucas Tousart,26,2113,1,1.3263675924390554,0,1.2730725966393948,30,9,7,0,M S,Hertha Berlin,1,1.3263675924390554,6.389477964490652,4.662129882723093
4468,Dedryck Boyata,19,1542,1,1.0527109047397971,0,0.5899598877876997,10,6,3,0,D S,Hertha Berlin,1,1.0527109047397971,2.885796796530485,2.378618184477091
6289,Santiago Ascacibar,13,770,1,0.2530157025903463,0,0.2451797984540462,7,6,2,0,M S,Hertha Berlin,1,0.2530157025903463,2.889634057879448,2.693853121250868
7160,Nemanja Radonjic,12,588,1,1.840517794713378,2,1.2875832747668028,15,9,1,0,F M S,Hertha Berlin,1,1.840517794713378,5.262489564716816,2.5170988589525223
8401,Luca Netz,11,288,1,0.3940614946186542,0,0.0988928973674774,2,2,0,0,D S,Hertha Berlin,1,0.3940614946186542,1.049364384263754,0.6202029064297676
8805,Deyovaisio Zeefuik,22,911,1,0.1658792980015278,0,0.9884485993534328,3,12,2,1,D M S,Hertha Berlin,1,0.1658792980015278,1.81670808698982,0.8241267884150147
19,Rune Jarstein,8,720,0,0.0,0,0.0,0,0,0,0,GK,Hertha Berlin,0,0.0,0.1685707997530698,0.1685707997530698
23,Marvin Plattenhardt,16,1069,0,0.0905728004872798,2,1.3487890884280205,3,10,1,0,D M S,Hertha Berlin,0,0.0905728004872798,2.4475261624902487,1.9090191926807163
241,Mathew Leckie,17,489,0,0.0788736008107662,1,0.4460008069872856,2,6,0,0,D M S,Hertha Berlin,0,0.0788736008107662,1.0965015105903149,0.6811427026987076
403,Lukas Klünter,11,990,0,0.0,0,0.5370718939229846,0,3,0,0,D,Hertha Berlin,0,0.0,1.1036678683012724,0.5665950924158096
418,Niklas Stark,33,2793,0,0.9545541983097792,0,0.8615972883999348,12,7,2,0,D M S,Hertha Berlin,0,0.9545541983097792,4.592623327858746,4.164103735238314
419,Maximilian Mittelstädt,27,1818,0,0.4100666046142578,2,2.181426205672324,16,23,3,0,D F M S,Hertha Berlin,0,0.4100666046142578,4.717669147998095,3.461029026657343
1292,Sami Khedira,9,384,0,0.0458929985761642,1,0.7879002839326859,1,3,1,0,M S,Hertha Berlin,0,0.0458929985761642,1.5523746144026518,1.1209518164396286
5238,Jordan Torunarigha,14,971,0,0.1476942040026188,0,0.4518664926290512,4,3,5,0,D S,Hertha Berlin,0,0.1476942040026188,2.820356536656618,2.4784435220062733
5262,Alexander Schwolow,26,2340,0,0.0,0,0.0,0,0,0,0,GK,Hertha Berlin,0,0.0,3.677419611252844,3.677419611252844
5298,Arne Maier,18,1081,0,0.5552857965230942,0,1.2413978055119514,11,12,0,0,M S,Hertha Berlin,0,0.5552857965230942,2.4542086124420166,1.6882528774440289
7043,Eduard Löwen,7,76,0,0.0401346981525421,0,0.0,1,0,0,0,M S,Hertha Berlin,0,0.0401346981525421,0.1481628008186817,0.1080281026661396
7122,Javairo Dilrosun,12,514,0,0.3474687077105045,1,0.2677017003297806,8,5,0,0,F M S,Hertha Berlin,0,0.3474687077105045,1.3108758926391602,0.8114570174366236
7918,Daishawn Redan,7,87,0,0.5963741987943649,0,0.0134378001093864,3,1,0,0,S,Hertha Berlin,0,0.5963741987943649,0.6404541842639446,0.0306419990956783
8398,Márton Dárdai,12,823,0,0.0409162007272243,1,0.4790899902582168,2,4,0,0,D M S,Hertha Berlin,0,0.0409162007272243,1.1241841036826372,1.105202803388238
8986,Omar Alderete,17,1295,0,0.1984924022108316,0,0.0784399006515741,6,3,2,0,D S,Hertha Berlin,0,0.1984924022108316,2.2861130153760314,2.21947321202606
9428,Jonas Michelbrink,2,35,0,0.0,0,0.0,0,0,1,0,S,Hertha Berlin,0,0.0,0.2839910089969635,0.2839910089969635
9528,Marten Winkler,1,1,0,0.0,0,0.0,0,0,0,0,S,Hertha Berlin,0,0.0,0.0,0.0
9547,Jonas Michel Dirkner,1,15,0,0.0,0,0.0,0,0,0,0,S,Hertha Berlin,0,0.0,0.0,0.0
