id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
9160,Matthew Hoppe,22,1315,6,3.4485140815377235,1,0.7646889947354794,20,8,3,0,F S,Schalke 04,6,3.4485140815377235,4.6318444237113,0.5462505016475916
88,Mark Uth,20,1499,3,2.927986714988947,1,1.4407714512199163,35,21,5,0,F M S,Schalke 04,3,2.927986714988947,5.1600733157247305,2.245596271939576
340,Klaas-Jan Huntelaar,9,600,2,3.837378174066544,1,0.4767007008194923,13,5,2,0,F S,Schalke 04,2,3.079758197069168,3.2666079849004745,0.5458663031458855
5717,Amine Harit,28,2123,2,1.570903996936977,5,4.626862993463874,22,50,4,0,F M S,Schalke 04,2,1.570903996936977,7.832757381722331,3.475557617843151
7059,Benito Raman,25,1245,2,2.469737741164863,0,1.3358156830072403,26,14,2,0,F M S,Schalke 04,2,2.469737741164863,3.650688653811813,0.8288288014009595
90,Sebastian Rudy,27,1863,1,0.6407137960195541,2,2.660704354289919,16,32,4,0,D M S,Schalke 04,1,0.6407137960195541,10.19957845658064,8.030789989978075
307,Suat Serdar,25,1960,1,1.9296696577221155,3,1.4970218054950235,32,15,3,0,M S,Schalke 04,1,1.9296696577221155,5.947434591129422,3.3817505836486816
342,Sead Kolasinac,17,1427,1,0.603231986053288,1,1.17525502294302,6,13,5,0,D M S,Schalke 04,1,0.603231986053288,3.810341719537973,2.3815275598317385
1699,Shkodran Mustafi,13,1032,1,0.7400052603334188,0,0.0187130998820066,9,1,1,0,D S,Schalke 04,1,0.7400052603334188,0.7326758978888392,0.6722997920587659
2456,Omar Mascarell,24,1765,1,0.2957917964085936,1,0.3652350008487701,10,6,6,0,M S,Schalke 04,1,0.2957917964085936,3.6569963796064258,3.4526177970692515
7051,Gonçalo Paciência,15,746,1,1.4434790145605805,1,0.7751580104231834,22,4,2,0,F S,Schalke 04,1,1.4434790145605805,2.0544080156832933,0.2316380068659782
7522,Nassim Boujellab,12,604,1,1.3095948994159698,0,0.2034559100866317,14,3,2,0,F M S,Schalke 04,1,1.3095948994159698,1.8839144110679624,0.3921425938606262
8378,Malick Thiaw,19,1448,1,0.8393757464364171,0,0.097826600074768,8,2,3,1,D S,Schalke 04,1,0.8393757464364171,1.4605458984151485,1.314339299686253
9412,Florian Flick,4,360,1,0.3989560008049011,0,0.0,1,0,1,0,M,Schalke 04,1,0.3989560008049011,0.7769250050187111,0.3779687061905861
9526,Blendi Idrizi,3,246,1,0.4066135063767433,0,0.3029760122299194,4,1,1,0,M,Schalke 04,1,0.4066135063767433,1.108545519411564,0.3989560008049011
29,Vedad Ibisevic,4,148,0,0.989093005657196,0,0.0572999995201826,2,2,1,0,F S,Schalke 04,0,0.989093005657196,1.0659402385354042,0.0195457004010677
96,Salif Sané,14,1063,0,0.2876714020967483,0,0.9368167985230684,7,5,5,0,D S,Schalke 04,0,0.2876714020967483,2.168708104640245,1.5044747032225132
285,Bastian Oczipka,27,1916,0,0.2257224051281809,2,1.7427622489631176,7,24,1,0,D M S,Schalke 04,0,0.2257224051281809,4.2437181212008,3.403090748935938
330,Ralf Fährmann,22,1878,0,0.1326960027217865,0,0.0495657995343208,1,2,2,0,GK,Schalke 04,0,0.1326960027217865,1.9803992956876757,1.9308334961533544
451,Matija Nastasic,15,1223,0,0.3401707969605922,0,0.0501983985304832,7,1,2,0,D S,Schalke 04,0,0.3401707969605922,1.4538401998579502,1.4538401998579502
914,Nabil Bentaleb,9,546,0,0.7577769756317139,0,0.0384376011788845,1,1,2,0,M S,Schalke 04,0,0.0,0.1962308036163449,0.1577932005748152
2638,Alessandro Schöpf,19,944,0,0.4001380950212478,0,0.2265000995248556,10,4,0,0,D M S,Schalke 04,0,0.4001380950212478,1.5772768780589104,1.1910833958536386
3290,Benjamin Stambouli,24,1961,0,0.0428113993257284,2,0.6104598445817828,2,8,5,0,D M S,Schalke 04,0,0.0428113993257284,3.318126536905765,2.7969325967133045
5728,Hamza Mendyl,3,95,0,0.0611003004014492,0,0.0,1,0,1,0,M S,Schalke 04,0,0.0611003004014492,0.0793204009532928,0.0182199999690055
6229,William,10,484,0,0.1833604993298649,0,0.0197678003460168,4,1,2,0,D F M S,Schalke 04,0,0.1833604993298649,0.5396014964208007,0.3364729881286621
7048,Frederik Rönnow,11,943,0,0.0,0,0.0,0,0,0,0,GK S,Schalke 04,0,0.0,0.2014959016814828,0.2014959016814828
7054,Steven Skrzybski,13,392,0,0.9617210309952496,0,0.1504611074924469,8,2,2,0,F M S,Schalke 04,0,0.2039446048438549,0.5221204161643982,0.1793463043868541
7220,Michael Langer,3,239,0,0.0,0,0.0,0,0,0,0,GK S,Schalke 04,0,0.0,0.0191313996911048,0.0191313996911048
7309,Ahmed Kutucu,7,94,0,0.0593375004827976,0,0.0,1,0,1,0,S,Schalke 04,0,0.0593375004827976,0.1375497002154588,0.0782121997326612
7376,Ozan Kabak,14,1251,0,0.9714214000850916,0,0.32194359973073,12,4,4,1,D,Schalke 04,0,0.9714214000850916,1.7708488758653402,1.5819490980356932
7394,Rabbi Matondo,3,223,0,0.0,0,0.1641541011631488,0,3,0,0,F M,Schalke 04,0,0.0,0.1974333003163337,0.0332791991531848
7833,Münir Mercan,1,2,0,0.0,0,0.0,0,0,0,0,S,Schalke 04,0,0.0,0.0,0.0
8148,Timo Becker,20,1641,0,0.1463855020701885,0,0.390047188848257,5,3,1,0,D M S,Schalke 04,0,0.1463855020701885,1.31146889179945,1.2232561856508255
8406,Can Bozdogan,14,644,0,0.5598327871412039,1,1.0119738709181547,8,5,0,0,M S,Schalke 04,0,0.5598327871412039,1.9322264026850464,1.2332348078489304
9028,Kilian Ludewig,6,525,0,0.0,0,0.2577968966215849,0,5,1,0,D M,Schalke 04,0,0.0,0.7200534008443356,0.5457694977521896
9161,Jan-Luca Schuler,2,37,0,0.026554599404335,0,0.0,1,0,0,0,S,Schalke 04,0,0.026554599404335,0.026554599404335,0.0
9162,Kerim Çalhanoglu,4,299,0,0.0746978968381881,0,0.0,1,0,0,0,D M,Schalke 04,0,0.0746978968381881,0.0896830037236213,0.0149851003661751
9426,Mikail Maden,1,5,0,0.0,0,0.0,0,0,0,0,S,Schalke 04,0,0.0,0.0,0.0
9427,Mehmet Can Aydin,6,505,0,0.0112576000392436,0,0.6023560166358948,1,1,0,0,D M,Schalke 04,0,0.0112576000392436,1.2480756305158138,0.6344620138406754
9443,Vasilis Pavlidis,1,1,0,0.0,0,0.0,0,0,0,0,S,Schalke 04,0,0.0,0.0,0.0
9507,Jimmy Adrian Kaparos,1,15,0,0.0,0,0.0,0,0,0,0,S,Schalke 04,0,0.0,0.0,0.0
9529,Henning Matriciani,1,21,0,0.0,0,0.0,0,0,0,0,S,Schalke 04,0,0.0,0.0,0.0
