id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
216,Branimir Hrgota,34,2809,9,9.19154967367649,5,3.207376878708601,65,35,4,0,F M S,Greuther Fuerth,4,5.402739968150854,9.977127959951758,2.9613883839920163
9718,Jamie Leweling,33,1962,5,3.849232294596732,1,1.6021407693624496,44,16,3,0,F M S,Greuther Fuerth,5,3.849232294596732,6.335215521976352,1.5782537907361984
4240,Jeremy Dudziak,22,1150,2,2.367935113608837,0,1.1620840057730677,16,13,1,0,F M S,Greuther Fuerth,2,2.367935113608837,4.362445238977671,1.0603727884590626
5269,Håvard Nielsen,26,1364,2,2.31325670145452,0,0.2027781009674072,28,4,2,0,F M S,Greuther Fuerth,2,2.31325670145452,3.179907808080316,1.5787995168939233
8396,Jessic Ngankam,6,345,2,1.7918057180941105,1,0.3694080114364624,9,1,0,0,F S,Greuther Fuerth,2,1.7918057180941105,1.5436567328870296,0.0558664985001087
9954,Cedric Itten,12,635,2,2.6648639580234885,0,0.10380420088768,15,3,1,0,F S,Greuther Fuerth,2,2.6648639580234885,1.3264947002753615,0.0510706007480621
6143,Jetro Willems,24,1637,1,0.8097230736166239,0,1.5601177141070366,11,12,5,0,D M S,Greuther Fuerth,1,0.8097230736166239,3.193720884621144,2.2164570186287165
7042,Timothy Tillman,29,2030,1,2.0667156893759966,2,2.534813730046153,24,29,3,0,M S,Greuther Fuerth,1,2.0667156893759966,5.322402074933052,1.8233620766550305
8801,Sebastian Griesbeck,30,2447,1,0.8043859843164682,0,0.1223731972277164,7,2,7,0,D M S,Greuther Fuerth,1,0.8043859843164682,1.5881178975105286,1.3772229999303818
9717,Marco Meyerhöfer,26,2276,1,1.1540144057944417,0,0.6900568939745426,10,17,0,0,D M S,Greuther Fuerth,1,1.1540144057944417,5.567309595644474,3.924517894163728
168,Gideon Jung,5,136,0,0.0,0,0.0,0,0,0,0,D S,Greuther Fuerth,0,0.0,0.1967013999819755,0.1967013999819755
245,Max Christiansen,27,2059,0,0.3286662413738668,0,0.4939281577244401,10,12,5,0,M S,Greuther Fuerth,0,0.3286662413738668,3.791784904897213,3.3821825925260782
2625,Paul Seguin,27,2112,0,0.4775180732831359,3,1.6488861218094826,11,21,9,0,M S,Greuther Fuerth,0,0.4775180732831359,4.788907653652132,3.1987521648406982
2670,Sascha Burchert,14,1260,0,0.0,0,0.0379617996513843,0,1,0,0,GK,Greuther Fuerth,0,0.0,0.8674043100327253,0.8674043100327253
4323,Julian Green,24,1047,0,0.4895337000489235,0,0.5802287012338638,19,10,2,0,M S,Greuther Fuerth,0,0.4895337000489235,1.3433346883393824,0.687173193320632
5300,Gian-Luca Itter,24,1444,0,0.1931642033159732,1,1.224189487285912,5,10,3,0,D M S,Greuther Fuerth,0,0.1931642033159732,2.781505389139056,2.1714542731642723
6597,Simon Asta,13,782,0,0.1948052011430263,0,0.5486753042787313,3,3,1,0,D M S,Greuther Fuerth,0,0.1948052011430263,1.958402652293444,1.214922385290265
6678,Justin Hoogma,3,270,0,0.0573944002389907,0,0.020049100741744,1,1,1,0,D,Greuther Fuerth,0,0.0573944002389907,0.5227087922394276,0.5026597864925861
7179,Hans Nunoo Sarpei,8,642,0,0.0595814501866698,0,0.0,3,0,2,0,D M S,Greuther Fuerth,0,0.0595814501866698,1.1955035272985697,1.1858688276261091
8114,Tobias Raschl,10,599,0,0.1290587987750768,1,0.0514022000133991,5,2,0,0,M S,Greuther Fuerth,0,0.1290587987750768,0.3909865878522396,0.2256363034248352
8797,Nils Seufert,4,93,0,0.0,0,0.0,0,0,0,0,M S,Greuther Fuerth,0,0.0,0.387609988451004,0.387609988451004
8976,Adrian Fein,3,26,0,0.0210251007229089,0,0.0485275983810424,1,1,0,0,S,Greuther Fuerth,0,0.0210251007229089,0.4972625970840454,0.4487349987030029
9716,Maximilian Bauer,26,1675,0,0.1860027881339192,0,0.0512703992426395,5,1,5,0,D S,Greuther Fuerth,0,0.1860027881339192,1.6551500940695405,1.6551500940695405
9719,Dickson Abiama,24,696,0,1.6354082897305489,1,1.581666812300682,18,8,3,0,F S,Greuther Fuerth,0,1.6354082897305489,3.4284704737365246,0.4237401019781828
9720,Abdourahmane Barry,8,194,0,0.0198688004165887,0,0.1151369027793407,1,2,2,0,D S,Greuther Fuerth,0,0.0198688004165887,0.4525304064154625,0.4525304064154625
9721,Marius Funk,8,720,0,0.0,0,0.0965160895138979,0,3,0,0,GK,Greuther Fuerth,0,0.0,0.2493409998714923,0.1615036018192768
9953,Nick Viergever,24,2136,0,0.2324910014867782,0,0.569678008556366,2,1,2,0,D,Greuther Fuerth,0,0.2324910014867782,2.4475574530661106,1.8778794445097449
10252,Afimico Pululu,8,48,0,0.0583923012018203,0,0.0,1,0,0,0,S,Greuther Fuerth,0,0.0583923012018203,0.1188252009451389,0.0604328997433185
10312,Andreas Linde,12,1080,0,0.0,0,0.0,0,0,0,0,GK,Greuther Fuerth,0,0.0,1.0121397022157907,1.0121397022157907
