id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6556,Moussa Diaby,33,2736,9,10.234066966921093,8,8.54252471961081,80,58,4,0,F M,Bayer Leverkusen,9,9.476291004568338,20.56936350464821,4.606570445932448
9328,Jeremie Frimpong,34,2727,8,8.343600986525416,7,5.546072905883193,38,45,4,0,D M S,Bayer Leverkusen,8,8.343600986525416,18.80026740022004,6.1089749513193965
8211,Amine Adli,26,1446,5,5.577013881877065,3,1.564659825526178,37,20,2,2,F M S,Bayer Leverkusen,5,5.577013881877065,9.384396608918903,4.138404821977019
10774,Adam Hlozek,29,1291,5,2.666957816109061,3,2.6284044701606035,30,18,2,0,F M S,Bayer Leverkusen,5,2.666957816109061,7.671263899188489,3.3072979166172445
82,Nadiem Amiri,25,951,4,2.1176350452005863,1,1.001922182738781,24,15,6,0,F M S,Bayer Leverkusen,3,1.359858339652419,4.330404385924339,3.094477749429643
2774,Sardar Azmoun,23,898,4,4.195837607607245,1,2.982987130060792,28,14,1,0,F M S,Bayer Leverkusen,4,4.195837607607245,7.222147917374968,0.7968364469707012
5273,Kerem Demirbay,25,1549,4,2.4878762275911868,3,2.874298401176929,31,32,5,0,M S,Bayer Leverkusen,4,2.4878762275911868,9.032792079262435,5.607281791046262
8325,Exequiel Palacios,25,1665,4,2.7983853723853827,2,1.506558766588569,20,15,4,0,M S,Bayer Leverkusen,1,0.5250557949766517,10.362398341298103,9.40145754814148
1236,Patrik Schick,14,936,3,5.551570445299149,1,0.4347322918474674,34,10,0,0,F S,Bayer Leverkusen,3,5.551570445299149,8.173204828053713,2.6731401160359383
8310,Mitchel Bakker,28,1656,3,1.5494726430624723,2,1.960865007713437,17,17,4,1,D S,Bayer Leverkusen,3,1.5494726430624723,7.690754035487771,5.3029226791113615
7877,Robert Andrich,29,2414,2,1.495253399014473,2,1.1337046343833208,30,18,7,0,M S,Bayer Leverkusen,2,1.495253399014473,8.447318887338042,7.092177907004952
183,Jonathan Tah,33,2493,1,1.1917415522038937,0,0.6195285189896822,10,6,6,0,D S,Bayer Leverkusen,1,1.1917415522038937,8.047265270724893,7.760596519336104
454,Charles Aránguiz,10,497,1,0.2302397042512893,0,0.2118978044018149,5,3,1,0,M S,Bayer Leverkusen,1,0.2302397042512893,2.5478187948465347,2.17503559589386
7067,Paulinho,4,81,1,0.5969429910182953,0,0.0,2,0,0,0,F S,Bayer Leverkusen,1,0.5969429910182953,0.6138509903103113,0.016907999292016
8317,Edmond Tapsoba,33,2874,1,2.565204307436943,0,1.047677090391517,15,5,5,0,D M S,Bayer Leverkusen,0,1.0496511161327362,13.109413214027882,12.333076603710651
8397,Florian Wirtz,17,1089,1,0.583570022135973,6,4.696660354733467,7,39,4,0,F M S,Bayer Leverkusen,1,0.583570022135973,9.336530420929192,5.08792663551867
9911,Piero Hincapié,30,2470,1,1.3324642069637775,1,1.3067817650735378,16,10,9,3,D M S,Bayer Leverkusen,1,1.3324642069637775,8.78414343483746,7.831875195726752
186,Karim Bellarabi,8,78,0,0.0,0,0.0,0,0,0,0,M S,Bayer Leverkusen,0,0.0,0.3166132941842079,0.3166132941842079
281,Lukas Hradecky,33,2970,0,0.0,0,0.0,0,0,0,1,GK,Bayer Leverkusen,0,0.0,3.032255125232041,3.032255125232041
549,Timothy Fosu-Mensah,11,177,0,0.0629824995994567,0,0.5267039984464645,3,4,1,0,M S,Bayer Leverkusen,0,0.0629824995994567,1.1963598150759935,1.0355872064828873
3150,Andrey Lunev,1,90,0,0.0,0,0.0,0,0,0,0,GK,Bayer Leverkusen,0,0.0,0.0712438970804214,0.0712438970804214
5222,Joel Pohjanpalo,1,1,0,0.0,0,0.0,0,0,0,0,S,Bayer Leverkusen,0,0.0,0.0,0.0
6456,Callum Hudson-Odoi,14,610,0,0.1621479000896215,1,0.6222708076238632,4,12,0,0,F M S,Bayer Leverkusen,0,0.1621479000896215,2.0590027030557394,1.4365442022681236
7899,Daley Sinkgraven,12,345,0,0.179864096455276,2,1.7516733082011342,5,6,1,0,D M S,Bayer Leverkusen,0,0.179864096455276,2.54534662142396,0.8132128929719329
8116,Ayman Azhil,1,1,0,0.0,0,0.0,0,0,0,0,S,Bayer Leverkusen,0,0.0,0.0,0.0
9714,Odilon Kossounou,24,1518,0,0.1056530978530645,1,0.141922403126955,3,3,3,0,D S,Bayer Leverkusen,0,0.1056530978530645,3.917286849580705,3.7647726675495514
11355,Noah Mbamba-Muanda,1,1,0,0.0,0,0.0,0,0,0,0,S,Bayer Leverkusen,0,0.0,0.0,0.0
