id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7882,Sheraldo Becker,34,2638,11,5.706978755071759,7,5.149274218827486,67,43,4,0,F M S,Union Berlin,11,5.706978755071759,12.626208378002048,2.6656901137903333
9712,Kevin Behrens,33,1551,8,5.351088147610426,1,1.17486921697855,35,21,6,0,F S,Union Berlin,8,5.351088147610426,6.587344314903021,1.4740190654993055
4271,Janik Haberer,32,2275,5,2.446650293655693,1,2.097323566675186,32,23,1,0,M S,Union Berlin,5,2.446650293655693,8.055939726531506,4.546195590868592
10725,Danilho Doekhi,25,2223,5,1.7546885032206774,1,0.416394580155611,17,7,0,0,D,Union Berlin,5,1.7546885032206774,4.246129464358091,3.903587102890015
3682,Jordan Siebatcheu,31,1336,4,4.373952075839043,4,1.3029851038008928,34,18,3,0,F S,Union Berlin,4,2.8583972733467817,5.220875604078174,1.494976121932268
7799,Sven Michel,21,444,3,1.4810891952365637,1,0.4516268298029899,16,7,2,0,F S,Union Berlin,2,0.7233122196048498,1.3788023237138989,0.2479215618222952
161,Robin Knoche,32,2877,2,1.8012003554031253,3,1.144210159778595,9,5,4,0,D,Union Berlin,1,0.2856464041396975,3.927438823506236,3.5526019763201475
3699,Aissa Laidouni,14,891,2,0.6928167883306742,0,0.4865179136395454,5,4,4,0,M S,Union Berlin,2,0.6928167883306742,2.252670830115676,1.1492191571742296
5251,Rani Khedira,33,2895,2,1.660578920505941,0,0.4030138533562422,24,8,8,0,M,Union Berlin,2,1.660578920505941,7.075296450406313,5.897386433556676
11333,Josip Juranovic,12,921,2,1.1514203026890757,1,1.0844305008649826,7,22,0,0,D S,Union Berlin,1,0.3936433270573616,1.7150551229715347,1.1032112762331965
378,Milos Pantovic,13,170,1,1.4034431278705597,0,0.0,6,0,1,0,S,Union Berlin,1,0.6457468122243881,0.5745193101465702,0.1455104015767574
2625,Paul Seguin,20,651,1,1.029469491913915,3,2.073301386088133,15,10,4,0,M S,Union Berlin,1,1.029469491913915,4.384452261030674,2.164173807948828
6595,Paul Jäckel,16,1204,1,0.1598030030727386,0,0.0294516645371913,2,1,2,1,D S,Union Berlin,1,0.1598030030727386,1.4205832108855247,1.4205832108855247
7939,Morten Thorsby,24,803,1,0.994760949164629,1,0.2810052027925849,9,7,3,0,M S,Union Berlin,1,0.994760949164629,2.2772523518651724,1.1957275941967964
7997,Julian Ryerson,30,2474,1,1.126702019944787,0,2.377535879611969,26,22,4,0,D S,Union Berlin,1,1.126702019944787,11.521786760538816,10.113925835117698
9718,Jamie Leweling,16,215,1,1.204305499792099,1,0.5070108249783516,9,2,1,0,S,Union Berlin,1,1.204305499792099,1.7667225282639265,0.4843890089541673
10926,Tim Skarke,12,496,1,0.7401213059201837,1,0.9000245099887252,15,11,1,0,M S,Union Berlin,1,0.7401213059201837,2.042828915640712,0.815601309761405
35,Genki Haraguchi,22,1266,0,0.3769866013899445,2,0.674909807741642,11,15,1,0,M S,Union Berlin,0,0.3769866013899445,3.559324758127332,2.855396682396531
71,Timo Baumgartl,8,556,0,0.1534512005746364,1,0.1087887808680534,4,3,2,0,D S,Union Berlin,0,0.1534512005746364,1.5625516418367624,1.3962008450180292
118,Levin Öztunali,2,3,0,0.0,1,0.4923680126667022,0,1,0,0,S,Union Berlin,0,0.0,0.4923680126667022,0.0
3339,Jérôme Roussillon,20,990,0,0.5452681872993708,2,1.0813358100131154,9,7,2,0,D S,Union Berlin,0,0.5452681872993708,3.204289217479527,1.9763552276417613
7048,Frederik Rönnow,29,2610,0,0.0,0,0.0211532991379499,0,1,2,0,GK,Union Berlin,0,0.0,2.785597950220108,2.764444651082158
7056,Niko Gießelmann,26,1295,0,0.776525666937232,2,1.7110193148255348,20,22,4,0,D S,Union Berlin,0,0.776525666937232,3.072348453104496,1.8975248076021671
7410,Andras Schafer,16,867,0,0.2498992728069424,0,0.1858521960675716,7,3,0,0,M S,Union Berlin,0,0.2498992728069424,1.6131413141265512,1.2176516447216272
7875,Christopher Trimmel,25,1811,0,0.562819616869092,6,2.6986877834424376,14,35,1,0,D S,Union Berlin,0,0.562819616869092,3.797476470470429,2.32154162786901
9129,Lennart Grill,5,450,0,0.0,0,0.0,0,0,0,0,GK,Union Berlin,0,0.0,0.1133544985204935,0.1133544985204935
9713,Tymoteusz Puchacz,1,60,0,0.0,0,0.0088548101484775,0,1,0,0,D,Union Berlin,0,0.0,0.0,0.0
10724,Diogo Leite,28,2255,0,0.5433130227029324,1,0.4065033961087465,11,4,6,1,D S,Union Berlin,0,0.5433130227029324,4.752847585827112,4.594100397080183
