id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
11856,Marvin Pieringer,31,2253,7,9.497590685263276,4,5.089528257027268,60,31,7,0,F M S,FC Heidenheim,4,7.224260637536645,11.624920902773738,2.838040864095092
11917,Mathias Honsak,22,1164,5,2.7486824057996277,1,1.1526490207761526,29,13,1,0,D F M S,FC Heidenheim,5,2.7486824057996277,3.7166399881243706,1.514211192727089
11855,Adrian Beck,32,1602,4,4.206237935461104,1,1.8471641726791856,39,20,1,0,F M S,FC Heidenheim,4,4.206237935461104,8.869435641914606,4.554916037246585
11865,Jan Schöppner,33,2700,4,3.948262576013804,3,2.950019802898169,40,24,8,0,M S,FC Heidenheim,4,3.948262576013804,8.154726142063737,4.036705597303808
10245,Paul Wanner,29,1796,3,4.244851130992174,2,1.4708796814084053,25,20,2,0,F M S,FC Heidenheim,2,3.487074453383684,7.205643737688661,3.0005939584225416
12986,Léo Scienza,25,1154,3,2.2589838448911905,3,4.22474249266088,38,34,1,0,F M S,FC Heidenheim,3,2.2589838448911905,6.065171904861927,1.7292647268623114
6411,Niklas Dorsch,23,1408,2,1.0962662072852254,2,1.131101816892624,9,13,5,1,M S,FC Heidenheim,2,1.0962662072852254,3.0800743214786053,1.3530444698408246
11849,Maximilian Breunig,13,322,2,3.002769211307168,0,0.1914702635258436,11,4,0,0,F S,FC Heidenheim,1,2.244992533698678,2.735860446467996,0.3419247008860111
12987,Luca Kerber,23,757,2,1.1627484848722816,0,0.8404353633522987,7,6,4,0,M S,FC Heidenheim,2,1.1627484848722816,2.5061813443899155,0.9628312960267068
13323,Budu Zivzivadze,15,947,2,1.8620241470634935,2,2.291006725281477,22,13,0,0,F S,FC Heidenheim,2,1.8620241470634935,4.867508262395859,1.6242151632905006
11838,Frans Krätzig,17,1306,1,1.0113870231434705,2,1.6893468517810106,9,26,1,0,D M S,FC Heidenheim,1,1.0113870231434705,3.21835320815444,1.7027722410857675
11853,Patrick Mainka,34,3060,1,2.315811117179692,0,0.6790747931227088,25,7,3,0,D,FC Heidenheim,1,2.315811117179692,4.503965882584453,4.334571026265621
12988,Sirlord Conteh,29,842,1,1.7346754455938935,1,2.268422743305564,13,14,2,0,F M S,FC Heidenheim,1,1.7346754455938935,5.426970985718072,2.81193482875824
4312,Marnon Busch,23,1402,0,0.3568432293832302,1,0.9347950499504804,13,11,1,0,D M S,FC Heidenheim,0,0.3568432293832302,4.377666752785444,3.589123450219631
5347,Jonas Föhrenbach,27,1826,0,0.3573669847100973,1,0.7717274213209748,8,14,3,0,D M S,FC Heidenheim,0,0.3573669847100973,2.742827208712697,1.9260040409862995
8854,Tim Siersleben,16,1181,0,0.5835042558610439,0,0.5471864566206932,4,6,4,0,D S,FC Heidenheim,0,0.5835042558610439,2.612182638607919,2.4144959514960647
10071,Lennard Maloney,16,793,0,0.1993563435971737,0,0.0152381360530853,3,1,2,0,D M S,FC Heidenheim,0,0.1993563435971737,0.8527121841907501,0.8527121841907501
11852,Kevin Müller,33,2944,0,0.0,0,0.0,0,0,0,0,GK,FC Heidenheim,0,0.0,3.0277598537504677,3.0277598537504677
11858,Denis Thomalla,1,1,0,0.0,0,0.0,0,0,0,0,S,FC Heidenheim,0,0.0,0.0,0.0
11859,Omar Traoré,30,2630,0,0.4463740745559335,1,1.649691142141819,16,21,7,0,D M,FC Heidenheim,0,0.4463740745559335,4.690981866791844,3.648763807490468
11861,Stefan Schimmer,13,220,0,1.1535760760307312,0,0.2204373283311724,10,5,1,0,S,FC Heidenheim,0,1.1535760760307312,0.7608380392193794,0.0842686397954821
11862,Norman Theuerkauf,1,19,0,0.0378666035830974,0,0.0,1,0,0,0,S,FC Heidenheim,0,0.0378666035830974,0.0,0.0
11864,Benedikt Gimber,32,2697,0,0.7796229459345341,0,0.506980687379837,13,3,9,0,D M,FC Heidenheim,0,0.7796229459345341,2.0051460545510054,1.754845978692174
12023,Thomas Keller,6,141,0,0.0097251441329717,0,0.0,1,0,2,0,D M S,FC Heidenheim,0,0.0097251441329717,0.6035356353968382,0.5938104912638664
12053,Mikkel Kaufmann,9,357,0,0.4809715747833252,0,0.1665191054344177,3,3,2,0,F M S,FC Heidenheim,0,0.4809715747833252,1.218198135495186,0.5707074543461204
12494,Frank Feller,2,116,0,0.0,0,0.0,0,0,0,0,GK S,FC Heidenheim,0,0.0,1.0266588926315308,1.0266588926315308
13429,Julian Niehues,8,135,0,0.1495359614491462,0,0.1256658993661403,2,3,0,0,S,FC Heidenheim,0,0.1495359614491462,1.316750451922417,1.109605260193348
