id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2311,Roberto Soldado,29,1452,9,5.592177555896342,0,0.5906958002597094,29,9,6,1,F S,Granada,7,4.105626777745783,4.126900289207697,0.6434648018330336
2155,Jorge Molina,33,1604,8,5.957675721496344,2,1.947538796812296,24,20,3,0,F M S,Granada,8,5.214397694915533,8.62479743361473,2.013192977756262
8978,Luis Suárez,27,1666,5,5.4022433161735535,1,1.295676190406084,47,13,6,0,F M S,Granada,5,5.4022433161735535,8.018180632032454,1.8403103090822697
689,Kenedy,28,1494,4,2.0004906794056296,3,3.70757707208395,37,18,3,0,D F M S,Granada,4,2.0004906794056296,4.927283951081336,1.6200024336576462
4226,Darwin Machís,32,2027,4,5.512039139866829,5,5.121578458696604,47,25,1,0,F M S,Granada,4,4.7691469341516495,9.67741333693266,2.1357034109532838
7350,Yangel Herrera,32,2311,3,3.558775257319212,1,0.8019418129697442,33,11,7,0,M S,Granada,3,3.558775257319212,5.839893471449614,3.98003841843456
7861,Germán Sánchez,34,2629,3,2.571049317717552,1,0.1709205955266952,13,2,11,1,D S,Granada,3,2.571049317717552,1.3669968843460083,1.2665298879146576
7863,Antonio Puertas,35,2157,3,3.473533194512129,5,1.9444546299055216,26,17,6,0,D F M S,Granada,3,3.473533194512129,4.878873901441693,1.2824971992522478
5573,Domingos Quina,8,344,2,0.2961761970072984,0,0.1474632006138563,8,5,1,0,M S,Granada,2,0.2961761970072984,0.4824789054691791,0.053193898871541
2158,Quini,19,1172,1,0.2553899995982647,0,0.1903478987514972,8,4,5,0,D S,Granada,1,0.2553899995982647,1.7782894112169745,1.4665835052728653
2368,Montoro,22,1387,1,1.1577404360286891,1,2.676594825461507,15,21,6,0,M S,Granada,0,0.4144623572938144,2.5104675330221653,1.606342418119311
7860,Domingos Duarte,29,2368,1,0.9782372005283833,0,0.3193831034004688,6,6,5,1,D S,Granada,1,0.9782372005283833,2.5868059284985065,2.409813728183508
8725,Luis Milla,16,1266,1,0.5871907062828541,1,2.5800321977585554,10,17,1,0,M S,Granada,1,0.5871907062828541,2.1037200205028057,1.0486412029713392
8726,Alberto Soro,15,364,1,0.6162057816982269,2,0.2926680985838175,2,6,1,0,M S,Granada,1,0.6162057816982269,1.5358135234564545,0.7711852807551622
2346,Aarón,5,450,0,0.0,0,0.0,0,0,1,0,GK,Granada,0,0.0,0.4901689887046814,0.4901689887046814
2483,Adrián Marín,14,353,0,0.1613839976489544,1,0.3440752141177654,2,2,1,0,D M S,Granada,0,0.1613839976489544,0.6441970989108086,0.1387370098382234
2509,Dimitri Foulquier,32,2688,0,0.7461695969104767,4,1.3595257997512815,8,10,7,0,D M,Granada,0,0.7461695969104767,4.271014740690589,2.953733505681157
3274,Maxime Gonalons,25,1486,0,0.0985526014119386,1,0.924303900450468,4,7,7,1,M S,Granada,0,0.0985526014119386,3.0819277353584766,2.9556915387511253
4051,Ramón Azeez,2,97,0,0.0808925032615661,0,0.0,2,0,0,0,M S,Granada,0,0.0808925032615661,0.0808925032615661,0.0255500003695487
4069,Fede Vico,20,757,0,0.7414173912256956,0,0.93851918540895,10,8,1,0,M S,Granada,0,0.7414173912256956,1.511709975078702,0.4997712932527065
5109,Rui Silva,32,2880,0,0.0,0,0.0366313010454177,0,1,1,0,GK,Granada,0,0.0,2.4324074927717447,2.395776191726327
5117,Víctor Díaz,17,815,0,0.4838415887206793,2,0.7206897679716349,5,8,3,0,D S,Granada,0,0.4838415887206793,1.209701981395483,1.0934065990149977
5234,Jesús Vallejo,21,1360,0,0.1089809983968734,0,0.0839044004678726,1,1,2,1,D M S,Granada,0,0.1089809983968734,1.663977598771453,1.663977598771453
7516,Nehuén Pérez,14,732,0,0.7787910252809525,0,0.0,5,0,4,0,D S,Granada,0,0.7787910252809525,0.7247995920479298,0.7247995920479298
7862,Yan Eteki,25,1327,0,0.2434170981869101,0,0.0924590015783906,7,4,4,1,M S,Granada,0,0.2434170981869101,0.6907912939786911,0.3864517025649547
7864,Carlos Neva,22,1806,0,0.7145009050145745,0,0.271553598344326,8,6,1,0,D S,Granada,0,0.7145009050145745,2.710523383691907,1.791442185640335
8215,Pepe Sanchez,3,256,0,0.0198007002472877,0,0.1336700022220611,1,2,0,0,D,Granada,0,0.0198007002472877,0.2563660144805908,0.1226959973573684
9109,Ángel Jiménez,1,90,0,0.0,0,0.0,0,0,0,0,GK,Granada,0,0.0,0.0,0.0
9110,Sergio Barcia,1,90,0,0.0,0,0.0,0,0,1,0,D,Granada,0,0.0,0.0,0.0
9111,Isma Ruiz,1,69,0,0.0,0,0.0,0,0,0,0,M,Granada,0,0.0,0.0,0.0
9112,Kingsley Fobi,1,43,0,0.0,0,0.0,0,0,0,0,S,Granada,0,0.0,0.0,0.0
9113,Álvaro Bravo,1,13,0,0.0,0,0.0,0,0,0,0,S,Granada,0,0.0,0.0,0.0
9114,Juan Brunet,2,22,0,0.0,0,0.0,0,0,0,0,S,Granada,0,0.0,0.0,0.0
9115,Daniel Plomer,1,43,0,0.0,0,0.0,0,0,0,0,S,Granada,0,0.0,0.0,0.0
