id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1235,Ante Budimir,30,1628,11,9.92860632482916,0,0.7743711899966002,46,9,3,0,F S,Osasuna,11,9.92860632482916,9.380053706467152,0.9583336962386966
5093,Roberto Torres,35,1869,7,6.141626265831292,1,2.213894747197628,48,20,0,0,F M S,Osasuna,3,2.42523589450866,5.592688678763807,2.778164256364107
1672,Jonathan Calleri,25,1560,5,5.450926804915071,2,0.7859487868845463,48,10,4,0,F S,Osasuna,5,5.450926804915071,7.066380508244038,2.000843208283186
2183,Rubén García,37,2762,3,2.551163187250495,5,5.708181561902165,30,53,2,0,D F M S,Osasuna,2,1.8078860845416784,9.072718435898423,5.4393575275316834
5037,Darko Brasanac,16,902,2,0.9188610026612878,0,0.1515476992353797,8,5,4,0,M S,Osasuna,2,0.9188610026612878,3.674692914821208,2.604287207126617
5140,Kike Barja,33,1438,2,2.1514246743172407,3,2.300778618082404,22,16,2,0,F M S,Osasuna,2,2.1514246743172407,5.852036414667964,1.8605230059474709
7857,Jon Moncayola,36,2660,2,1.170622819568962,0,1.0245187943801284,38,17,5,1,M S,Osasuna,2,1.170622819568962,5.869026073254645,4.472820673137903
1884,Facundo Roncaglia,17,1238,1,0.4307270077988505,1,0.5459755100309849,13,5,1,1,D S,Osasuna,1,0.4307270077988505,2.679336238652468,1.880412494763732
2305,Adrián,17,468,1,1.4371745809912682,1,0.1445936001837253,10,4,0,0,F S,Osasuna,1,1.4371745809912682,1.895627101883292,0.5833753105252981
5090,David García,35,3150,1,1.575081218034029,0,0.5677853990346193,13,5,8,0,D,Osasuna,1,1.575081218034029,2.975673785433173,2.8912922758609056
8263,Javi Martínez,13,470,1,0.7709705904126167,1,0.3842144925147295,3,6,1,0,F M S,Osasuna,1,0.7709705904126167,1.596793687902391,0.5333012035116553
2188,Rubén Martínez,3,187,0,0.0,0,0.0,0,0,0,1,GK,Osasuna,0,0.0,0.1229590028524398,0.1229590028524398
2216,Jony,22,869,0,0.6392535921186209,2,2.621338110417128,10,19,0,0,F M S,Osasuna,0,0.6392535921186209,3.748573111370206,2.312676712870598
4130,Raúl Navas,2,169,0,0.0,0,0.0147200999781489,0,1,0,0,D,Osasuna,0,0.0,0.3662451086565852,0.3515250086784363
5128,Oier,32,2097,0,1.0907562021166086,2,2.011466802097857,16,15,9,0,M S,Osasuna,0,1.0907562021166086,4.405683446675539,2.2502286173403263
5141,Unai García,17,1246,0,0.3543995078653097,0,0.4441731926053762,5,3,3,0,D S,Osasuna,0,0.3543995078653097,2.546972882002592,2.139007586054504
5159,Marc Cardona,3,46,0,0.2578479945659637,0,0.0,1,0,0,0,S,Osasuna,0,0.2578479945659637,0.2578479945659637,0.0
5162,Nacho Vidal,34,2338,0,0.708068092353642,0,1.6080624759197235,10,12,10,0,D M S,Osasuna,0,0.708068092353642,4.944206807762384,3.719675665721297
5172,Juan Pérez,3,270,0,0.0,0,0.0,0,0,0,0,GK,Osasuna,0,0.0,0.0480253994464874,0.0480253994464874
6243,Jonás Ramalho,5,302,0,0.0,0,0.0232491008937358,0,1,0,0,D S,Osasuna,0,0.0,1.2678481843322515,1.244599213823676
6955,Ezequiel Ávila,8,195,0,0.3832723069936037,0,0.0,8,0,0,0,F M S,Osasuna,0,0.3832723069936037,0.4494612012058496,0.0661891996860504
7050,Lucas Torró,25,1535,0,1.6275924975052476,1,0.3347748070955276,17,6,4,0,M S,Osasuna,0,1.6275924975052476,6.100066581740975,4.935089323669672
7349,Enric Gallego,22,793,0,2.170097092166543,2,0.5562379052862525,14,7,2,0,F S,Osasuna,0,2.170097092166543,2.464842393994332,0.4507876010611653
7605,Manuel Sánchez,17,1025,0,0.1476124972105026,5,1.9899483136832716,3,15,4,0,D S,Osasuna,0,0.1476124972105026,3.464733678847552,2.356903104111552
7856,Aridane Hernández,24,2026,0,0.0756667973473668,0,0.3567367056384682,2,5,3,1,D,Osasuna,0,0.0756667973473668,1.6474757241085172,1.385648723691702
7859,Sergio Herrera,33,2958,0,0.0,0,0.1201749965548515,0,1,2,0,GK S,Osasuna,0,0.0,2.542408585548401,2.4222335889935493
8131,Iñigo Pérez,22,1359,0,0.2396469991654157,0,1.0919824773445723,8,14,2,1,D M S,Osasuna,0,0.2396469991654157,3.631806677207351,3.036819387227297
8744,Juan Cruz,26,1972,0,0.0412340983748436,0,0.3321196502074599,1,11,4,0,D S,Osasuna,0,0.0412340983748436,2.519699851050973,2.211903888732195
