id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
866,Joselu,37,3132,14,13.482938756234944,4,3.919130955357105,97,35,0,0,F S,Alaves,8,8.279990379698575,11.487721542827783,2.962459903210401
2437,Gonzalo Escalante,17,1325,5,3.461054957471788,0,0.1989253973588347,16,7,7,0,M S,Alaves,5,3.461054957471788,4.3980217687785625,1.8974783401936293
5044,Víctor Laguardia,34,3049,3,2.399155198596418,2,0.8964286772534251,13,5,9,0,D,Alaves,3,2.399155198596418,5.301183699630201,5.226729799062014
9774,Mamadou Loum,32,2334,2,3.179170350544154,0,0.5883107930421829,33,9,10,0,M S,Alaves,2,3.179170350544154,4.403931312263012,3.095625452697277
2088,Edgar Méndez,32,1626,1,1.4280463047325611,1,3.0556470789015293,25,18,6,0,F M S,Alaves,1,1.4280463047325611,4.481748745776713,0.3224223023280501
6117,Pere Pons,27,1400,1,2.046254502609372,0,0.6390928104519844,15,12,2,0,M S,Alaves,1,2.046254502609372,3.832942984998226,1.3636300852522254
6924,Miguel De la Fuente,22,832,1,2.365213455632329,1,0.5297265108674765,22,5,2,0,F M S,Alaves,1,2.365213455632329,3.1460153497755527,0.4264601347967982
7834,Manu Vallejo,20,410,1,0.7939940914511681,1,0.7334174904972315,6,5,3,0,F M S,Alaves,1,0.7939940914511681,1.955521583557129,1.1402849033474922
7870,Luis Rioja,37,3149,1,2.7884209882467985,3,5.357528327964246,44,34,3,0,F M S,Alaves,1,2.7884209882467985,10.18100276775658,4.223165171220899
683,Matt Miazga,11,825,0,0.3793249949812889,0,0.1623950004577636,7,2,2,0,D S,Alaves,0,0.3793249949812889,0.1445916006341576,0.1445916006341576
906,Manu García,24,1047,0,0.362280698493123,1,1.124371889512986,8,20,3,0,M S,Alaves,0,0.362280698493123,1.236526696011424,0.5876366123557091
2110,Rubén Duarte,34,2641,0,0.2588429972529411,4,2.6828973665833478,9,21,10,1,D S,Alaves,0,0.2588429972529411,5.664669398218393,3.846736405044794
2287,John Guidetti,10,261,0,0.5944948978722095,0,0.1047341004014015,10,4,2,0,F S,Alaves,0,0.5944948978722095,0.6391677986830473,0.1877786964178085
2433,Mamadou Sylla,25,604,0,1.2443447895348072,0,0.2391186989843845,13,5,3,0,F S,Alaves,0,1.2443447895348072,1.413289294578135,0.3539931941777468
2482,Tomás Pina,29,1422,0,0.6476921932771802,0,0.0767075000330805,6,2,4,0,M S,Alaves,0,0.6476921932771802,2.692365100607276,2.074979677796364
4052,Ximo Navarro,18,1352,0,0.5951946098357439,0,0.7708486765623093,10,4,4,1,D S,Alaves,0,0.5951946098357439,1.7773802932351828,0.5421484913676977
4076,Jason,19,752,0,0.9069329197518528,1,1.563448704779148,11,19,3,0,M S,Alaves,0,0.9069329197518528,2.7063269298523664,1.426114591769874
5042,Fernando Pacheco,34,3054,0,0.0,0,0.0424397997558116,0,2,1,0,GK,Alaves,0,0.0,1.4128342121839523,1.3703944142907858
5073,Florian Lejeune,30,2700,0,1.1048721629194915,0,0.1077867280691862,22,5,7,1,D,Alaves,0,1.1048721629194915,3.891464160289616,3.86818652972579
5124,Alberto Rodríguez,5,235,0,0.0,0,0.0336222015321254,0,1,1,0,D S,Alaves,0,0.0,0.0336222015321254,0.0
5178,Antonio Moya,28,1392,0,0.9262001663446426,1,2.493540793657303,12,23,2,0,M S,Alaves,0,0.9262001663446426,2.312203816138208,1.1510144835337996
5198,Martín Aguirregabiria,24,1624,0,0.1670932518318295,1,0.6223430093377829,4,14,4,0,D M S,Alaves,0,0.1670932518318295,3.4999521300196648,2.9717942187562585
6075,Antonio Sivera,4,276,0,0.0,0,0.0,0,0,1,0,GK S,Alaves,0,0.0,0.5626061856746674,0.5626061856746674
7529,Iván Martín,6,161,0,0.0390033014118671,0,0.0,1,0,0,0,M S,Alaves,0,0.0390033014118671,0.0862952023744583,0.0472919009625911
8413,Javier López,9,454,0,0.0,0,0.2122365981340408,0,4,2,0,D S,Alaves,0,0.0,0.3762516975402832,0.1640151031315326
9324,Facundo Pellistri,21,636,0,0.5059835929423571,0,0.33521300368011,7,6,0,0,F M S,Alaves,0,0.5059835929423571,1.1089470963925123,0.3314249087125063
9775,Saul García,1,2,0,0.0,0,0.0,0,0,0,0,S,Alaves,0,0.0,0.0,0.0
10010,Jesús Owono,1,90,0,0.0,0,0.0,0,0,0,0,GK,Alaves,0,0.0,0.0,0.0
10181,Alex Tirlea,1,12,0,0.0,0,0.0,0,0,0,0,S,Alaves,0,0.0,0.0,0.0
10221,Tomás Mendes,1,7,0,0.0,0,0.0,0,0,0,0,S,Alaves,0,0.0,0.0,0.0
10364,Nahuel Tenaglia,14,1072,0,0.1599382031708955,0,0.1708949021995067,6,3,2,0,D S,Alaves,0,0.1599382031708955,2.3307974487543106,2.083204425871372
10590,Marc Urena,3,44,0,0.0,0,0.3772909939289093,0,1,2,0,S,Alaves,0,0.0,0.3772909939289093,0.0
10618,Unai Ropero,1,10,0,0.0,0,0.0,0,0,0,0,S,Alaves,0,0.0,0.0,0.0
