id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2275,Ángel Correa,36,1879,12,7.528373403474688,5,3.6459022108465433,50,25,3,1,F M S,Atletico Madrid,12,7.528373403474688,14.415172526612878,4.4162845173850656
2098,Luis Suárez,35,1829,11,10.48271519690752,2,1.8571418775245547,54,15,7,0,F S,Atletico Madrid,9,8.25288113579154,10.290383666753767,2.188567325472832
7892,João Félix,24,1259,8,6.421432305127382,4,4.142435677349567,39,19,1,1,F M S,Atletico Madrid,8,6.421432305127382,10.240179769694803,2.3597911782562733
2272,Yannick Carrasco,34,2604,6,5.40252916701138,6,7.216075102798641,50,54,5,0,D F M S,Atletico Madrid,4,3.91598211415112,13.68930010125041,5.746005650609732
7080,Matheus Cunha,29,1026,6,7.314570837654173,4,2.119887415319681,37,8,3,0,F S,Atletico Madrid,6,7.314570837654173,10.537528716027737,3.1179433912038803
3425,Thomas Lemar,24,1458,4,4.04986366443336,5,3.5714904852211475,29,31,2,0,M S,Atletico Madrid,4,4.04986366443336,10.168171186000109,5.720761759206653
1145,Rodrigo de Paul,36,2155,3,1.5343125881627202,1,4.635301631875336,24,50,7,0,M S,Atletico Madrid,3,1.5343125881627202,10.630576400086284,7.513120701536536
2270,Antoine Griezmann,29,1994,3,6.075659070163965,4,3.1772906873375177,47,26,3,0,F M S,Atletico Madrid,3,6.075659070163965,12.6171166151762,6.003899410367012
6136,Mario Hermoso,26,1874,2,2.0724501283839345,1,0.613714509177953,17,9,5,1,D S,Atletico Madrid,2,2.0724501283839345,8.82990095578134,7.380913464352488
7891,Renan Lodi,29,1172,2,0.9801207091659307,2,2.395130567252636,10,11,4,0,D M S,Atletico Madrid,2,0.9801207091659307,7.670794330537319,5.180695001035929
7921,Felipe,26,1488,2,1.2815612256526947,1,0.6495694816112518,11,5,5,1,D S,Atletico Madrid,2,1.2815612256526947,3.871247540228069,3.798184239305556
1516,Geoffrey Kondogbia,28,1883,1,0.3789184996858239,2,1.2443712828680873,15,11,9,2,D M S,Atletico Madrid,1,0.3789184996858239,8.639906276017427,7.204807233065367
1951,Sime Vrsaljko,21,904,1,1.080970985814929,2,0.8506032899022102,4,3,4,0,D S,Atletico Madrid,1,1.080970985814929,3.2864190097898245,2.776767715811729
2269,Koke,31,2516,1,0.7069575753994286,2,1.7270692083984611,12,26,6,0,M S,Atletico Madrid,1,0.7069575753994286,12.277745366096497,10.671851167455316
2278,Giménez,24,2054,1,1.3384028356522322,1,0.7287133038043976,20,5,7,0,D,Atletico Madrid,1,1.3384028356522322,4.359657720662653,4.2805602150037885
2284,Daniel Wass,20,1665,1,1.99581219162792,1,0.5653620045632124,28,14,7,0,M S,Atletico Madrid,1,1.99581219162792,4.788702603429556,3.513596346601844
652,Kieran Trippier,15,974,0,0.1171780005097389,0,0.3361988943070173,2,7,1,0,D M S,Atletico Madrid,0,0.1171780005097389,3.754542540758848,3.575937520712614
2261,Jan Oblak,38,3420,0,0.0468459986150264,0,0.0,1,0,2,0,GK,Atletico Madrid,0,0.0468459986150264,3.440849471837282,3.440849471837282
2263,Stefan Savic,28,2440,0,2.3240502942353487,0,0.1341258026659488,15,3,12,0,D,Atletico Madrid,0,2.3240502942353487,4.867565102875233,4.833290204405785
2266,Saúl Ñíguez,3,194,0,0.2948605008423328,1,0.1121580004692077,4,1,0,0,M S,Atletico Madrid,0,0.2948605008423328,0.9894759953022004,0.6946149915456772
2518,Marcos Llorente,29,2474,0,0.6577439038082957,2,2.576183594763279,16,26,5,0,D M,Atletico Madrid,0,0.6577439038082957,8.57559685409069,6.533776381984353
7432,Reinildo,17,1305,0,0.2533860057592392,0,0.0852158982306718,2,3,5,0,D S,Atletico Madrid,0,0.2533860057592392,2.6172784082591534,2.5516461115330458
7893,Héctor Herrera,21,832,0,0.2988679921254515,0,0.5982242943719029,8,10,4,0,M S,Atletico Madrid,0,0.2988679921254515,2.7618050444871187,2.3926545549184084
9795,Javier Serrano,5,64,0,0.0,0,0.0,0,0,1,1,M S,Atletico Madrid,0,0.0,0.2290270030498504,0.2290270030498504
9796,Giuliano Simeone,1,1,0,0.0,0,0.0,0,0,0,0,S,Atletico Madrid,0,0.0,0.0,0.0
10101,Carlos Martín,1,1,0,0.0,0,0.0,0,0,1,0,S,Atletico Madrid,0,0.0,0.0,0.0
