id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
5169,Youssef En-Nesyri,31,1642,8,9.021287601441143,1,1.5004541031084957,59,10,4,0,F M S,Sevilla,8,9.021287601441143,10.731832148507236,1.5815792866051197
644,Erik Lamela,32,1846,6,6.223248302936554,0,1.5323463045060637,47,23,8,1,D F M S,Sevilla,6,6.223248302936554,9.57962186448276,3.953694580122829
2589,Rafa Mir,26,1303,6,8.138766031712294,0,0.923073842190206,51,9,1,0,F M S,Sevilla,6,8.138766031712294,8.636538857594132,1.087171877734363
1109,Lucas Ocampos,19,1155,4,4.324829484336078,0,0.9793771132826804,29,13,7,0,F M S,Sevilla,1,2.0949972374364734,5.242225570604205,2.408514514565468
2424,Óliver Torres,32,2192,3,2.6738771479576826,1,3.361958678811789,22,38,2,0,F M S,Sevilla,3,2.6738771479576826,11.847869066521524,7.417101534083486
7888,Nemanja Gudelj,34,2772,3,2.136961732059717,1,0.5693970732390881,38,5,8,0,D M S,Sevilla,3,2.136961732059717,4.984419351443648,3.642415271140635
8939,Marcos Acuña,30,1919,3,0.7936642784625292,2,5.484497045166791,21,38,9,3,D M S,Sevilla,3,0.7936642784625292,8.677886949852109,6.379514014348388
9809,José Ángel Carmona,19,1128,3,1.8526497036218643,1,0.4945716978982091,10,6,7,2,D M S,Sevilla,3,1.8526497036218643,2.410325043834746,0.7621443970128894
1129,Suso,25,1050,2,1.0977844838052988,4,2.8383015021681786,25,28,1,0,F M S,Sevilla,2,1.0977844838052988,5.286482717841864,2.261879350990057
7338,Bryan Gil Salvatierra,17,924,2,3.708265768364072,2,0.8172996062785387,17,8,4,0,D M S,Sevilla,2,3.708265768364072,6.243981336243451,1.864203150384128
1491,Alejandro Gomez,19,1060,1,1.48479794152081,1,2.053089139983058,22,14,4,0,F M S,Sevilla,1,1.48479794152081,7.090924225747585,3.941116283647716
2094,Ivan Rakitic,31,1788,1,3.0687213544733822,3,1.7961411206051707,31,28,3,1,M S,Sevilla,0,1.5821661413647234,8.292131656315178,6.440075376071036
3388,Karim Rekik,16,1197,1,0.744144270196557,1,0.1373257264494896,8,4,2,0,D S,Sevilla,1,0.744144270196557,4.2525789849460125,3.576131902635097
7981,Nianzou Kouassi,19,1370,1,0.3527458794414997,0,0.0168817993253469,6,1,1,1,D S,Sevilla,1,0.3527458794414997,1.5653829770162702,1.548500974662602
8665,Loic Bade,19,1444,1,0.9007304459810256,0,0.1164302974939346,4,2,4,0,D S,Sevilla,1,0.9007304459810256,3.812847563996911,3.6964175198227167
8696,Pape Alassane Gueye,16,1186,1,1.7227493803948164,3,1.3830681256949902,20,10,2,3,M S,Sevilla,1,1.7227493803948164,5.552737345919013,3.770221248269081
10323,Jesús Corona,4,105,1,0.4191984832286834,0,0.1423097476363182,1,3,0,0,M S,Sevilla,1,0.4191984832286834,1.1880550719797611,0.6265468634665012
10334,Kike Salas,6,364,1,0.1137035973370075,1,0.460996001958847,3,1,1,1,D S,Sevilla,1,0.1137035973370075,0.1532491957768798,0.1532491957768798
323,Adnan Januzaj,2,48,0,0.0,0,0.0,0,0,0,0,M S,Sevilla,0,0.0,0.0,0.0
615,Fernando,22,1590,0,0.2176484111696481,1,0.6410906948149204,6,9,3,1,D M S,Sevilla,0,0.2176484111696481,3.3378488272428517,2.660781491547823
616,Jesús Navas,32,1978,0,0.2286426499485969,0,2.0216827169060707,10,26,5,0,D F M S,Sevilla,0,0.2286426499485969,6.861274292692542,5.298695201054215
1828,Alex Telles,27,1417,0,0.3782238299027085,2,1.4940415490418673,12,19,6,0,D S,Sevilla,0,0.3782238299027085,3.430224734358489,1.8792855944484472
2122,Joan Jordán,23,1607,0,0.6404351843520999,1,0.3249107059091329,13,8,8,0,M S,Sevilla,0,0.6404351843520999,5.43619673140347,4.854868249967694
2255,Isco,12,813,0,0.1414475990459323,2,1.4168379111215472,4,17,5,0,F M S,Sevilla,0,0.1414475990459323,1.773023317568004,0.3901673993095755
5230,Thomas Delaney,8,292,0,0.1611188016831874,0,0.0949782989919185,3,2,3,0,M S,Sevilla,0,0.1611188016831874,0.3045145981013775,0.2219352936372161
6120,Bono,25,2155,0,0.0,0,0.0,0,0,1,0,GK,Sevilla,0,0.0,2.3140338519588117,2.3140338519588117
6224,Marko Dmitrovic,15,1265,0,0.0,0,0.0,0,0,1,0,GK S,Sevilla,0,0.0,0.5515558794140816,0.5515558794140816
8025,Kasper Dolberg,4,187,0,0.0589314997196197,1,0.5356420278549194,2,1,0,0,F S,Sevilla,0,0.0589314997196197,0.5945735275745392,0.0
9275,Iván Romero,1,7,0,0.0,0,0.0,0,0,1,0,S,Sevilla,0,0.0,0.0,0.0
9808,Pedro Ortiz,1,1,0,0.0,0,0.0,0,0,0,0,S,Sevilla,0,0.0,0.0,0.0
9897,Gonzalo Montiel,28,1512,0,1.0975315943360329,3,2.563980428501964,8,20,8,1,D S,Sevilla,0,1.0975315943360329,6.726858721114695,4.848179659806192
10999,Marcão,5,371,0,0.0,0,0.0,0,0,2,0,D S,Sevilla,0,0.0,0.471064799465239,0.471064799465239
11264,Carlos Álvarez,1,5,0,0.0,0,0.0,0,0,1,0,S,Sevilla,0,0.0,0.1165859997272491,0.1165859997272491
11265,Diego Hormigo,1,47,0,0.0,0,0.0,0,0,1,0,D,Sevilla,0,0.0,0.0,0.0
11266,Manu Bueno,2,151,0,0.0189492311328649,0,0.0440704263746738,1,2,0,0,M,Sevilla,0,0.0189492311328649,0.1341557167470455,0.0900852903723716
