id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
3423,Kylian Mbappe-Lottin,13,1151,13,12.055439341813326,3,3.750320892781019,62,37,3,0,F,Real Madrid,10,9.082328755408525,14.015795409679413,4.042178295552731,La-Liga,2025-2026,13,2025-11-26 18:51:38
227,Robert Lewandowski,10,499,8,7.086056023836136,0,0.42753999680280685,25,2,1,0,F S,Barcelona,7,5.599500849843025,6.911529213190079,1.3010589629411697,La-Liga,2025-2026,13,2025-11-26 18:51:38
6441,Ferrán Torres,12,818,7,6.408058077096939,1,1.8889510929584503,31,14,1,0,F M S,Barcelona,7,6.408058077096939,9.880434930324554,2.1472349986433983,La-Liga,2025-2026,13,2025-11-26 18:51:38
10846,Julián Álvarez,13,1032,7,7.000124804675579,2,3.9984100870788097,31,27,2,0,F,Atletico Madrid,5,4.7702919617295265,10.267124891281128,3.9347941987216473,La-Liga,2025-2026,13,2025-11-26 18:51:38
9002,Vedat Muriqi,12,921,6,4.8864391557872295,0,0.12538825068622828,31,4,1,1,F S,Mallorca,5,4.143161546438932,5.385888978838921,1.7651072763837874,La-Liga,2025-2026,13,2025-11-26 18:51:38
10930,Etta Eyong,13,1078,6,7.503642305731773,3,1.735460015013814,29,9,2,0,F,"Levante,Villarreal",6,6.760364681482315,6.9541532546281815,0.635459927842021,La-Liga,2025-2026,13,2025-11-26 18:51:38
2234,Mikel Oyarzabal,13,1150,5,6.800868723541498,3,3.7605815567076206,39,23,1,0,F,Real Sociedad,2,4.571035888046026,9.241373345255852,3.335221018642187,La-Liga,2025-2026,13,2025-11-26 18:51:38
2543,Borja Iglesias,13,748,5,4.651836976408958,2,1.089340841397643,21,12,2,0,F S,Celta Vigo,4,3.9085593707859516,6.108245451003313,1.656327050179243,La-Liga,2025-2026,13,2025-11-26 18:51:38
4175,Pere Milla,11,776,5,4.524631358683109,0,1.8892087861895561,37,15,4,1,F M S,Espanyol,5,4.524631358683109,5.71323680691421,1.6800705902278423,La-Liga,2025-2026,13,2025-11-26 18:51:38
6954,Juan Camilo Hernández,13,1138,5,3.918730303645134,2,2.1211755573749542,41,15,2,0,F,Real Betis,5,3.918730303645134,8.179013825953007,2.455325392074883,La-Liga,2025-2026,13,2025-11-26 18:51:38
7008,Vinícius Júnior,13,924,5,4.816032446920872,4,3.3592364005744457,34,28,1,0,F M S,Real Madrid,4,3.3294771909713745,9.131471738219261,2.786742789670825,La-Liga,2025-2026,13,2025-11-26 18:51:38
1235,Ante Budimir,12,926,4,4.365839213132858,0,0.19013910740613937,30,3,0,0,F S,Osasuna,2,2.136006359010935,2.5760223772376776,0.6775475945323706,La-Liga,2025-2026,13,2025-11-26 18:51:38
2120,Gerard Moreno,6,387,4,2.1238149851560593,0,1.5372771807014942,12,9,0,0,F,Villarreal,3,1.3805373758077621,3.9139655753970146,2.1956564970314503,La-Liga,2025-2026,13,2025-11-26 18:51:38
2252,Borja Mayoral,10,762,4,2.3666172921657562,1,0.5318673253059387,8,4,0,0,F S,Getafe,4,2.3666172921657562,2.0945493653416634,0.24291327595710754,La-Liga,2025-2026,13,2025-11-26 18:51:38
2270,Antoine Griezmann,13,495,4,3.5537404250353575,0,1.3216251507401466,22,12,0,0,F S,Atletico Madrid,4,3.5537404250353575,6.134763091802597,1.8492208048701286,La-Liga,2025-2026,13,2025-11-26 18:51:38
2589,Rafa Mir,13,967,4,3.9129156097769737,0,0.27359805814921856,36,4,1,0,F M S,Elche,4,3.169765941798687,4.1542252115905285,0.9298793226480484,La-Liga,2025-2026,13,2025-11-26 18:51:38
6170,André Silva,12,695,4,3.723447439260781,0,1.094834130257368,22,13,0,0,F S,Elche,4,3.723447439260781,5.437521755695343,0.926511462777853,La-Liga,2025-2026,13,2025-11-26 18:51:38
6637,Hugo Duro,13,630,4,2.525262787938118,0,0.8013681471347809,12,5,1,0,F S,Valencia,4,2.525262787938118,3.5011705830693245,0.8230845425277948,La-Liga,2025-2026,13,2025-11-26 18:51:38
8107,Jorge De Frutos,12,970,4,4.51335190795362,1,1.4573781061917543,20,14,1,0,F M,Rayo Vallecano,4,4.51335190795362,6.519939171150327,1.0379819013178349,La-Liga,2025-2026,13,2025-11-26 18:51:38
9275,Iván Romero,10,814,4,3.8805624544620514,0,0.887079942971468,22,8,1,0,F M,Levante,4,3.8805624544620514,4.8150831907987595,0.6052074283361435,La-Liga,2025-2026,13,2025-11-26 18:51:38
11094,Antony,9,784,4,2.7949866577982903,1,1.5653944350779057,32,15,1,1,M,Real Betis,4,2.7949866577982903,6.662225842475891,3.398913696408272,La-Liga,2025-2026,13,2025-11-26 18:51:38
11527,Lamine Yamal,9,726,4,3.8331538662314415,6,2.800459139049053,41,17,0,0,F M S,Barcelona,3,3.089876249432564,8.425441808998585,4.130118310451508,La-Liga,2025-2026,13,2025-11-26 18:51:38
11822,Fermín López,9,551,4,2.1362949535250664,2,2.550870466977358,22,10,1,0,M S,Barcelona,4,2.1362949535250664,7.071773082017899,3.399747781455517,La-Liga,2025-2026,13,2025-11-26 18:51:38
12160,Alberto Moleiro,13,762,4,2.8631370551884174,2,1.591504406183958,18,11,1,0,F M S,Villarreal,4,2.8631370551884174,5.420828245580196,1.7189244497567415,La-Liga,2025-2026,13,2025-11-26 18:51:38
12322,Tajon Buchanan,13,727,4,1.2917988523840904,0,1.508893445134163,9,8,4,0,F M S,Villarreal,4,1.2917988523840904,4.530292322859168,1.7720046835020185,La-Liga,2025-2026,13,2025-11-26 18:51:38
1709,Cristhian Stuani,9,184,3,2.948501229286194,0,0,5,0,2,0,F S,Girona,0,0.7186683118343353,1.2280937135219574,0.5094254016876221,La-Liga,2025-2026,13,2025-11-26 18:51:38
6227,Brais Méndez,12,748,3,2.239334885030985,2,1.35491231828928,13,14,3,0,F M S,Real Sociedad,3,2.239334885030985,5.229172065854073,2.53259739279747,La-Liga,2025-2026,13,2025-11-26 18:51:38
7071,Álvaro García,13,881,3,4.057428389787674,1,2.977826915681362,20,11,2,0,M S,Rayo Vallecano,3,4.057428389787674,7.832927202805877,0.7976717762649059,La-Liga,2025-2026,13,2025-11-26 18:51:38
7810,Ruben Vargas,12,900,3,2.2198394425213337,4,1.764968678355217,22,11,1,0,F M S,Sevilla,2,1.4765618108212948,3.8655285760760307,1.4634124469012022,La-Liga,2025-2026,13,2025-11-26 18:51:38
8026,Raphinha,7,404,3,2.364055624231696,2,1.7994441706687212,17,12,2,0,F M S,Barcelona,3,2.364055624231696,6.261146545410156,2.720473051071167,La-Liga,2025-2026,13,2025-11-26 18:51:38
8066,Arnaut Danjuma Groeneveld,13,976,3,4.181124195456505,1,0.6503821667283773,23,4,0,0,F M S,Valencia,3,3.4378465861082077,4.458909682929516,0.9751815050840378,La-Liga,2025-2026,13,2025-11-26 18:51:38
8824,Jude Bellingham,9,569,3,3.788212336599827,2,1.630809124559164,20,12,0,0,M S,Real Madrid,3,3.788212336599827,5.941075824201107,3.35551037453115,La-Liga,2025-2026,13,2025-11-26 18:51:38
10095,Abdessamad Ezzalzouli,9,603,3,3.915593594312668,2,2.4432563986629248,22,10,1,0,M S,Real Betis,3,3.915593594312668,7.433079659938812,1.7297005150467157,La-Liga,2025-2026,13,2025-11-26 18:51:38
12190,Arda Güler,13,882,3,3.0232744589447975,5,4.055510738864541,23,34,1,0,M S,Real Madrid,3,3.0232744589447975,6.215657018125057,2.459139470010996,La-Liga,2025-2026,13,2025-11-26 18:51:38
12294,Carlos Vicente,13,816,3,2.9019883181899786,0,1.8426844738423824,7,14,1,0,F M S,Alaves,0,0.6721554901450872,2.6720775477588177,0.5892519988119602,La-Liga,2025-2026,13,2025-11-26 18:51:38
12305,Isaac Romero,10,650,3,2.7539360262453556,0,0.6106556504964828,16,4,3,0,F S,Sevilla,3,2.7539360262453556,3.715568747371435,0.49360622093081474,La-Liga,2025-2026,13,2025-11-26 18:51:38
13350,Roberto Fernández,13,881,3,3.2563723577186465,2,2.843969109468162,28,11,1,0,F S,Espanyol,3,3.2563723577186465,6.3598215486854315,1.0082241110503674,La-Liga,2025-2026,13,2025-11-26 18:51:38
