id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7746,Hwang Ui-Jo,32,2552,11,8.264751048758626,2,1.475280310958624,54,12,3,0,F M S,Bordeaux,11,8.264751048758626,10.20733985118568,1.2997122202068567
10029,Alberth Elis,20,1420,9,7.007992442697287,1,1.5961548145860434,31,16,2,0,F M S,Bordeaux,9,6.247896399348974,8.425770316272974,1.369372378103435
8970,Sékou Mara,26,889,6,5.028070843312889,0,0.6723708957433701,39,7,2,0,F S,Bordeaux,5,4.2679758430458605,4.667655439116061,1.1110510285943749
6884,Remi Oudin,33,1757,4,3.683493873104453,5,3.9152753595262766,57,21,5,0,D F M S,Bordeaux,4,3.683493873104453,8.02501240093261,2.2462614718824625
1126,M&#039;Baye Niang,22,745,3,2.909442000091076,1,1.3408574722707272,26,8,3,0,F S,Bordeaux,3,2.909442000091076,4.110855782404542,0.4270174112170934
8330,Jean Onana,23,1862,3,2.006982646882534,2,1.4154440816491842,21,14,3,1,M,Bordeaux,3,2.006982646882534,7.444456831552088,5.039853592403233
9806,Ricardo Mangas,29,2367,3,1.7600639769807458,1,0.6541308034211397,17,15,2,0,D M S,Bordeaux,3,1.7600639769807458,7.692728956229985,5.804246888495982
3477,Jimmy Briand,17,190,2,2.491746941115707,1,0.8865524027496576,10,11,1,0,F S,Bordeaux,1,0.9715572423301636,2.1194527968764305,0.8722484894096851
7122,Javairo Dilrosun,32,1732,2,2.5035006580874324,6,3.4630425944924355,41,31,3,0,F M S,Bordeaux,2,2.5035006580874324,6.980924782343209,4.404465800151229
150,Josuha Guilavogui,15,1339,1,1.5854274528101089,1,1.1168071371503174,10,13,4,0,D M,Bordeaux,1,1.5854274528101089,5.042523119598627,3.556769769638777
3626,Mexer,16,1230,1,0.2252225950360298,0,0.0,5,0,2,0,D S,Bordeaux,1,0.2252225950360298,3.280651551671326,3.280651551671326
3652,Enock Kwateng,29,2005,1,0.2540197074413299,0,1.520985297858715,7,16,4,1,D M S,Bordeaux,1,0.2540197074413299,5.268210269510746,4.330104298889637
6762,Yacine Adli,36,2261,1,1.4864552915096283,7,5.300591740757227,32,62,5,0,F M S,Bordeaux,1,1.4864552915096283,11.464434698224068,7.088253724388778
6947,Samuel Kalu,11,316,1,1.160245418548584,1,0.5048530101776123,13,2,1,0,F M S,Bordeaux,1,1.160245418548584,1.253526635468006,0.1481956001371145
8701,Timothee Pembele,26,1416,1,1.394147491082549,1,2.9050029516220093,18,14,3,0,D M S,Bordeaux,1,1.394147491082549,5.151114884763956,2.374386578798294
9980,Stian Rode Gregersen,24,1958,1,1.5399449802935123,1,0.4998565949499607,6,2,7,0,D S,Bordeaux,1,1.5399449802935123,3.157347137108445,3.125794136896729
93,Marcelo,13,1093,0,0.2608943060040474,0,0.2784146051853895,5,3,5,0,D,Bordeaux,0,0.2608943060040474,2.742410416714847,2.633075521327555
494,Laurent Koscielny,11,938,0,0.0,1,0.1573640033602714,0,2,2,0,D,Bordeaux,0,0.0,1.85195632558316,1.694592320360243
2242,Rubén Pardo,1,2,0,0.0,0,0.0,0,0,0,0,S,Bordeaux,0,0.0,0.0,0.0
3218,Benoit Costil,25,2250,0,0.0,0,0.0475778989493846,0,1,1,0,GK,Bordeaux,0,0.0,3.27187330275774,3.224295325577259
3305,Paul Baysse,2,6,0,0.0,0,0.0,0,0,0,0,S,Bordeaux,0,0.0,0.0,0.0
5587,Josh Maja,2,7,0,0.0,0,0.0641703978180885,0,1,0,0,S,Bordeaux,0,0.0,0.0641703978180885,0.0
6060,Otávio,16,1154,0,0.2936712433584034,0,0.1064514014869928,12,6,3,0,M S,Bordeaux,0,0.2936712433584034,3.1440115496516228,2.780139984562993
6636,Gaetan Poussin,13,1170,0,0.0,0,0.0,0,0,3,0,GK,Bordeaux,0,0.0,1.099754672497511,1.099754672497511
6902,Toma Basic,3,217,0,0.0698777008801698,1,0.3002593070268631,2,5,0,0,M,Bordeaux,0,0.0698777008801698,0.2521367967128753,0.0858386978507042
7745,Loris Benito,1,63,0,0.0,0,0.0,0,0,0,0,D,Bordeaux,0,0.0,0.0659262984991073,0.0659262984991073
8166,Mehdi Zerkane,6,69,0,0.0217886008322238,0,0.0456326007843017,1,1,0,0,S,Bordeaux,0,0.0217886008322238,0.277766402810812,0.2103452011942863
8920,Dilane Bakwa,5,33,0,0.1277999021112918,0,0.0,2,0,0,0,S,Bordeaux,0,0.1277999021112918,0.1277999021112918,0.0
9067,Amadou Traoré,1,17,0,0.0,0,0.0,0,0,0,0,S,Bordeaux,0,0.0,0.0,0.0
9212,Tom Lacoux,13,919,0,0.0234202994033694,0,0.2025162950158119,2,3,5,0,D M S,Bordeaux,0,0.0234202994033694,1.3098126277327538,1.1142499335110188
9378,Issouf Sissokho,7,443,0,0.0827665003016591,0,0.2895636931061744,3,8,1,1,M S,Bordeaux,0,0.0827665003016591,1.219911314547062,1.026546686887741
9637,Abdel Jalil Zaim Idriss Medioub,10,619,0,0.0672989999875426,0,0.0,3,0,0,0,D S,Bordeaux,0,0.0672989999875426,0.1670237006619572,0.1101946011185646
9807,Gideon Mensah,23,1200,0,0.176488995552063,2,2.1074842121452093,2,16,1,1,D M S,Bordeaux,0,0.176488995552063,4.133925741538405,3.043977879919112
9920,Fransérgio,26,1269,0,1.3281606025993824,1,0.3167814598418772,14,8,7,0,F M S,Bordeaux,0,1.3281606025993824,4.743091291747987,3.7146172439679503
10352,Johaneko Louis Jean,1,10,0,0.0,0,0.0,0,0,0,0,S,Bordeaux,0,0.0,0.0,0.0
10386,Anel Ahmedhodzic,15,1350,0,0.4953960021957755,1,0.4944580104202032,8,11,6,0,D,Bordeaux,0,0.4953960021957755,2.6036438327282667,2.148199785500765
10387,Danylo Ignatenko,11,683,0,0.2331746015697717,3,1.5058238925412295,12,13,3,1,M S,Bordeaux,0,0.2331746015697717,3.485932464711368,2.3868802217766643
10432,Thibault Klidje,5,66,0,0.0226601008325815,0,0.450801495462656,1,4,0,0,S,Bordeaux,0,0.0226601008325815,0.5333211943507195,0.0598602015525102
10581,Junior Mwanga,1,90,0,0.0,0,0.0,0,0,0,0,D,Bordeaux,0,0.0,0.1349779963493347,0.1349779963493347
