id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3530,Andy Delort,35,2730,18,17.200313100591302,3,5.394831563346088,114,39,3,0,F S,Nice,15,14.920087048783898,19.789531053975224,3.3958356585353613
6401,Amine Gouiri,38,2777,10,12.052416706457734,9,6.796851160936058,75,50,3,0,F M S,Nice,7,8.251946095377207,16.275909837335348,5.603671049699187
8025,Kasper Dolberg,26,1506,6,7.075866661965847,2,1.3227614890784023,40,15,0,0,F S,Nice,4,5.555672004818916,6.887662842869759,1.455225793644786
6963,Justin Kluivert,27,1907,4,2.8428059881553054,5,5.134205814450979,30,35,6,1,M S,Nice,4,2.8428059881553054,8.415009055286646,2.6743105947971344
7265,Kephren Thuram,36,1882,4,3.177119707688689,2,2.4435276612639427,22,21,4,0,M S,Nice,4,3.177119707688689,9.173790641129017,5.425753258168697
8050,Hichem Boudaoui,29,1641,3,1.5249937921762466,2,2.4562703743577003,15,15,6,0,M S,Nice,3,1.5249937921762466,6.79156619310379,3.954073576256633
1299,Mario Lemina,32,1997,2,2.7035823352634907,0,0.39325069822371,16,7,5,1,M S,Nice,2,2.7035823352634907,8.198937254026532,7.149094941094518
6878,Youcef Atal,17,1142,2,0.7145372927188873,1,1.0196653082966805,13,12,4,0,D S,Nice,2,0.7145372927188873,4.669596111401916,3.4651320707052946
8182,Lucas Da Cunha,25,1248,2,2.1547517557628453,1,2.3593417517840862,28,25,0,0,F M S,Nice,2,2.1547517557628453,5.966391236055642,2.475578013807535
8190,Melvin Bard,33,2610,2,0.7374056801199913,2,2.533024536445737,5,21,3,0,D S,Nice,2,0.7374056801199913,9.90270883589983,7.447148829698563
6816,Jean-Clair Todibo,36,3122,1,2.742501389235258,0,0.7605085019022226,18,15,6,0,D S,Nice,1,2.742501389235258,12.024407545104625,11.612995527684689
8006,Evann Guessand,20,387,1,1.874234260991216,2,1.4524920284748075,12,4,3,0,F S,Nice,1,1.874234260991216,2.703612105920911,0.1249121967703104
9919,Calvin Stengs,24,1076,1,3.535113566555083,1,2.618978409096598,21,23,1,0,M S,Nice,1,3.535113566555083,8.748735367320478,3.184915686026216
148,Dante,34,2872,0,0.7691219076514244,0,1.296306080184877,13,6,5,3,D S,Nice,0,0.7691219076514244,9.236453517340124,9.196438521146774
551,Morgan Schneiderlin,20,613,0,0.1431130021810531,1,0.1954291984438896,2,4,1,1,M S,Nice,0,0.1431130021810531,1.6397606916725636,1.3617410846054554
961,Jordan Amavi,10,533,0,0.0,0,0.1128356959670782,0,2,1,0,D S,Nice,0,0.0,1.53598390519619,1.4231486022472382
2387,Danilo,1,90,0,0.0,0,0.0,0,0,0,0,D,Nice,0,0.0,0.0,0.0
3729,Hassane Kamara,11,547,0,0.9957510083913804,0,1.279263973236084,12,3,2,0,D M S,Nice,0,0.9957510083913804,3.762716893106699,1.631608096882701
5652,Walter Benítez,37,3330,0,0.0,0,0.0,0,0,2,0,GK,Nice,0,0.0,2.350246526300907,2.350246526300907
5736,Myziane Maolida,1,29,0,0.0403847992420196,0,0.0,1,0,0,0,S,Nice,0,0.0403847992420196,0.0967056006193161,0.0563208013772964
5752,Alexis Claude Maurice,10,180,0,0.3382001938298344,2,1.0455190995708108,6,8,1,0,S,Nice,0,0.3382001938298344,1.355263901874423,0.5893509071320295
7772,Marcin Bulka,1,90,0,0.0,0,0.0,0,0,0,0,GK,Nice,0,0.0,0.0,0.0
8660,Jordan Lotomba,30,1786,0,0.5684328442439437,0,1.2829192951321602,9,14,4,0,D S,Nice,0,0.5684328442439437,8.674090223386884,7.634662406519055
8662,Dan Ndoye,3,200,0,0.2161920070648193,1,0.189652994275093,3,2,0,0,F S,Nice,0,0.2161920070648193,0.7341180145740509,0.3282730057835579
8663,Flavius Daniliuc,24,1280,0,0.2675442993640899,0,0.1403171978890895,4,3,4,0,D S,Nice,0,0.2675442993640899,2.5747692715376616,2.557849271222949
9655,Pablo Rosario,36,2745,0,1.3900679908692837,2,1.1668080883100629,19,20,7,0,D M S,Nice,0,1.3900679908692837,9.396062655374408,7.900813112035394
9658,Billal Brahimi,20,686,0,1.1769502852112057,1,1.8508135080337524,10,17,1,0,F M S,Nice,0,1.1769502852112057,3.112518707290292,1.1492165084928274
