id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8995,Hugo Ekitike,24,1282,10,8.203123487532139,3,1.6526274709030986,31,16,1,1,F M S,Reims,9,6.682938523590565,8.147719405591488,1.180037614889443
6883,Xavier Chavalerin,37,2954,5,1.8753024796023965,2,3.470522466115653,32,28,4,0,D F M S,Reims,5,1.8753024796023965,10.65925707295537,6.802857065573335
7908,Marshall Munetsi,24,1883,5,4.43908479437232,1,0.6083918027579784,31,7,7,0,D M S,Reims,5,4.43908479437232,6.221503918990493,2.67772095836699
8646,Wout Faes,37,3330,4,1.928336082957685,0,0.1205048002302646,22,3,2,0,D,Reims,4,1.928336082957685,4.455075977370143,4.288094874471426
5624,Yunis Abdelhamid,34,2983,2,1.6342334803193808,0,0.8099427986890078,18,9,5,1,D,Reims,2,1.6342334803193808,4.756734764203429,4.411293779499829
7397,Arbër Zeneli,9,406,2,1.3866765834391117,3,2.196814689785242,11,9,0,0,F S,Reims,2,1.3866765834391117,3.181983709335327,1.2442947030067444
7570,Moreto Cassamã,17,811,2,0.6463754894211888,0,0.4660455947741866,11,8,1,0,M S,Reims,2,0.6463754894211888,3.407813210040331,2.682918617501855
7719,Nathanael Mbuku,31,1421,2,2.8648622073233128,1,0.8387557044625282,33,10,1,0,F M S,Reims,2,2.8648622073233128,4.371927222236991,1.2423829976469278
8294,El Bilal Touré,21,1206,2,4.7454341519624,4,1.56270622741431,32,11,2,0,F M S,Reims,1,3.985344158485532,6.055887800641358,1.5667106891050937
9298,Alexis Flips,25,1064,2,1.8119257153011856,4,3.717227080836892,19,29,2,0,D F M S,Reims,1,1.051830609794706,4.7255192920565605,1.8264442961663008
10100,Kamory Doumbia,8,339,2,0.7118717096745968,1,1.0080524813383818,5,7,1,0,M S,Reims,2,0.7118717096745968,2.257037431001663,0.8751099957153201
10301,Jens Cajuste,8,365,2,1.7751381993293762,0,0.075126901268959,9,2,0,0,M S,Reims,1,1.015043206512928,0.7482089847326279,0.2875929921865463
6882,Ghislain Konan,28,2427,1,0.5812371047213674,3,3.5608003828674555,19,31,1,0,D M,Reims,1,0.5812371047213674,6.216024918016046,3.944510165136308
7151,Thomas Foket,29,2252,1,0.5314410030841827,0,1.7684468291699886,8,20,5,0,D M S,Reims,1,0.5314410030841827,4.244546007364988,2.6869816053658724
9140,Maxime Busi,18,1290,1,0.3401195965707302,0,1.2676678132265806,7,17,3,0,D S,Reims,1,0.3401195965707302,2.833968624472618,1.9251042362302544
9656,Ilan Kebbal,31,1797,1,1.2916626883670688,4,2.958335744217038,27,32,1,0,F M S,Reims,1,1.2916626883670688,7.406215596944094,4.471218293532729
9659,Bradley Locko,24,997,1,0.1112212007865309,1,0.3903166018426418,6,7,4,0,D M S,Reims,1,0.1112212007865309,2.205630585551262,1.7040924839675426
9978,Azor Matusiwa,29,2482,1,0.4472076017409563,1,0.8888298897072673,11,16,6,1,M,Reims,1,0.4472076017409563,6.148239677771926,5.640626534819603
9979,N&#039;Dri Koffi,10,365,1,1.0765835829079151,0,0.1706198449246585,9,4,1,0,F S,Reims,1,1.0765835829079151,1.6988786980509758,0.598909193649888
2782,Moussa Doumbia,4,77,0,0.927354708313942,0,0.0,4,0,0,0,S,Reims,0,0.1672596931457519,1.0529788304120302,0.8857197258621454
3786,Mathieu Cafaro,4,198,0,0.257005101069808,0,0.0644050016999244,6,1,2,0,F M S,Reims,0,0.257005101069808,0.3844522964209318,0.181615490000695
3962,Anastasios Donis,13,349,0,0.9846018329262732,0,0.3000213988125324,10,5,0,1,F M S,Reims,0,0.9846018329262732,0.6149075031280518,0.0218476001173257
4896,Andrew Gravillon,26,2142,0,0.7843594904989004,0,0.6739743463695049,16,10,5,2,D S,Reims,0,0.7843594904989004,3.1748310746625066,2.4300347706303
7178,Valon Berisha,13,438,0,0.2290357053279876,1,0.6879220865666866,4,8,0,1,M S,Reims,0,0.2290357053279876,0.3966663926839828,0.0911974981427192
