id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3277,Alexandre Lacazette,35,2944,27,27.37713794503361,5,5.372102389112115,115,48,3,0,F M S,Lyon,21,21.29636377375573,27.794760178774595,5.580205827020109
5657,Karl Toko Ekambi,36,2339,7,9.790105533786118,4,5.078304803930223,63,38,1,0,F M S,Lyon,7,9.790105533786118,18.46559631824493,6.247676584869623
10536,Tetê,17,1117,6,4.893394324928522,2,1.6350069120526314,30,10,3,0,F M S,Lyon,6,4.893394324928522,8.920108824968338,2.89501029625535
6420,Romain Faivre,26,1539,5,2.905648953281343,4,2.716280138120055,29,23,0,0,M S,Lyon,5,2.905648953281343,6.554494062438607,3.842236659489572
10016,Bradley Barcola,26,1431,5,4.831349156796932,8,5.332289844751358,27,25,3,0,F M S,Lyon,5,4.831349156796932,11.858489392325282,3.262598725035786
7328,Maxence Caqueret,36,2786,4,3.322642717510462,7,5.514702761545777,26,59,2,0,M S,Lyon,4,3.322642717510462,19.77249785233289,13.964762263000011
8094,Mathis Cherki,34,1871,4,5.026033102534711,6,7.575714014470577,61,68,3,0,F M S,Lyon,4,5.026033102534711,17.07565750926733,7.808850694447756
7142,Moussa Dembele,23,850,3,3.966980453580618,0,0.287425696849823,28,4,1,0,F S,Lyon,3,3.966980453580618,5.301698844879866,1.4602713864296677
9511,Castello Lukeba,34,2983,2,1.5713069448247552,0,0.1259805001318454,13,3,7,1,D S,Lyon,2,1.5713069448247552,10.487477157264948,10.426560554653406
602,Dejan Lovren,17,1467,1,0.88663390558213,0,0.6056106090545654,13,2,2,0,D,Lyon,1,0.88663390558213,5.706556905061007,5.689016867429018
3603,Corentin Tolisso,30,2059,1,1.6808423968032002,2,5.941287260502577,30,33,3,0,M S,Lyon,1,1.6808423968032002,18.159952774643894,13.808413870632648
5733,Houssem Aouar,16,516,1,2.1063591204583645,1,0.6970898434519768,14,6,2,0,M S,Lyon,1,2.1063591204583645,3.96096695959568,1.4074982851743698
6011,Thiago Mendes,31,2066,1,0.7017440218478441,1,0.5479787085205317,14,10,3,0,D M S,Lyon,1,0.7017440218478441,8.917178968898952,8.134451343677938
10701,Nicolás Tagliafico,34,3000,1,2.5828726030886173,3,4.095396446995437,24,24,5,0,D M,Lyon,1,2.5828726030886173,17.96764951571822,13.593159034848211
10702,Johann Lepenant,31,1935,1,1.017426456324756,2,2.4530802071094517,19,10,4,0,M S,Lyon,1,1.017426456324756,10.204815578646958,8.494066906161606
11350,Amin Sarr,13,533,1,1.642472987063229,1,0.5558527708053589,6,4,0,0,F S,Lyon,1,1.642472987063229,2.464210774749517,1.265486653894186
11399,Jeffinho,9,437,1,1.0804701559245586,0,0.5811426574364305,10,7,1,0,F M S,Lyon,1,1.0804701559245586,3.61318825557828,2.711373718455434
220,Jérôme Boateng,8,435,0,0.0,0,0.0878783985972404,0,1,0,0,D S,Lyon,0,0.0,0.8954406231641769,0.8075623214244843
1056,Jeff Reine-Adelaide,20,546,0,0.6488517597317696,1,1.0978434178978205,14,10,1,0,M S,Lyon,0,0.6488517597317696,4.236666284501553,2.8712102454155684
3269,Anthony Lopes,32,2816,0,0.0,0,0.0,0,0,2,1,GK,Lyon,0,0.0,3.132245090790093,3.132245090790093
3398,Rémy Riou,7,601,0,0.0,0,0.0,0,0,0,0,GK S,Lyon,0,0.0,0.9671879969537258,0.9671879969537258
3542,Damien Da Silva,7,327,0,0.1344590000808239,0,0.0,2,0,2,0,D S,Lyon,0,0.1344590000808239,0.9810023307800292,0.8771713078022003
7365,Lucas Paquetá,2,169,0,0.4521485008299351,0,0.1893843067809939,5,3,0,0,M,Lyon,0,0.4521485008299351,1.0590140223503113,0.461295984685421
8703,Sinaly Diomande,24,1966,0,0.4671635096892714,0,0.0638795085251331,10,3,2,1,D S,Lyon,0,0.4671635096892714,6.716355254873633,6.679515158757567
9017,Malo Gusto,21,1616,0,0.6175791900604963,1,2.989200968295336,7,23,1,0,D M S,Lyon,0,0.6175791900604963,7.803330281749368,6.312291512265801
9778,Henrique,7,350,0,0.0235130991786718,1,0.0748744830489158,1,1,0,0,D M S,Lyon,0,0.0235130991786718,0.3481169622391462,0.2497293800115585
10703,Mohamed El Arouch,1,1,0,0.0,0,0.0,0,0,0,0,S,Lyon,0,0.0,0.3320690095424652,0.3320690095424652
11157,Sael Kumbedi,20,1309,0,0.371173607185483,2,1.5532991020008922,9,10,8,0,D M S,Lyon,0,0.371173607185483,5.197519091889262,4.196516802534461
11253,Mamadou Sarr,1,6,0,0.0,0,0.1280941665172577,0,1,0,0,S,Lyon,0,0.0,0.1280941665172577,0.1280941665172577
