id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3210,Wissam Ben Yedder,32,2147,19,18.683628905564547,7,4.122635604813695,72,25,4,0,F S,Monaco,14,14.123128723353148,19.70761337131262,3.527148313820362
5356,Breel Embolo,32,1855,12,10.730522338300943,2,4.767423424869776,42,29,3,0,F S,Monaco,12,9.970424357801676,15.112155560404062,2.4591194596141577
2897,Aleksandr Golovin,34,2498,8,4.980011174455285,7,5.256224641576409,48,59,5,0,F M S,Monaco,8,4.980011174455285,15.789837254211308,7.990884819999337
9279,Krépin Diatta,31,2083,4,5.661583934910595,2,3.0159258292987943,41,26,3,0,D F M S,Monaco,4,5.661583934910595,12.430699498392642,4.692466459237039
10771,Ben Seghir,19,1072,4,1.956197548657656,1,1.6264765989035368,21,14,1,0,F M S,Monaco,4,1.956197548657656,6.153122834861279,3.0364242857322097
83,Kevin Volland,17,630,3,1.9067443571984768,2,1.7023817412555218,15,14,1,0,F M S,Monaco,3,1.9067443571984768,4.020031720399857,0.8281849641352892
6073,Guillermo Maripán,26,2163,3,1.8411252815276384,0,0.0737520009279251,16,2,4,1,D S,Monaco,3,1.8411252815276384,4.440582552924752,4.383364537730813
6885,Axel Disasi,38,3329,3,3.407572739757597,3,1.0930168218910694,28,9,3,0,D S,Monaco,3,2.6474776351824403,9.15804875548929,8.766599701717496
9612,Myron Boadu,12,281,3,3.1308793127536774,0,0.3500410988926887,8,4,0,0,F S,Monaco,3,3.1308793127536774,3.1502134799957275,0.0648290812969207
6846,Sofiane Diop,23,1295,2,3.632999651134014,4,2.1440189508721232,30,24,1,0,F M S,Monaco,2,3.632999651134014,7.810460330918431,2.813557032495737
6945,Youssouf Fofana,36,3088,2,2.030650452710688,2,3.252010581083596,42,32,2,2,M S,Monaco,2,2.030650452710688,14.774477191269398,11.286369399167596
7240,Benoit Badiashile Mukinayi,11,832,2,0.5582832135260105,0,0.5455020070075989,5,1,3,0,D S,Monaco,2,0.5582832135260105,1.475498728454113,1.4403280057013037
5177,Caio Henrique,35,2900,1,0.4765087757259607,9,6.326585746370256,10,52,3,0,D S,Monaco,1,0.4765087757259607,10.920732501894236,8.01418472174555
8239,Takumi Minamino,18,724,1,2.5049427524209023,3,1.7491028010845184,22,10,2,0,F M S,Monaco,1,2.5049427524209023,5.099047638475895,2.1437489576637745
8644,Eliot Matazo,23,1170,1,0.151798402890563,0,0.0739876860752701,4,2,2,0,M S,Monaco,1,0.151798402890563,1.986421794630587,1.9708956070244312
10271,Vanderson,31,2223,1,1.869379906915128,4,4.00152534339577,26,27,2,1,D M S,Monaco,1,1.869379906915128,7.978410434909165,3.910955565050244
11407,Edan Diop,7,209,1,1.1869675777852535,0,0.6963006854057312,6,3,0,0,M S,Monaco,1,1.1869675777852535,1.893077239394188,0.4053445309400558
2639,Alexander Nübel,38,3420,0,0.0,0,0.0196831002831459,0,1,2,0,GK,Monaco,0,0.0,3.340856110677123,3.321172909811139
5648,Malang Sarr,13,713,0,0.0254964008927345,0,0.0208247993141412,1,1,3,0,D S,Monaco,0,0.0254964008927345,2.537241280078888,2.516416482627392
6006,Ruben Aguilar,20,1171,0,0.5505883544683456,0,0.7018553614616394,4,3,3,0,D S,Monaco,0,0.5505883544683456,3.902655362151563,2.650211093015969
7012,Gelson Martins,11,333,0,0.9274640008807182,0,0.3994691036641598,12,3,0,0,M S,Monaco,0,0.9274640008807182,1.3023137943819163,0.437747904099524
7687,Jean Lucas,6,284,0,1.2664039731025696,0,0.077090099453926,5,3,0,0,M S,Monaco,0,1.2664039731025696,1.0411689765751362,0.2359930053353309
8146,Ismail Jakobs,32,1076,0,0.7558270208537579,2,1.1996560953557491,14,12,3,0,D M S,Monaco,0,0.7558270208537579,3.67944953776896,2.110187401995063
8643,Chrislain Matsima,14,665,0,0.6906849034130573,1,0.5142049789428711,4,1,0,0,D S,Monaco,0,0.6906849034130573,1.6437475671991706,1.129543541930616
10058,Maghnes Akliouche,11,412,0,0.4047940857708454,0,0.2107633538544178,5,6,3,0,F M S,Monaco,0,0.4047940857708454,0.8954582139849663,0.5544883273541927
10770,Soungoutou Magassa,2,79,0,0.0,0,0.0,0,0,0,0,S,Monaco,0,0.0,0.117026999592781,0.117026999592781
11006,Mohamed Camara,29,2206,0,0.9617398604750632,3,2.229152262210846,27,18,6,1,M S,Monaco,0,0.9617398604750632,12.112434014678,9.559408374130726
