id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6905,Ludovic Ajorque,31,2533,13,12.592709366232157,2,3.065709619782865,54,35,5,0,F S,Brest,13,11.832614213228226,12.956114443950357,3.216817481443286
3721,Romain Del Castillo,26,1246,6,4.310769828036428,4,4.434545466676354,21,37,0,0,F M S,Brest,3,1.2703893315047026,5.5885985866189,2.804948030039668
11046,Abdallah Sima,27,1229,6,7.695733284577727,2,1.6998696038499477,38,13,2,0,F M S,Brest,6,7.695733284577727,8.282265949063003,1.3187157418578863
6452,Mahdi Camara,34,2691,5,4.843414501287043,3,2.750586649402976,49,26,5,0,M S,Brest,5,4.843414501287043,9.767708462662997,5.494086302816868
5975,Kenny Lala,30,2686,3,2.93412602506578,2,3.9025520822033286,12,42,5,0,D S,Brest,0,0.6538406144827604,6.880217383615673,4.071437026374042
6420,Romain Faivre,20,901,3,2.711309917271137,2,2.217785481363535,19,10,2,0,F M S,Brest,2,1.9512147977948189,5.598205116577447,2.80601451639086
10100,Kamory Doumbia,30,1317,3,3.75056536309421,2,2.2519246162846684,22,26,1,0,M S,Brest,3,3.75056536309421,6.980424685403705,2.206164136528969
5619,Pierre Lees-Melou,20,1516,2,1.3349120300263166,2,2.2275387002155185,22,19,7,0,M S,Brest,2,1.3349120300263166,7.036306224763393,5.228005010634661
7743,Pereira Lage,29,1576,2,3.184171587228775,7,4.771148173138499,36,22,4,0,F M S,Brest,2,3.184171587228775,8.298807248473167,3.571424581110477
7747,Mama Baldé,29,1177,2,3.391768949106336,3,2.3615922890603542,30,16,4,0,F M S,Brest,2,3.391768949106336,6.579505069181323,1.2198738688603044
3346,Jonas Martin,17,480,1,0.8571979701519012,0,0.3728829957544803,3,3,2,0,M S,Brest,1,0.8571979701519012,1.4928190223872662,0.9142091553658248
5742,Hugo Magnetti,32,2352,1,0.8659364832565188,0,0.5326036140322685,19,6,5,0,M S,Brest,1,0.8659364832565188,7.780316152609885,6.655176809057593
7736,Brendan Chardonnet,27,2422,1,1.3819349082186818,0,1.3776168059557676,14,8,6,0,D,Brest,1,1.3819349082186818,4.98070739582181,4.717374134808779
9447,Niakhate Ndiaye,22,1703,1,0.6757700787857175,0,0.0131817571818828,11,1,4,1,D S,Brest,1,0.6757700787857175,2.672741312533617,2.659559555351734
11371,Ibrahim Salah,12,349,1,0.8132437504827976,1,0.8511350452899933,13,6,0,0,F M S,Brest,1,0.8132437504827976,1.3992713205516338,0.5368228144943714
13388,Justin Bourgault,2,132,1,0.0508661847561597,0,0.1125571578741073,2,1,0,0,D,Brest,1,0.0508661847561597,0.4474046640098095,0.3027353584766388
943,Massadio Haidara,22,1707,0,0.3047369616106152,0,0.3982803719118237,10,8,1,2,D S,Brest,0,0.3047369616106152,3.7239928925409913,3.31125532835722
961,Jordan Amavi,11,780,0,0.2962684025987983,0,0.1750364806503057,8,6,2,0,D S,Brest,0,0.2962684025987983,0.9980407729744912,0.6143322475254536
1673,Edimilson Fernandes,19,1111,0,0.3186627691611647,1,0.7368160840123892,10,8,1,0,D M S,Brest,0,0.3186627691611647,2.8878019116818905,2.247791307047009
8151,Hianga&#039;a M&#039;Bock,1,15,0,0.0090294787660241,0,0.0,1,0,0,0,S,Brest,0,0.0090294787660241,0.0090294787660241,0.0
8657,Jeremy Le Douaron,2,99,0,0.4151886440813541,0,0.0,2,0,0,0,F S,Brest,0,0.4151886440813541,0.4151886440813541,0.0
9614,Marco Bizot,32,2880,0,0.0,0,0.0,0,0,4,0,GK,Brest,0,0.0,2.935953399166465,2.935953399166465
9616,Grégoire Coudert,2,180,0,0.0,0,0.0,0,0,0,0,GK,Brest,0,0.0,0.3921250365674495,0.3921250365674495
9659,Bradley Locko,2,96,0,0.0327756740152835,0,0.0,1,0,1,0,D S,Brest,0,0.0327756740152835,0.2675226032733917,0.2347469180822372
9826,Axel Camblan,2,16,0,0.098401553928852,0,0.0,1,0,0,0,S,Brest,0,0.098401553928852,0.098401553928852,0.0
10467,Soumaila Coulibaly,7,435,0,0.2297682277858257,0,0.0511240065097808,4,1,1,0,D S,Brest,0,0.2297682277858257,0.4004100859165191,0.4004100859165191
11259,Julien Le Cardinal,16,1375,0,0.5752955917268991,1,0.2125720363110304,10,5,3,0,D S,Brest,0,0.5752955917268991,2.933543460443616,2.7910752836614847
12258,Luc Zogbe,13,616,0,0.2781616365537047,0,0.0962673956528306,8,4,2,0,D S,Brest,0,0.2781616365537047,1.4661995507776735,1.2259825393557549
13024,Serigne Diop,2,2,0,0.0,0,0.0,0,0,0,0,S,Brest,0,0.0,0.0,0.0
13552,Hamidou Makalou,4,20,0,0.0,0,0.0,0,0,0,0,S,Brest,0,0.0,0.1229897066950798,0.1229897066950798
