id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7490,Mason Greenwood,34,2851,22,19.282766986638308,5,6.826588124036789,120,47,3,0,F M S,Marseille,15,12.4419105052948,26.145459055900574,10.892803529277444
6401,Amine Gouiri,33,2122,13,10.690865226089954,5,4.560859004035592,81,34,2,0,F M S,Marseille,13,10.690865226089954,17.551965171471238,3.9587272256612778
3291,Adrien Rabiot,29,2476,9,7.286307154223323,5,3.954880988225341,49,29,4,0,M S,Marseille,9,7.286307154223323,19.92361005023122,10.759618811309338
8980,Luis Henrique,33,2646,7,5.411938928067684,7,5.415997413918376,30,53,0,0,D M S,Marseille,7,5.411938928067684,20.102429423481222,11.444075493142009
3621,Neal Maupay,22,1054,4,4.690030436962843,4,2.285853123292327,19,13,1,1,F S,Marseille,4,4.690030436962843,7.628276482224464,1.5746088549494743
3673,Valentin Rongier,25,1565,3,0.9653551829978824,1,1.6787051931023598,14,11,5,0,D M S,Marseille,3,0.9653551829978824,12.050548866391182,9.9929743912071
9182,Sepe Elye Wahi,13,585,3,5.409041985869408,1,0.4004607703536749,17,6,1,0,F S,Marseille,2,4.648946866393089,6.25740360096097,1.535645354539156
10172,Jonathan Rowe,28,745,3,4.040985098108649,3,4.249518811702728,36,17,2,0,F M S,Marseille,3,4.040985098108649,9.702231803908944,3.405180824920535
343,Pierre-Emile Højbjerg,30,2670,2,3.1078693233430386,4,3.488658906891942,32,42,5,0,D M,Marseille,2,3.1078693233430386,22.778791517019272,20.14543617516756
399,Ulisses García,20,918,2,1.1953979153186085,2,1.2202106416225431,8,8,2,0,D S,Marseille,2,1.1953979153186085,6.103504400700331,3.916262574493885
5717,Amine Harit,13,529,2,1.009933341294527,4,2.860816895961761,8,19,1,1,M S,Marseille,2,1.009933341294527,4.73229656368494,1.7264100834727287
13069,Ismaël Koné,21,803,2,0.4398796819150448,1,1.8331198319792747,10,9,1,0,M S,Marseille,2,0.4398796819150448,5.638191221281886,3.934271886944771
1461,Pol Lirola,19,670,1,0.8374907542020082,2,0.7345619294792414,6,8,1,1,D S,Marseille,1,0.8374907542020082,4.918239023536444,3.939922284334898
8677,Lilian Brassier,26,2016,1,1.5283676870167255,1,0.4895862136036157,19,7,4,0,D S,Marseille,1,1.5283676870167255,8.983873721212149,8.693853724747896
9399,Quentin Merlin,27,1627,1,2.501936599612236,3,3.1564177684485912,26,25,1,0,D M S,Marseille,1,2.501936599612236,11.251935010775924,6.407331058755517
9673,Bilal Nadir,15,370,1,0.4768651276826858,0,0.4125685840845108,8,7,2,0,M S,Marseille,1,0.4768651276826858,2.9346980527043343,2.5960681308060884
12111,Amir Murillo,30,2425,1,1.7814708780497313,3,3.609375603497029,13,24,3,0,D S,Marseille,1,1.7814708780497313,16.91443207859993,14.530564196407797
1516,Geoffrey Kondogbia,25,2026,0,0.6977472566068172,0,0.1623506750911474,8,5,1,0,D M S,Marseille,0,0.6977472566068172,10.601371120661495,10.390398096293213
2225,Gerónimo Rulli,34,3060,0,0.0,0,0.0819277726113796,0,2,1,0,GK,Marseille,0,0.0,8.158218570053577,8.076290797442198
6177,Luiz Felipe,4,122,0,0.0,0,0.0,0,0,1,0,D S,Marseille,0,0.0,0.0838974714279174,0.0838974714279174
6981,Ismael Bennacer,12,655,0,0.0804673060774803,2,1.7141367830336094,3,13,2,0,M S,Marseille,0,0.0804673060774803,4.970827087759972,4.734022542834282
7486,Leonardo Balerdi,27,2278,0,1.4392217164859176,0,0.4985409192740917,15,8,7,1,D,Marseille,0,1.4392217164859176,16.083826947957277,15.257941201329231
9699,Bamo Meïté,10,458,0,0.0453549399971962,0,0.0,1,0,2,1,D S,Marseille,0,0.0453549399971962,1.3403869029134512,1.3403869029134512
11080,Valentín Carboni,4,97,0,0.0491521507501602,0,0.1342877671122551,2,3,1,0,M S,Marseille,0,0.0491521507501602,0.2410234194248914,0.0851595979183912
12425,Faris Moumbagna,1,8,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.0,0.0
12587,Keyliane Abdallah,1,1,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.0,0.0
12601,Darryl Bakola,2,8,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.0,0.0
12769,Derek Cornelius,21,1439,0,1.2505614198744297,0,0.1212597880512476,9,4,5,2,D S,Marseille,0,1.2505614198744297,8.20582771860063,8.10980142466724
12770,Enzo Sternal,2,13,0,0.0,0,0.0218993779271841,0,1,1,0,S,Marseille,0,0.0,0.0218993779271841,0.0
12773,Alexi Koum,1,10,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.4951261878013611,0.4951261878013611
13330,Robinio Vaz,2,68,0,0.6522831320762634,0,0.0,2,0,1,0,S,Marseille,0,0.6522831320762634,0.6837848871946335,0.03150175511837
13456,Amar Dedic,10,289,0,0.715293537825346,1,0.8562837615609169,6,4,1,0,D S,Marseille,0,0.715293537825346,4.042155163362622,3.114167021587491
