id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6382,Pedro Neto,31,2570,5,5.494994781911373,6,5.738266875967383,62,61,4,0,F M S,Wolverhampton Wanderers,5,5.494994781911373,11.516653075814247,4.2069341987371445
6853,Rúben Neves,36,2681,5,4.744082765653729,1,2.061172278597951,67,33,7,0,M S,Wolverhampton Wanderers,2,2.4605759885162115,6.995870877057314,4.6739716026932
4105,Raúl Jiménez,10,824,4,2.360906094312668,0,0.6329620033502579,26,6,0,0,F,Wolverhampton Wanderers,4,2.360906094312668,3.684073407202959,1.2332109939306974
8778,Fabio Silva,32,1341,4,6.136157924309373,3,1.1684247087687254,48,11,2,0,F S,Wolverhampton Wanderers,3,5.374989124014974,5.087810844182968,1.0827531218528748
3491,Romain Saiss,27,2409,3,3.169141403399408,0,0.6693506045266986,28,5,2,0,D,Wolverhampton Wanderers,3,3.169141403399408,4.751172102987766,3.912272027693689
8291,Daniel Podence,24,1718,3,2.744376480579376,2,1.839432805776596,32,21,3,0,F M S,Wolverhampton Wanderers,3,2.744376480579376,6.7250947672873735,2.910880086943507
900,Adama Traoré,37,2630,2,2.076152325607836,2,5.27167169097811,43,55,4,0,D F M S,Wolverhampton Wanderers,2,2.076152325607836,9.475093208253384,3.006398476660252
2361,Willian José,17,1123,1,1.4292719885706902,0,1.2711049672216177,19,12,0,0,F S,Wolverhampton Wanderers,1,1.4292719885706902,2.07121398486197,0.7192586064338684
3422,João Moutinho,33,2546,1,0.5027753990143538,1,1.6768403090536594,14,46,3,1,M S,Wolverhampton Wanderers,1,0.5027753990143538,7.028498159721494,6.2302312003448606
6163,Nélson Semedo,34,2994,1,1.3097365982830524,1,0.9027981068938972,23,20,5,0,D M,Wolverhampton Wanderers,1,1.3097365982830524,7.68634950555861,6.196272294968367
6674,Rayan Ait Nouri,21,1414,1,0.5121663315221667,1,0.7904388774186373,16,14,1,0,D M S,Wolverhampton Wanderers,1,0.5121663315221667,2.7287225760519505,2.28505318518728
6850,Willy Boly,21,1880,1,1.1301859011873605,1,0.5512952953577042,15,3,2,0,D,Wolverhampton Wanderers,1,1.1301859011873605,2.838236978277564,2.663166480138898
6851,Conor Coady,37,3305,1,1.4450342124328015,0,0.1962377950549125,7,3,5,0,D,Wolverhampton Wanderers,1,1.4450342124328015,5.043202399276197,4.874850797466934
6857,Morgan Gibbs-White,11,395,1,0.8142993114888668,0,0.4069434069097042,10,8,1,0,F M S,Wolverhampton Wanderers,1,0.8142993114888668,1.7168070655316114,0.83146240003407
7236,Leander Dendoncker,33,2500,1,3.3815979287028317,0,0.5813325960189104,31,17,4,0,D M S,Wolverhampton Wanderers,1,3.3815979287028317,8.177474899217486,5.363242764025927
785,John Ruddy,2,91,0,0.0,0,0.0,0,0,0,0,GK S,Wolverhampton Wanderers,0,0.0,0.0,0.0
2280,Jonny,7,505,0,0.0517047010362148,0,0.050900800153613,1,2,0,0,D,Wolverhampton Wanderers,0,0.0517047010362148,0.3334942162036896,0.2308886107057333
4918,Patrick Cutrone,2,21,0,0.0714574977755546,0,0.0,1,0,0,0,S,Wolverhampton Wanderers,0,0.0714574977755546,0.0714574977755546,0.0
5708,Fernando Marçal,13,611,0,0.0745545979589223,0,0.1398072009906172,2,4,2,0,D M S,Wolverhampton Wanderers,0,0.0745545979589223,2.079630693420768,1.9003007970750327
6849,Rui Patrício,37,3330,0,0.0,0,0.0,0,0,1,0,GK,Wolverhampton Wanderers,0,0.0,1.2272863080725074,1.2272863080725074
6856,Rúben Vinagre,2,173,0,0.0,0,0.0,0,0,0,0,D S,Wolverhampton Wanderers,0,0.0,0.1787462010979652,0.1787462010979652
7332,Max Kilman,18,1291,0,0.3080162983387708,1,0.313057804480195,6,5,4,0,D S,Wolverhampton Wanderers,0,0.3080162983387708,2.029523121193052,1.8352266997098925
8180,Owen Otasowie,6,186,0,0.7453418513759971,1,0.3887690007686615,4,2,1,0,M S,Wolverhampton Wanderers,0,0.7453418513759971,1.3827527407556772,0.3015327081084251
8227,Oskar Buur,1,20,0,0.0,0,0.0,0,0,0,0,S,Wolverhampton Wanderers,0,0.0,0.0,0.0
8351,Ki-Jana Hoever,12,568,0,0.0574560016393661,0,0.1842530034482479,1,3,1,0,D S,Wolverhampton Wanderers,0,0.0574560016393661,1.222544588148594,1.0209383219480517
8777,Vitinha,19,500,0,0.6649116026237607,1,0.7201342023909092,8,12,0,0,M S,Wolverhampton Wanderers,0,0.6649116026237607,1.9456945769488807,1.4773436626419425
9209,Theo Corbeanu,1,7,0,0.0,0,0.0234698001295328,0,1,0,0,S,Wolverhampton Wanderers,0,0.0,0.0234698001295328,0.0
