id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
755,Jamie Vardy,25,1807,15,9.991950891911983,2,1.6055144965648651,54,18,2,0,F S,Leicester,15,9.991950891911983,12.636008812114596,1.9982727896422148
6818,James Maddison,35,2480,12,6.496711893007159,8,5.674205156974495,72,48,3,0,F M S,Leicester,12,6.496711893007159,14.60681216046214,5.826918383128941
5556,Ademola Lookman,26,1470,6,4.781360968947411,0,1.812361997552216,26,23,2,0,F M S,Leicester,6,4.781360968947411,11.409113086760044,5.64014358818531
5956,Youri Tielemans,32,2638,6,4.266476510092616,4,4.3065823297947645,59,37,3,0,M S,Leicester,4,2.744143282994628,14.25932363141328,8.546899825334549
6681,Harvey Barnes,32,2108,6,6.215695910155773,10,4.480990180745721,66,28,2,0,F M S,Leicester,6,6.215695910155773,12.55847548134625,3.729522781446576
9738,Patson Daka,23,1164,5,5.1097992323338985,3,1.8195277228951452,26,13,2,0,F S,Leicester,5,5.1097992323338985,7.503917820751667,2.1623850176110864
620,Kelechi Iheanacho,26,1236,4,3.6333328122273088,5,2.7090907525271177,31,17,1,0,F S,Leicester,4,3.6333328122273088,7.717554868198931,1.7873298982158303
770,Ayoze Pérez,14,443,2,2.0579842533916235,3,1.2277688030153513,11,11,0,1,M S,Leicester,2,2.0579842533916235,2.99056632257998,0.6373151019215584
753,Marc Albrighton,17,1113,1,0.4875654093921184,2,1.6947175050154328,4,11,3,0,D F M S,Leicester,1,0.4875654093921184,4.001694183796644,2.970209274441004
807,Jonny Evans,18,1355,1,1.284800007939339,1,0.920725718140602,3,4,3,0,D S,Leicester,1,1.284800007939339,4.209085593931377,4.113771582953632
3303,Ricardo Pereira,14,1000,1,0.5782482028007507,3,1.4025978948920963,10,10,3,0,D M S,Leicester,1,0.5782482028007507,5.104849815368652,4.257838945835829
5264,Caglar Söyüncü,28,2500,1,1.008084572851658,0,0.08737170137465,8,3,5,0,D,Leicester,1,1.008084572851658,5.909224271774292,5.82185136154294
6157,Timothy Castagne,27,2118,1,0.940479414537549,0,1.0864658877253532,7,14,1,0,D M S,Leicester,1,0.940479414537549,5.502241559326649,4.350664138793945
9739,Kiernan Dewsbury-Hall,28,2101,1,1.2946152910590172,2,3.0290627162903547,20,34,4,0,M S,Leicester,1,1.2946152910590172,9.695718803443016,6.9314601151272655
111,Jannik Vestergaard,10,561,0,0.0387555994093418,0,0.0672715008258819,1,1,2,0,D S,Leicester,0,0.0387555994093418,3.783557806164026,3.783557806164026
473,Danny Ward,1,90,0,0.0,0,0.0,0,0,0,0,GK,Leicester,0,0.0,0.7123159766197205,0.7123159766197205
745,Kasper Schmeichel,37,3330,0,0.0,0,0.0158692002296447,0,1,1,0,GK,Leicester,0,0.0,5.707257926464081,5.691388323903084
759,Daniel Amartey,28,2111,0,0.0228546299040317,0,0.2451006025075912,2,4,4,0,D S,Leicester,0,0.0228546299040317,4.304972453974187,4.282117635942996
835,Ryan Bertrand,4,340,0,0.0,0,0.0,0,0,1,0,D,Leicester,0,0.0,1.6839202903211117,1.6839202903211117
1785,Nampalys Mendy,14,1041,0,0.0223916992545127,0,0.0271859001368284,1,1,3,0,M S,Leicester,0,0.0223916992545127,2.4793485878035426,2.4793485878035426
5545,Wilfred Ndidi,19,1621,0,0.5835882108658552,0,0.0764130018651485,14,2,4,0,D M S,Leicester,0,0.5835882108658552,4.509538160637021,4.185820620507002
6310,Boubakary Soumare,19,1102,0,0.3298372942954302,1,0.2856833077967167,6,6,0,0,M S,Leicester,0,0.3298372942954302,3.370994893833995,3.0025111604481936
6418,Hamza Choudhury,6,289,0,0.0202268008142709,0,0.0,1,0,1,0,D M S,Leicester,0,0.0202268008142709,2.0293576195836067,2.0293576195836067
7589,Wesley Fofana,7,630,0,0.5680099092423916,0,0.036049198359251,3,2,2,0,D,Leicester,0,0.5680099092423916,2.999755318276584,2.980498324148357
7753,James Justin,13,993,0,0.5318179950118065,0,0.8498176038265228,5,9,0,0,D S,Leicester,0,0.5318179950118065,5.432251468300819,4.53668899089098
8562,Luke Thomas,22,1915,0,0.1825287975370884,1,1.415246207267046,4,12,2,0,D M S,Leicester,0,0.1825287975370884,5.838355425745249,4.690966442227364
10166,Kasey McAteer,1,1,0,0.0,0,0.0,0,0,0,0,S,Leicester,0,0.0,0.0,0.0
10168,Lewis Brunt,1,22,0,0.0,0,0.0,0,0,0,0,S,Leicester,0,0.0,0.0172419995069503,0.0172419995069503
