id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
447,Kevin De Bruyne,30,2214,15,5.949964433908463,8,11.260171007364988,78,87,2,0,M S,Manchester City,15,5.949964433908463,20.317838434129957,9.413898749276996
618,Raheem Sterling,30,2119,13,15.778131879866123,5,5.024925291538239,58,42,1,0,F M S,Manchester City,11,13.494622506201267,23.09551438316703,9.66558362543583
750,Riyad Mahrez,28,1468,11,10.123590916395187,5,3.9328212067484856,61,40,0,0,F M S,Manchester City,7,6.317741796374321,14.36690728366375,6.279024379327893
6055,Phil Foden,28,2141,9,9.263244736939669,5,6.833732463419437,57,40,1,0,F M S,Manchester City,9,9.263244736939669,19.27444273978472,6.218504663556814
314,Ilkay Gündogan,27,1852,8,9.720699042081833,4,4.720962079241872,55,37,1,0,M S,Manchester City,8,9.720699042081833,21.32915243878961,8.763398695737123
3635,Bernardo Silva,35,2865,8,7.771977653726935,4,6.567136766389012,48,59,6,0,F M S,Manchester City,8,7.771977653726935,25.98423945903778,14.36224857904017
5543,Gabriel Jesus,28,1885,8,10.153561741113664,8,5.913651751354337,64,38,1,0,F M S,Manchester City,7,9.392391830682756,19.491168478503823,6.3471613842993975
2496,Rodri,33,2901,7,2.718254609964788,2,1.552179705351591,45,27,5,0,M,Manchester City,7,2.718254609964788,26.259763911366463,23.95590011030436
2498,Aymeric Laporte,33,2848,4,4.454536762088537,0,0.6116274017840624,35,9,5,1,D,Manchester City,4,4.454536762088537,18.63745391741395,18.220567310228944
675,Jack Grealish,26,1929,3,5.53242839500308,3,5.456195579841733,44,52,3,0,F M S,Manchester City,3,5.53242839500308,18.398098289966583,9.633637011051178
579,Nathan Aké,14,920,2,1.3034928366541862,0,0.6172760128974915,5,2,0,0,D S,Manchester City,2,1.3034928366541862,4.634195636957884,4.634195636957884
614,Fernandinho,19,943,2,1.6060919929295778,1,1.3410828318446877,18,10,1,0,D M S,Manchester City,2,1.6060919929295778,6.324194855988026,5.782822389155626
6441,Ferrán Torres,4,308,2,2.512162998318672,1,0.0216444004327058,13,1,0,0,F,Manchester City,2,2.512162998318672,2.4304743483662605,1.177095249295235
8961,Rúben Dias,29,2403,2,2.535038208588958,4,3.157990090548992,18,16,5,0,D S,Manchester City,2,2.535038208588958,16.94047772884369,16.11795637756586
586,John Stones,14,1114,1,1.2149109998717904,0,0.1626314986497163,9,4,0,0,D S,Manchester City,1,1.2149109998717904,6.591381952166557,6.4356369972229
2379,João Cancelo,36,3233,1,4.544122601859272,7,6.009325062856078,81,39,7,0,D,Manchester City,1,4.544122601859272,26.887531492859125,21.15214002132416
638,Kyle Walker,20,1759,0,0.2224772945046425,2,1.455245791003108,8,11,1,0,D,Manchester City,0,0.2224772945046425,9.661232478916643,8.514137484133244
2958,Oleksandr Zinchenko,15,1026,0,0.4874951988458633,4,2.3100200556218624,12,16,0,0,D S,Manchester City,0,0.4874951988458633,12.096755243837832,9.83130233734846
3389,Benjamin Mendy,1,80,0,0.0,0,0.2885279953479767,0,2,0,0,D,Manchester City,0,0.0,0.1654050052165985,0.1329309940338134
6054,Ederson,37,3330,0,0.0,0,0.0,0,0,3,0,GK,Manchester City,0,0.0,9.95296686142683,9.95296686142683
7817,Zack Steffen,1,90,0,0.0,0,0.0,0,0,0,0,GK,Manchester City,0,0.0,0.3352589905261993,0.3352589905261993
8497,Cole Palmer,4,123,0,0.2807210087776184,0,0.4464449882507324,4,2,0,0,F S,Manchester City,0,0.2807210087776184,2.009626030921936,1.3054470047354698
8868,Liam Delap,1,7,0,0.0,0,0.0,0,0,0,0,S,Manchester City,0,0.0,0.0,0.0
10126,James McAtee,2,15,0,0.0886486992239952,0,0.0,1,0,0,0,S,Manchester City,0,0.0886486992239952,0.0886486992239952,0.0
10174,CJ Egan-Riley,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester City,0,0.0,0.0,0.0
10203,Kayky,1,5,0,0.0,0,0.0,0,0,0,0,S,Manchester City,0,0.0,0.0,0.0
