id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
468,Callum Wilson,18,1401,8,7.041790663264692,0,0.5302160959690809,35,10,4,0,F S,Newcastle United,6,5.519451602362096,5.063281880691648,0.6320269033312798
101,Allan Saint-Maximin,35,2825,5,5.663675950840116,5,5.261044799350202,64,50,5,0,F M S,Newcastle United,5,5.663675950840116,14.37779556401074,3.8985789944417775
4456,Chris Wood,34,2734,5,8.213475201278925,0,1.365999980829656,51,19,1,0,F S,Newcastle United,4,7.452306184917688,8.77231390029192,2.923789992928505
8327,Bruno Guimarães,17,1031,5,4.093199659138918,1,1.7428607121109962,23,12,4,0,M S,Newcastle United,5,4.093199659138918,5.316410129889846,2.585114572197199
87,Joelinton,35,2554,4,3.816281186416745,1,1.880340499803424,45,29,8,0,F M S,Newcastle United,4,3.816281186416745,6.516400877386332,2.558566747233272
76,Fabian Schär,25,2167,2,0.8395391143858433,2,1.479282571002841,20,9,4,0,D,Newcastle United,2,0.8395391143858433,3.370413671247661,2.830271666869521
652,Kieran Trippier,6,434,2,0.2261340022087097,0,0.2351752035319805,2,7,0,0,D S,Newcastle United,2,0.2261340022087097,0.9722745083272456,0.954714011400938
769,Jonjo Shelvey,24,1987,2,0.879080006852746,1,1.0608121007680893,30,16,5,1,M S,Newcastle United,2,0.879080006852746,3.950462125241757,2.919236796908081
1683,Ryan Fraser,27,1476,2,2.866719573736191,3,2.1547404266893864,24,25,3,0,F M S,Newcastle United,2,2.866719573736191,6.576188476756215,2.687837041914463
6630,Joe Willock,29,2063,2,3.6774302888661614,0,1.1284047197550535,35,18,0,0,M S,Newcastle United,2,3.6774302888661614,7.496500605717301,3.5577033534646034
766,Jamaal Lascelles,26,2052,1,1.3373388117179277,0,0.2316508945077657,17,4,5,0,D S,Newcastle United,1,1.3373388117179277,1.4465576093643904,1.4465576093643904
884,Matt Targett,33,2880,1,1.0151007901877165,1,3.863800139166415,13,41,3,0,D M,Newcastle United,1,1.0151007901877165,7.151029429398477,3.894083708524704
1719,Javier Manquillo,19,1273,1,0.3779599890112877,2,0.4709694059565663,4,4,5,0,D S,Newcastle United,1,0.3779599890112877,1.646115392446518,0.8073002025485039
1746,Jeff Hendrick,3,65,1,0.0177475996315479,0,0.0228141006082296,1,1,0,0,S,Newcastle United,1,0.0177475996315479,0.1608572024852037,0.1202954985201358
6062,Isaac Hayden,14,1008,1,0.2894266080111265,0,0.0593779999762773,5,2,5,0,D M S,Newcastle United,1,0.2894266080111265,1.0659864582121372,0.9370960630476476
6063,Jacob Murphy,33,1418,1,2.588163224980235,2,2.386162133421749,27,20,4,0,D F M S,Newcastle United,1,2.588163224980235,6.965943414252251,2.7634960813447838
7078,Sean Longstaff,24,1459,1,0.7775498926639557,1,0.4642082992941141,15,7,1,0,M S,Newcastle United,1,0.7775498926639557,3.919372787699104,2.9817814864218235
7382,Dan Burn,29,2465,1,1.6115349950268865,1,1.4531613001599908,18,6,8,0,D S,Newcastle United,1,1.6115349950268865,2.969873985275626,2.9460841845721006
7420,Miguel Almirón,30,1730,1,1.7120565995573995,0,1.001836535986513,32,17,2,0,F M S,Newcastle United,1,1.7120565995573995,5.636095905676484,3.2259818157181144
461,Matt Ritchie,18,1335,0,0.3662854041904211,2,1.964722783304751,10,29,5,0,D S,Newcastle United,0,0.3662854041904211,2.9606213998049498,2.41146638058126
708,Federico Fernández,7,523,0,0.3371326047927141,0,0.2842389941215515,6,1,0,0,D S,Newcastle United,0,0.3371326047927141,0.5562516041100025,0.2720123007893562
743,Dwight Gayle,8,20,0,0.2123461961746215,0,0.4094130927696824,2,2,1,0,S,Newcastle United,0,0.2123461961746215,0.621760287322104,0.0108930999413132
780,Karl Darlow,8,720,0,0.0,0,0.0,0,0,1,0,GK,Newcastle United,0,0.0,0.5584848849102855,0.5584848849102855
852,Freddie Woodman,4,360,0,0.0,0,0.0,0,0,0,0,GK,Newcastle United,0,0.0,0.3158474937081337,0.3158474937081337
853,Paul Dummett,3,199,0,0.0,0,0.0,0,0,2,0,D S,Newcastle United,0,0.0,0.1516183987259864,0.1516183987259864
875,Ciaran Clark,13,1011,0,1.0101884100586176,1,0.1964803989976644,7,4,2,1,D S,Newcastle United,0,1.0101884100586176,1.761743076145649,1.6704276781529188
1545,Emil Krafth,20,1636,0,0.2295664986595511,1,1.0393318198621273,6,6,5,0,D S,Newcastle United,0,0.2295664986595511,3.7981242947280407,3.666793297976256
6532,Martin Dubravka,26,2340,0,0.0,0,0.0334176998585462,0,2,1,0,GK,Newcastle United,0,0.0,1.671670898795128,1.6382531989365816
7691,Jamal Lewis,5,261,0,0.0,0,0.0268901996314525,0,1,1,0,D S,Newcastle United,0,0.0,0.2706953976303339,0.2438051979988813
