id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7696,Teemu Pukki,37,3278,11,11.44952037371695,3,4.062802174128592,71,27,4,0,F,Norwich,8,9.166050033643842,11.974240876734257,1.043409519828856
7295,Joshua Sargent,26,1578,2,2.0713036227971315,1,0.5363337956368923,23,11,1,0,F M S,Norwich,2,2.0713036227971315,2.816050668247044,0.5686431573703885
1032,Kieran Dowell,19,912,1,1.252158399671316,1,1.239989422261715,8,16,0,0,F M S,Norwich,1,1.252158399671316,2.7508563911542296,0.794395606033504
5619,Pierre Lees-Melou,33,2293,1,1.3564588129520416,0,1.859252595342696,33,25,5,0,M S,Norwich,1,1.3564588129520416,5.121012233197689,3.338285904377699
6523,Milot Rashica,31,2248,1,2.569660095497966,2,1.9145782003179197,44,36,0,0,D F M S,Norwich,1,2.569660095497966,4.716784189455211,1.4207799918949604
7470,Mathias Normann,23,1661,1,0.835538562387228,2,2.2901421673595905,26,13,6,0,M S,Norwich,1,0.835538562387228,3.4090149104595184,1.4079527165740728
7690,Grant Hanley,33,2899,1,1.696234492585063,0,0.3979412950575351,20,6,2,0,D,Norwich,1,1.696234492585063,3.552236177958548,3.4605953795835376
7693,Kenny McLean,31,2710,1,1.91708598844707,0,1.0888230931013825,33,10,3,0,M S,Norwich,1,1.91708598844707,5.813929988071322,3.868613997474313
8021,Adam Idah,17,611,1,1.9293015375733376,1,0.4609228000044822,14,5,0,0,F M S,Norwich,1,1.9293015375733376,2.403534699231386,0.5110170058906078
9833,Andrew Omobamidele,5,380,1,0.1711219027638435,0,0.0,2,0,1,0,D S,Norwich,1,0.1711219027638435,0.4068540930747986,0.4068540930747986
62,Lukas Rupp,19,744,0,0.4662756929174065,0,1.3048201203346252,12,9,0,0,M S,Norwich,0,0.4662756929174065,2.5540910232812166,1.5202579200267792
902,Sam Byram,15,1019,0,0.3631415069103241,0,0.2558970004320144,7,4,3,0,D S,Norwich,0,0.3631415069103241,1.2248425083234906,1.041966606862843
982,Tim Krul,29,2610,0,0.0,0,0.4792070090770721,0,1,1,0,GK,Norwich,0,0.0,2.564329088665545,2.564329088665545
1707,Ben Gibson,28,2496,0,1.3600882897153497,0,0.1156431129202246,8,3,3,1,D,Norwich,0,1.3600882897153497,4.114081885665655,4.07492888905108
5544,Angus Gunn,9,810,0,0.0,0,0.0,0,0,0,0,GK,Norwich,0,0.0,0.2774380147457123,0.2774380147457123
7376,Ozan Kabak,11,926,0,0.5807484108954668,0,0.0303338011726737,5,2,2,0,D,Norwich,0,0.5807484108954668,0.9165707966312766,0.8188285967335105
7688,Max Aarons,34,2882,0,0.8394248560070992,2,1.7876457879319787,13,20,8,0,D S,Norwich,0,0.8394248560070992,4.762461667880416,2.484261809848249
7695,Todd Cantwell,8,443,0,0.1200836393982172,0,0.30902099609375,5,1,2,0,F M S,Norwich,0,0.1200836393982172,0.6448747999966145,0.2841974943876266
7988,Billy Gilmour,24,1864,0,0.8399608237668872,1,1.0502577098086476,18,25,2,0,M S,Norwich,0,0.8399608237668872,4.431802229955792,3.5529233319684863
7990,Christoph Zimmermann,3,162,0,0.0377138992771506,0,0.0,2,0,0,0,D S,Norwich,0,0.0377138992771506,0.2552001010626554,0.2277145013213157
8075,Brandon Williams,26,2120,0,0.1553078973665833,1,1.9216502672061324,4,21,8,0,D S,Norwich,0,0.1553078973665833,4.284037738107145,3.1663006637245417
9745,Dimitris Giannoulis,18,1170,0,0.1042813025414943,1,0.5381213938817382,2,9,2,0,D S,Norwich,0,0.1042813025414943,2.320780213922262,1.895545769482851
9746,Christos Tzolis,14,321,0,0.3333491999655962,0,0.7744663059711456,6,8,0,0,F M S,Norwich,0,0.3333491999655962,1.6014234013855455,0.6376846889033914
9747,Bali Mumba,1,43,0,0.0,0,0.0,0,0,0,0,S,Norwich,0,0.0,0.0,0.0
9748,Jacob Sørensen,10,595,0,0.1915943929925561,0,0.0,5,0,0,0,D M S,Norwich,0,0.1915943929925561,0.5175428995862603,0.5074065998196602
10097,Przemyslaw Placheta,12,513,0,0.3959100972861051,0,0.588469609618187,8,4,1,0,F M S,Norwich,0,0.3959100972861051,0.9923206083476545,0.1289863958954811
10172,Jonathan Rowe,13,179,0,0.1985375955700874,1,0.4054669924080372,3,5,0,0,S,Norwich,0,0.1985375955700874,0.5169213898479939,0.2255803979933262
10525,Tony Springett,3,138,0,0.5181649923324585,0,0.5140159726142883,1,2,1,0,M S,Norwich,0,0.5181649923324585,1.0925300121307373,0.0603456012904644
