id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
773,Aleksandar Mitrovic,24,2022,14,16.17901684064418,1,2.334498234093189,93,15,7,0,F S,Fulham,10,10.089664130471649,11.802805667743089,2.575260256417096
700,Willian,27,2174,5,3.383236724883318,5,5.042201226577163,41,51,2,0,M S,Fulham,5,3.383236724883318,9.590186490677295,3.7871379032731056
7395,Carlos Vinicius,28,1079,5,3.5915758907794952,2,0.5233518667519093,21,8,3,0,F S,Fulham,5,3.5915758907794952,5.013299356214702,1.3816988291218877
922,Andreas Pereira,33,2765,4,6.426880993880332,6,4.836930306628346,62,60,8,0,M,Fulham,3,5.665711977519095,10.15508385375142,4.31409253180027
6827,Bobby Reid,36,2511,4,4.226093959063292,1,1.5008238069713116,31,18,8,0,D F M S,Fulham,4,4.226093959063292,8.135475918650627,3.868883727118373
10716,Manor Solomon,19,536,4,1.042859235778451,0,0.3249989273026585,11,6,0,0,M S,Fulham,4,1.042859235778451,1.434320348314941,0.7428273241966963
910,Harrison Reed,37,2911,3,2.1825738195329905,4,3.5145126404240727,20,35,5,0,M S,Fulham,3,2.1825738195329905,10.140563977882266,5.457994266413152
10715,João Palhinha,35,3124,3,2.6951698008924723,0,0.275451373308897,38,7,14,0,M,Fulham,3,2.6951698008924723,5.985029879026115,5.4245135728269815
5595,Daniel James,24,790,2,2.1174327954649925,1,1.5898781195282936,16,8,0,0,F M S,Fulham,2,2.1174327954649925,4.573668692260981,1.5260148122906685
5596,Harry Wilson,29,1087,2,1.8703890815377235,3,1.3884916454553604,18,12,1,0,M S,Fulham,2,1.8703890815377235,5.573958999477327,2.747893917374313
6835,Tom Cairney,33,929,2,1.549193875864148,0,1.6246961504220965,21,12,2,0,M S,Fulham,2,1.549193875864148,5.840297954156995,3.505937293171882
3203,Issa Diop,25,2004,1,0.1913936026394367,0,0.5267390348017216,3,2,2,0,D S,Fulham,1,0.1913936026394367,3.169893989339471,3.1547346897423267
5590,Tosin Adarabioyo,25,2081,1,0.5782807385548949,0,0.2267771176993847,17,6,4,0,D S,Fulham,1,0.5782807385548949,3.626173667609692,3.482117474079132
5973,Kenny Tete,31,2589,1,0.7199479946866632,5,2.3401720114052296,13,23,8,0,D S,Fulham,1,0.7199479946866632,6.948736446909607,4.787528486922383
7184,Tim Ream,33,2900,1,0.4944004062563181,0,0.0717986021190881,3,3,2,0,D,Fulham,1,0.4944004062563181,6.860465005040169,6.813478998839855
181,Bernd Leno,36,3240,0,0.0,0,0.0308126993477344,0,1,3,0,GK,Fulham,0,0.0,2.495602583512664,2.464789582416415
661,Josh Onomah,2,11,0,0.0,0,0.0,0,0,0,0,S,Fulham,0,0.0,0.0,0.0
847,Cédric Soares,8,213,0,0.0555640272796154,0,0.1316027827560901,2,2,0,0,D S,Fulham,0,0.0555640272796154,0.4244770556688308,0.3658562526106834
983,Kevin Mbabu,6,138,0,0.0,1,0.5595380067825317,0,2,1,0,D S,Fulham,0,0.0,0.665716927498579,0.1061783991754055
1537,Sasa Lukic,12,401,0,0.1066898759454488,0,0.0,5,0,1,0,M S,Fulham,0,0.1066898759454488,0.8068001493811607,0.7697242796421051
1677,Nathaniel Chalobah,4,10,0,0.0855346992611885,0,0.0,1,0,0,1,M S,Fulham,0,0.0855346992611885,0.0,0.0
3298,Layvin Kurzawa,3,138,0,0.0,0,0.0,0,0,1,0,D S,Fulham,0,0.0,0.0,0.0
6047,Shane Duffy,5,16,0,0.0223742593079805,0,0.0,1,0,0,0,S,Fulham,0,0.0223742593079805,0.0,0.0
6840,Neeskens Kebano,17,770,0,0.7552167885005474,3,1.5724477292969825,9,13,0,0,M S,Fulham,0,0.7552167885005474,2.504967577755451,0.7153982073068619
8704,Marek Rodák,2,180,0,0.0,0,0.0,0,0,0,0,GK,Fulham,0,0.0,0.0,0.0
8940,Antonee Robinson,35,3088,0,0.0579266995191574,1,1.0235916152596474,3,21,8,0,D,Fulham,0,0.0579266995191574,8.392814400605857,7.63532301876694
9552,Tyrese Francois,1,1,0,0.0,0,0.0,0,0,0,0,S,Fulham,0,0.0,0.0,0.0
10718,Jay Stansfield,3,85,0,0.1730169951915741,0,0.0589650012552738,2,1,0,0,M S,Fulham,0,0.1730169951915741,0.2319819927215576,0.0
10719,Luke Harris,3,6,0,0.0,0,0.0,0,0,0,0,S,Fulham,0,0.0,0.0878236964344978,0.0878236964344978
