id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2381,Rodrigo,31,1955,13,8.572983920574188,1,2.298705962486565,67,16,6,0,F M S,Leeds,12,7.811814919114113,10.81273386068642,3.450525519438088
8720,Jack Harrison,36,2793,5,5.013850751332939,7,5.010656230151653,39,53,2,0,D F M S,Leeds,5,5.013850751332939,11.75817795842886,4.768079791218042
10866,Luis Sinisterra,19,891,5,3.361706962808966,0,0.3890431001782417,28,9,1,1,F M S,Leeds,5,3.361706962808966,5.349757798016071,2.453906362876296
822,Patrick Bamford,28,1523,4,9.774512918666003,2,1.0358418971300123,50,12,3,0,F S,Leeds,4,8.252171130850911,8.993882125243545,1.0394691042602062
9492,Crysencio Summerville,28,1391,4,3.559207702055573,2,1.4241413976997137,29,16,4,0,F M S,Leeds,4,3.559207702055573,6.061167903244495,1.573473684489727
10750,Rasmus Kristensen,26,1964,3,0.789253355935216,1,1.2889635181054473,13,8,4,0,D M S,Leeds,3,0.789253355935216,4.219320389442146,3.0240348298102617
5595,Daniel James,24,790,2,2.1174327954649925,1,1.5898781195282936,16,8,0,0,F M S,Leeds,2,2.1174327954649925,4.573668692260981,1.5260148122906685
8716,Luke Ayling,29,2030,2,2.712577499449253,1,1.8191682416945696,24,12,3,0,D S,Leeds,2,2.712577499449253,7.104759126901627,4.520665276795626
8717,Pascal Struijk,29,2217,2,1.3350814320147038,1,2.1753706987947226,16,13,5,0,D S,Leeds,2,1.3350814320147038,5.012533586472273,3.33086527697742
11155,Wilfried Gnonto,24,1344,2,1.833498403429985,4,2.921407464891672,22,22,7,0,F M S,Leeds,2,1.833498403429985,5.230319026857615,1.9364304393529888
5086,Marc Roca,32,2375,1,2.0919028762727976,2,3.2171000884845853,34,33,7,0,M S,Leeds,1,2.0919028762727976,6.89039168599993,4.839499623514712
6485,Júnior Firpo,19,1364,1,0.1414232105016708,1,0.9512499049305916,2,8,6,1,D S,Leeds,1,0.1414232105016708,2.4669921696186066,2.0024135522544384
8816,Liam Cooper,18,1421,1,0.9520196840167046,0,0.4224689118564129,10,5,5,0,D S,Leeds,1,0.9520196840167046,3.1956543028354645,3.0356351882219315
9493,Sam Greenwood,18,373,1,0.6907202005386353,2,0.9013200886547564,12,12,1,0,M S,Leeds,1,0.6907202005386353,1.065209049731493,0.6448863409459591
10751,Brenden Aaronson,36,2415,1,3.9435534365475178,3,3.362793898209929,41,45,2,0,F M S,Leeds,1,3.9435534365475178,11.295078083872797,5.162106515839696
584,Joel Robles,4,360,0,0.0,0,0.0,0,0,1,0,GK,Leeds,0,0.0,0.0486088339239358,0.0486088339239358
1711,Adam Forshaw,12,470,0,0.0106636295095086,0,0.4425672311335802,1,8,0,0,M S,Leeds,0,0.0106636295095086,0.4591790921986103,0.4485154636204242
2163,Diego Llorente,8,646,0,0.301153801381588,0,0.0,6,0,1,0,D S,Leeds,0,0.301153801381588,0.9053538031876088,0.9053538031876088
4381,Mateusz Klich,14,224,0,0.1730077974498272,0,0.2886551991105079,4,5,2,0,S,Leeds,0,0.1730077974498272,1.2394929844886065,0.9285477884113787
5360,Weston McKennie,19,1450,0,0.590064475312829,1,0.7054706662893295,13,13,7,0,M S,Leeds,0,0.590064475312829,2.814117079600692,1.99333081394434
6273,Robin Koch,36,3186,0,1.059426173567772,0,0.2720854748040437,17,6,7,0,D M,Leeds,0,1.059426173567772,4.464030422270298,3.8801174629479647
6937,Georginio Rutter,11,238,0,0.2494509778916835,1,0.4192553162574768,4,5,0,0,F S,Leeds,0,0.2494509778916835,0.477778896689415,0.0
7352,Tyler Adams,24,2159,0,0.0683434996753931,0,1.370405713096261,4,24,4,1,M,Leeds,0,0.0683434996753931,6.9535529762506485,5.69552486948669
7366,Maximilian Wöber,16,1263,0,0.464545956812799,0,0.742159578949213,9,6,3,0,D S,Leeds,0,0.464545956812799,2.019608302041888,1.427522011101246
8715,Illan Meslier,34,3060,0,0.0571881011128425,0,0.0,1,0,3,0,GK,Leeds,0,0.0571881011128425,1.4994192942976952,1.4994192942976952
9339,Joe Gelhardt,15,177,0,0.9828338120132684,2,0.731904000043869,10,2,1,0,F S,Leeds,0,0.9828338120132684,1.7896137908101082,0.8910369034856558
9499,Cody Drameh,1,74,0,0.0,0,0.0,0,0,0,0,D,Leeds,0,0.0,0.1345990002155304,0.1345990002155304
10752,Darko Gyabi,1,5,0,0.0653707012534141,0,0.0,1,0,0,0,S,Leeds,0,0.0653707012534141,0.0653707012534141,0.0
11208,Mateo Joseph,3,23,0,0.0736948028206825,0,0.0,1,0,0,0,S,Leeds,0,0.0736948028206825,0.0,0.0
