id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8497,Cole Palmer,34,2640,22,17.83224501274526,11,11.869294486939909,108,72,7,0,F M S,Chelsea,13,10.981725485995412,31.036520244553685,15.302413104102015
10048,Nicolas Jackson,35,2818,14,19.860593939200044,5,5.2836981769651175,80,36,10,0,F M S,Chelsea,14,19.860593939200044,27.91725537180901,7.270463835448027
618,Raheem Sterling,31,1987,8,8.573790527880192,4,4.971372967585921,51,30,7,0,F M S,Chelsea,8,8.573790527880192,19.289956534281373,8.898095147684216
9040,Conor Gallagher,37,3171,5,4.717563968151808,7,5.792711144313216,48,52,7,1,M,Chelsea,5,4.717563968151808,25.90884201787412,18.712417108938094
11305,Mykhailo Mudryk,31,1563,5,5.111277528107166,2,3.8853818774223328,35,32,5,0,F M S,Chelsea,5,5.111277528107166,10.99068268481642,4.357236756011844
11357,Noni Madueke,23,1066,5,3.003602419048548,2,2.160680465400219,32,20,2,0,M S,Chelsea,4,2.242433581501245,7.7808678727597,4.740718839690089
3288,Thiago Silva,31,2530,3,0.7915211245417595,1,1.4041369603946805,14,9,4,0,D S,Chelsea,3,0.7915211245417595,14.303374078124762,14.190275978296995
3300,Christopher Nkunku,11,416,3,2.412173550575972,0,0.2275804504752159,16,3,0,0,F M S,Chelsea,3,2.412173550575972,4.83782403729856,2.7286274563521147
11356,Enzo Fernández,28,2237,3,6.147583088837564,2,3.558830797672272,47,32,7,0,M S,Chelsea,2,4.62524542491883,18.34273999929428,12.553447233512998
6885,Axel Disasi,31,2586,2,2.678889036178589,0,0.1950406357645988,16,3,6,0,D S,Chelsea,2,2.678889036178589,14.653339916840196,14.106656992807984
6615,Trevoh Chalobah,13,944,1,0.3591152802109718,0,0.0749409683048725,2,2,1,0,D S,Chelsea,1,0.3591152802109718,4.417237082496285,4.417237082496285
8384,Armando Broja,21,500,1,2.489345548674464,1,0.7393966801464558,13,4,0,0,F S,Chelsea,1,2.489345548674464,4.233474781736732,1.649859182536602
9356,Carney Chukwuemeka,9,219,1,0.1176121979951858,1,0.2483895514160394,3,5,2,0,M S,Chelsea,1,0.1176121979951858,0.4714575037360191,0.1054557431489229
9453,Moisés Caicedo,35,2897,1,0.2973291608504951,3,2.49897606484592,13,22,11,0,M S,Chelsea,1,0.2973291608504951,25.048321802169085,23.26216376759112
10805,Levi Colwill,23,1813,1,0.7760256305336952,1,1.2379922457039356,11,7,2,0,D S,Chelsea,1,0.7760256305336952,8.106331346556544,7.155624521896243
11595,Alfie Gilchrist,11,192,1,0.6408083289861679,0,0.0,5,0,1,0,D S,Chelsea,1,0.6408083289861679,0.9851318392902612,0.509981470182538
782,Ben Chilwell,13,771,0,1.2212005220353603,1,1.793320189230144,12,14,5,0,D S,Chelsea,0,1.2212005220353603,3.850440725684166,1.9574524844065309
7134,Marc Cucurella,21,1788,0,1.4538506548851728,2,1.254556130617857,8,19,10,0,D S,Chelsea,0,1.4538506548851728,12.102387934923172,10.091670595109465
7240,Benoit Badiashile Mukinayi,18,1338,0,0.5172926671802998,1,1.5548250479623675,6,6,2,0,D S,Chelsea,0,0.5172926671802998,8.460209622979164,8.366715781390667
8067,Reece James,10,422,0,0.3389957156032324,2,2.679515279829502,7,11,0,2,D S,Chelsea,0,0.3389957156032324,3.0341393500566483,1.8427834287285805
9017,Malo Gusto,27,1754,0,1.700457390397787,6,5.507309950888157,15,32,7,1,D S,Chelsea,0,1.700457390397787,14.041902555152774,10.585735710337758
9098,Robert Sánchez,16,1438,0,0.0,0,0.0,0,0,2,0,GK,Chelsea,0,0.0,4.148339273408055,4.148339273408055
9451,Chimuanya Ugochukwu,12,289,0,0.0,0,0.1854443699121475,0,3,2,0,M S,Chelsea,0,0.0,2.2840482108294964,2.163483928889036
10004,Romeo Lavia,1,29,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
10433,Cesare Casadei,11,48,0,0.0,0,0.1186848040670156,0,2,0,0,S,Chelsea,0,0.0,0.1853423323482275,0.0880566667765379
11807,Ian Maatsen,12,169,0,0.6834889836609364,0,0.0573244532570242,5,2,1,0,M S,Chelsea,0,0.6834889836609364,1.3501509558409452,0.6530423145741224
11810,Mason Burstow,2,2,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
12032,Djordje Petrovic,23,1982,0,0.0,0,0.0,0,0,2,0,GK S,Chelsea,0,0.0,3.312307056039572,3.312307056039572
12033,Deivid Washington,2,7,0,0.1251875013113021,0,0.0,1,0,0,0,S,Chelsea,0,0.1251875013113021,0.191845029592514,0.0666575282812118
12086,Alex Matos,1,1,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
12497,Jimi Tauriainen,1,1,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
12535,Josh Acheampong,1,1,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
