id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1776,Jarrod Bowen,34,3026,16,13.498636420816185,6,6.437707958742976,85,32,2,0,F M,West Ham,16,13.498636420816185,17.76942592486739,2.457054629921913
12027,Mohammed Kudus,33,2490,8,5.177267018705607,6,3.5089522134512663,66,28,6,0,F M S,West Ham,8,5.177267018705607,11.516938520595431,4.337017804384232
843,James Ward-Prowse,37,3025,7,5.63929136376828,7,8.108484361320734,44,64,4,0,M S,West Ham,5,4.116953688673675,11.991799759678544,7.065227452665567
8288,Tomas Soucek,37,2885,7,7.466816443949938,2,2.1494441609829664,42,20,7,0,M S,West Ham,7,7.466816443949938,12.123065176419914,6.039048316888511
531,Michail Antonio,26,1775,6,6.025665767490864,2,1.559285182505846,30,9,6,0,F S,West Ham,6,6.025665767490864,8.23398894816637,2.5248712673783302
7365,Lucas Paquetá,31,2676,4,4.605092185549438,6,5.833031775429845,42,41,10,0,F M,West Ham,2,3.082754510454833,13.320021394640207,7.106406299397349
935,Kurt Zouma,33,2849,3,2.339608912356198,0,0.1828841548413038,16,4,3,0,D S,West Ham,3,2.339608912356198,3.844586410559714,3.714732094667852
986,Danny Ings,20,342,1,1.2228488996624949,0,0.3788724727928638,12,5,1,0,F M S,West Ham,1,1.2228488996624949,1.6572822146117687,0.3996972218155861
1245,Emerson,36,3163,1,1.6024377886205912,2,1.5223980667069554,19,23,10,0,D S,West Ham,1,1.6024377886205912,8.584011431783438,6.391479849815369
3278,Maxwel Cornet,7,101,1,0.5305153168737888,0,0.1610036846250295,4,4,0,0,M S,West Ham,1,0.5305153168737888,0.6300216317176819,0.1063233092427253
6722,Konstantinos Mavropanos,19,1490,1,0.8723389487713575,0,0.1037653312087059,12,2,2,0,D S,West Ham,1,0.8723389487713575,1.404158158227801,1.1598989609628916
6935,Naif Aguerd,21,1871,1,1.6546711716800928,0,0.2851862292736769,14,4,1,1,D,West Ham,1,1.6546711716800928,3.5052518025040627,3.46653238683939
11926,Edson Álvarez,31,2405,1,1.2118008164688945,1,0.5929595055058599,17,12,11,0,M S,West Ham,1,1.2118008164688945,6.416552271693945,5.055172272026539
12474,George Earthy,3,21,1,0.6298984289169312,0,0.0,1,0,0,0,S,West Ham,1,0.6298984289169312,0.6298984289169312,0.0
528,Angelo Ogbonna,11,629,0,0.0406796969473362,0,0.0,1,0,1,0,D S,West Ham,0,0.0406796969473362,0.2121387161314487,0.1714590191841125
534,Aaron Cresswell,11,414,0,0.0,0,0.4446245804429054,0,5,1,0,D S,West Ham,0,0.0,0.323039136826992,0.2730376645922661
706,Lukasz Fabianski,10,706,0,0.0,0,0.0,0,0,0,0,GK S,West Ham,0,0.0,0.3157586343586445,0.3157586343586445
2310,Alphonse Areola,31,2715,0,0.0,0,0.0,0,0,1,0,GK,West Ham,0,0.0,1.7693296167999506,1.7693296167999506
2335,Pablo Fornals,15,392,0,0.2919035069644451,0,0.5666238348931074,7,5,0,0,M S,West Ham,0,0.2919035069644451,1.448173340409994,0.9896499309688808
2674,Thilo Kehrer,4,12,0,0.0,0,0.0,0,0,2,0,S,West Ham,0,0.0,0.0920761972665786,0.0920761972665786
3585,Said Benrahma,13,619,0,1.9243336878716943,1,1.633838023990393,19,11,1,0,M S,West Ham,0,1.1631648428738115,4.428546093404293,1.7844416052103045
6424,Ben Johnson,14,509,0,0.2155094873160123,0,0.0,6,0,1,0,D M S,West Ham,0,0.2155094873160123,0.6861794609576464,0.5518248528242111
8719,Kalvin Phillips,12,358,0,0.1942080287262797,0,0.0,5,0,1,1,M S,West Ham,0,0.1942080287262797,1.1170908715575931,0.9405870689079164
8965,Vladimir Coufal,36,3153,0,0.2854840941727161,7,4.300948256626725,8,33,5,1,D,West Ham,0,0.2854840941727161,10.106693800538778,6.967354290187359
11242,Divin Mubama,5,67,0,0.0542812757194042,0,0.0,1,0,0,0,S,West Ham,0,0.0542812757194042,0.0542812757194042,0.0
11409,Kaelan Casey,1,1,0,0.0,0,0.0,0,0,0,0,S,West Ham,0,0.0,0.0,0.0
