id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
5735,Jean-Philippe Mateta,37,2690,14,15.83262430690229,2,3.85278513841331,69,29,2,0,F S,Crystal Palace,12,14.31028657220304,18.602611111477017,3.6145096691325302
5675,Ismaila Sarr,38,2738,8,12.308559328317642,6,10.056549122557044,59,44,4,0,F M S,Crystal Palace,8,12.308559328317642,24.235270714387298,7.31391823105514
8706,Eberechi Eze,34,2635,8,9.876954596489668,8,7.019554221071303,102,58,1,0,F M S,Crystal Palace,7,8.354616891592741,18.762924566864967,8.675655025988817
672,Jordan Ayew,31,1688,5,4.341383438557386,0,1.9064311189576983,33,17,6,0,F M S,Crystal Palace,4,3.580214601010084,5.810580421239138,2.694857061840594
12408,Daniel Muñoz,37,3237,4,5.791526351124048,5,5.942459639161825,37,45,10,0,D,Crystal Palace,4,5.791526351124048,17.36301911622286,7.908812275156379
6482,Eddie Nketiah,29,984,3,7.15336112678051,1,1.3858313784003258,43,13,4,1,F M S,Crystal Palace,3,7.15336112678051,9.502782799303532,2.1897604260593653
6615,Trevoh Chalobah,25,1983,3,2.548438237980008,1,2.151971971616149,18,8,3,0,D S,Crystal Palace,3,2.548438237980008,6.1127273216843605,5.525809340178967
7603,Marc Guehi,34,3060,3,2.960845593363046,2,2.1349100805819035,15,16,7,1,D M,Crystal Palace,3,2.960845593363046,8.626218263059855,7.739544311538339
782,Ben Chilwell,8,239,1,0.2562433071434498,0,0.8998954109847546,5,5,1,0,D S,Crystal Palace,1,0.2562433071434498,1.1016745641827583,0.7247382774949074
8430,Chris Richards,24,1925,1,1.6956392526626587,0,0.114281041547656,12,2,2,1,D S,Crystal Palace,1,1.6956392526626587,4.323614971712232,4.20933392085135
8853,Maxence Lacroix,35,3126,1,2.7525001103058457,1,1.6881468072533607,30,8,5,0,D,Crystal Palace,1,2.7525001103058457,8.140122196637094,6.942754318006337
12152,Matheus França,4,45,1,0.4079460725188255,0,0.0,6,0,0,0,S,Crystal Palace,1,0.4079460725188255,0.5714588239789009,0.1635127514600753
13038,Justin Devenny,23,472,1,1.1472182907164097,1,0.6334958653897047,10,7,1,0,M S,Crystal Palace,1,1.1472182907164097,2.1069728769361973,0.9024819005280732
13387,Romain Esse,7,124,1,0.5787168145179749,1,0.3007222488522529,1,3,0,0,M S,Crystal Palace,1,0.5787168145179749,1.1815895438194275,0.3021504878997803
510,Joel Ward,2,75,0,0.0,0,0.0684693977236747,0,1,1,0,D S,Crystal Palace,0,0.0,0.1046429947018623,0.1046429947018623
603,Nathaniel Clyne,13,483,0,0.0234091719612479,0,0.1613760516047477,2,3,1,0,D S,Crystal Palace,0,0.0234091719612479,1.4450985342264175,1.2837224826216698
757,Jeffrey Schlupp,12,72,0,0.2102906517684459,0,0.3348583467304706,4,2,0,0,S,Crystal Palace,0,0.2102906517684459,0.906626857817173,0.3614778672344982
2182,Jefferson Lerma,33,2274,0,0.8986045755445957,1,1.3882753169164062,26,10,9,0,D M S,Crystal Palace,0,0.8986045755445957,10.00641503976658,8.994050413835794
3697,Odsonne Edouard,6,131,0,0.325688287615776,0,0.105933329090476,5,2,0,0,M S,Crystal Palace,0,0.325688287615776,0.6215433776378632,0.189921760931611
6104,Will Hughes,33,2160,0,0.9225301016122104,3,3.364077143371105,22,33,11,0,M S,Crystal Palace,0,0.9225301016122104,9.026491666212678,7.883489057421684
6145,Daichi Kamada,34,1527,0,0.9768787622451782,0,1.8320643100887537,20,20,4,1,M S,Crystal Palace,0,0.9768787622451782,8.12018227763474,6.361981469206512
6314,Joachim Andersen,30,2678,0,0.8852448537945747,0,0.280512185767293,20,4,7,1,D,Crystal Palace,0,0.8852448537945747,10.6725890384987,10.444070791825652
7702,Dean Henderson,38,3420,0,0.0109276687726378,0,0.1058704666793346,1,2,3,0,GK,Crystal Palace,0,0.0109276687726378,3.299205945804715,3.19333547540009
8214,Tyrick Mitchell,37,3131,0,1.4204330071806908,5,7.109685024246573,12,41,2,0,D,Crystal Palace,0,1.4204330071806908,14.724310521036386,7.392835007980466
8666,Cheick Oumar Doucoure,13,439,0,0.3654052410274744,0,0.0139362784102559,7,1,1,0,M S,Crystal Palace,0,0.3654052410274744,3.558414466679096,3.280975388363004
11167,Chadi Riad,1,90,0,0.0,0,0.0,0,0,0,0,D,Crystal Palace,0,0.0,0.3966957628726959,0.3966957628726959
12409,Adam Wharton,20,1337,0,0.3357602218165993,2,3.3524712435901165,13,26,2,0,M S,Crystal Palace,0,0.3357602218165993,6.537219719961286,5.249624631367624
13039,Asher Agbinone,2,2,0,0.0151914963498711,0,0.0238666459918022,1,1,0,0,S,Crystal Palace,0,0.0151914963498711,0.0369486222043633,0.0130819762125611
13130,Caleb Kporha,2,5,0,0.0,0,0.0,0,0,0,0,S,Crystal Palace,0,0.0,0.0719930911436677,0.0719930911436677
