id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1136,Gianluca Lapadula,37,2596,8,10.252227053046228,2,3.799660637974739,75,33,2,0,F S,Benevento,8,9.490927085280418,11.750601025298238,2.0247275214642286
1170,Gianluca Caprari,30,1900,5,3.830051892437041,6,2.4633004097267985,48,34,4,1,F M S,Benevento,5,3.068753474391997,6.256533586420119,2.5983725199475884
6196,Nicolas Viola,17,1042,5,3.597569508478045,3,1.3177132904529572,18,18,0,0,M S,Benevento,1,0.5523735973984003,2.3270148001611237,1.4371164590120316
1406,Marco Sau,24,765,4,2.311332104727626,2,1.4944302886724472,11,19,1,1,F M S,Benevento,3,1.550114093348384,2.29151922184974,0.4940705019980669
1972,Gaetano Letizia,24,1567,3,0.4204477947205305,1,1.2012773863971231,13,14,2,0,D S,Benevento,3,0.4204477947205305,3.6646606102585793,2.8229006938636303
3,Luca Caldirola,25,1560,2,0.5324266981333494,0,0.1576356999576091,7,6,3,1,D S,Benevento,2,0.5324266981333494,2.150189228355885,2.0367876263335347
1604,Artur Ionita,36,2861,2,1.4822782259434462,0,0.8480780068784952,23,14,6,0,F M S,Benevento,2,1.4822782259434462,4.376633610576391,3.215996989049017
1617,Roberto Insigne,30,1598,2,3.687783249653876,4,3.850397604517639,39,40,2,0,F M S,Benevento,2,3.687783249653876,9.603484109044077,3.02728371322155
1800,Kamil Glik,36,3208,2,3.273077243939042,1,0.3577795997262001,28,4,7,1,D,Benevento,2,3.273077243939042,4.954514551907778,4.544665501452982
8607,Adolfo Gaich,15,771,2,2.716556226834655,0,0.4256258942186832,24,5,1,0,F S,Benevento,2,2.716556226834655,2.529622092843056,0.1540379002690315
1185,Iago Falque,11,355,1,0.3678577970713377,1,0.7816795036196709,11,12,0,0,M S,Benevento,1,0.3678577970713377,1.669627197086811,0.8235453991219401
1317,Andrés Tello,17,380,1,0.1986220981925726,0,0.045262798666954,7,1,2,0,D S,Benevento,1,0.1986220981925726,0.6142909992486238,0.4119027024134993
6182,Pasquale Schiattarella,29,2257,1,0.6014219056814909,1,2.2552980314940214,11,25,13,1,M S,Benevento,1,0.6014219056814909,8.082545510493219,6.711748289875686
8883,Riccardo Improta,34,2329,1,1.7657607709988952,0,2.6739607667550445,35,22,7,0,D M S,Benevento,1,1.7657607709988952,6.814544703811407,3.4242297261953354
8884,Alessandro Tuia,27,1766,1,0.4775644959881902,0,0.4868727000430226,8,3,6,0,D S,Benevento,1,0.4775644959881902,2.3737149881199,2.2948022857308388
1320,Federico Barba,32,2661,0,0.5403175037354231,2,1.5261480007320642,13,13,8,0,D S,Benevento,0,0.5403175037354231,4.667751375585794,4.175875443965197
1334,Perparim Hetemaj,31,2236,0,0.5941195506602526,2,1.1625242764130237,12,15,5,0,M S,Benevento,0,0.5941195506602526,3.037523028440773,1.730568414554
1391,Christian Maggio,8,294,0,0.0632791016250848,0,0.0,2,0,2,0,D S,Benevento,0,0.0632791016250848,0.1922017997130751,0.1922017997130751
1624,Fabio Depaoli,22,1399,0,0.3405780997127294,0,0.6326698958873749,10,12,2,0,D M S,Benevento,0,0.3405780997127294,2.2463076934218407,1.6851473189890385
3340,Bryan Dabo,25,1113,0,0.7905927998945117,0,0.2674647998064756,12,7,5,0,M S,Benevento,0,0.7905927998945117,2.623601951636374,2.2165255965664983
3925,Gabriele Moncini,10,351,0,0.9753311853855848,0,0.1833563018590212,8,3,0,0,F S,Benevento,0,0.9753311853855848,1.353375194594264,0.2877326980233192
6194,Lorenzo Del Pinto,1,10,0,0.0,0,0.0,0,0,0,0,S,Benevento,0,0.0,0.0,0.0
6649,Siriki Sanogo,1,9,0,0.0,0,0.0,0,0,0,0,S,Benevento,0,0.0,0.0,0.0
8881,Lorenzo Montipò,37,3330,0,0.0,0,0.0,0,0,3,0,GK,Benevento,0,0.0,1.7345771035179496,1.7345771035179496
8882,Daam Foulon,23,1014,0,0.0099460203200578,1,0.1068805996328592,1,4,4,0,D S,Benevento,0,0.0099460203200578,1.2767135770991445,1.186897792853415
8885,Nicolò Manfredini,1,90,0,0.0,0,0.0,0,0,0,0,GK,Benevento,0,0.0,0.0706954002380371,0.0706954002380371
8887,Christian Pastina,3,118,0,0.0,1,0.3706780076026916,0,1,1,0,S,Benevento,0,0.0,0.3907198067754507,0.020041799172759
8888,Giuseppe Di Serio,16,253,0,0.5616411902010441,0,0.0103048998862504,4,1,1,0,F S,Benevento,0,0.5616411902010441,0.7440971927717328,0.1721510989591479
9360,Amadou Diambo,1,2,0,0.0,0,0.0,0,0,0,0,S,Benevento,0,0.0,0.0,0.0
