id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1362,Simy,38,2935,20,17.47387995570898,2,1.525829304009676,64,27,1,0,F S,Crotone,12,11.38356663659215,13.730488548055291,2.165550235658884
8838,Junior Messias,36,3224,9,7.3645386369898915,4,3.203524367883801,99,32,6,0,F M,Crotone,9,7.3645386369898915,14.380892310291529,6.588677299208939
3259,Adam Ounas,22,1531,4,3.41816533356905,3,4.257230121642351,31,28,1,0,F M S,Crotone,4,3.41816533356905,9.250545926392078,2.6765753915533423
7014,Arkadiusz Reca,30,2324,2,1.215120560489595,3,2.7286526253446937,30,27,7,0,D S,Crotone,2,1.215120560489595,5.255812922492623,2.405588543042541
8837,Vladimir Golemic,30,2331,2,1.2727310145273805,0,0.5185423018410802,6,6,4,1,D S,Crotone,1,0.5114320004358888,3.3588834954425693,3.269180097617209
777,Emmanuel Rivière,21,625,1,1.3705002032220364,1,0.6213750019669533,12,5,2,0,F S,Crotone,1,1.3705002032220364,3.704567529261112,2.170122316107154
3550,Koffi Djidji,20,1517,1,0.3537642881274223,0,0.2551994044333696,4,4,4,0,D S,Crotone,1,0.3537642881274223,3.897352339699864,3.631722653284669
3989,Salvatore Molina,29,2336,1,0.756824592128396,4,2.424864591099322,15,25,1,0,D M S,Crotone,1,0.756824592128396,6.511597356759012,4.643257914111018
4917,Niccolò Zanellato,27,1643,1,0.5922184968367219,1,1.077050899155438,5,10,3,0,M S,Crotone,1,0.5922184968367219,3.410395580343902,2.8344518495723605
8029,Lisandro Magallán,28,2192,1,0.8408093214966357,2,0.3478552978485822,8,9,10,0,D S,Crotone,1,0.8408093214966357,4.786471351981163,4.12426027841866
8839,Eduardo Henrique,18,906,1,0.9185777055099608,0,0.1751605588942766,9,6,4,0,M S,Crotone,1,0.9185777055099608,2.349689658731222,1.3663619002327323
8926,Milos Vulic,25,1299,1,0.9432989126071334,1,1.4631507899612188,17,21,2,0,M S,Crotone,1,0.9432989126071334,3.3225217862054706,1.5683981962502005
1166,Ahmed Benali,18,1220,0,0.8533948063850403,1,1.1067885202355685,10,14,2,0,M S,Crotone,0,0.8533948063850403,3.2200447116047144,1.969445584341884
1238,Luca Cigarini,14,957,0,0.5393778970465064,0,1.141917017288506,16,16,3,1,M S,Crotone,0,0.5393778970465064,2.96768949367106,2.0670886132866144
1241,Pedro Pereira,35,2571,0,0.924775001592934,4,3.1479097194969654,14,21,6,0,D M S,Crotone,0,0.924775001592934,6.387206587940455,3.695689040236175
1274,Andrea Rispoli,19,631,0,0.4018622278235852,0,0.5106201944872737,4,11,4,0,D M S,Crotone,0,0.4018622278235852,1.9568930994719267,1.245958723127842
1351,Alex Cordaz,36,3240,0,0.0,0,0.0089352298527956,0,1,1,0,GK,Crotone,0,0.0,2.749413521029055,2.740478320978582
1367,Marco Festa,1,90,0,0.0,0,0.0,0,0,0,0,GK,Crotone,0,0.0,0.0,0.0
1591,Giuseppe Cuomo,13,796,0,0.3990710033103823,0,0.0,2,0,4,0,D S,Crotone,0,0.3990710033103823,0.5581721104681492,0.5581721104681492
1639,Sebastiano Luperto,23,1893,0,0.1820474686101079,0,0.1662778025493025,5,6,3,1,D S,Crotone,0,0.1820474686101079,2.054764207452536,1.7726673018187284
1643,Luca Marrone,21,1590,0,0.2153853997588157,0,0.0,4,0,8,0,D S,Crotone,0,0.2153853997588157,1.0895812967792151,1.044248298741877
1846,Luca Siligardi,6,75,0,0.0598785011097788,0,0.1045673992484808,2,4,0,0,S,Crotone,0,0.0598785011097788,0.2675669975578785,0.2176812998950481
3997,Antonio Mazzotta,2,54,0,0.0,0,0.0,0,0,1,0,M S,Crotone,0,0.0,0.0,0.0
6169,Giovanni Crociata,2,21,0,0.0,0,0.0919831022620201,0,1,0,0,S,Crotone,0,0.0,0.0919831022620201,0.0
7971,Jacopo Petriccione,20,955,0,0.0845233025029301,0,0.3971592830494046,3,8,5,1,M S,Crotone,0,0.0845233025029301,2.9239434776827693,2.677449196577072
8035,Samuel Di Carmine,22,985,0,2.5265612676739693,0,0.0947125004604458,15,4,2,0,F S,Crotone,0,2.5265612676739693,4.419178595766425,2.435590330511332
8840,Denis Dragus,9,159,0,0.1098363976925611,0,0.0,4,0,1,0,F S,Crotone,0,0.1098363976925611,0.6928138975054026,0.6157904230058193
8841,Tomislav Gomelt,2,14,0,0.0,0,0.0,0,0,0,0,S,Crotone,0,0.0,0.0449538007378578,0.0449538007378578
8842,Augustus Kargbo,1,30,0,0.0,0,0.0,0,0,0,0,S,Crotone,0,0.0,0.0181422997266054,0.0181422997266054
8844,Gian Marco Crespi,1,90,0,0.0,0,0.0,0,0,0,0,GK,Crotone,0,0.0,0.0,0.0
9009,Luis Rojas,7,86,0,0.0324794985353946,0,0.0131361000239849,1,1,1,0,S,Crotone,0,0.0324794985353946,0.0456155985593795,0.0
