id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1145,Rodrigo de Paul,36,3206,9,6.263157455250621,9,11.695030769333243,82,81,3,2,M,Udinese,6,3.979260741733015,18.211168073117733,9.88392847403884
1723,Roberto Pereyra,34,2949,5,4.137736218981445,7,4.314293311908841,28,45,8,0,F M,Udinese,4,3.376437204889953,13.599071718752384,6.8789234440773726
1763,Stefano Okaka,22,1494,4,4.292408408597112,1,0.637026397511363,24,9,2,0,F S,Udinese,4,4.292408408597112,4.708408045582473,1.42727829515934
1903,Kevin Lasagna,36,2372,4,11.374926904216409,1,3.267692871391773,72,25,1,0,F M S,Udinese,4,11.374926904216409,15.326310425065458,1.6668746955692768
3821,Rolando Mandragora,27,1917,3,3.44558587949723,1,0.5977573031559587,35,19,3,1,M S,Udinese,3,3.44558587949723,7.988403601571917,4.565365490503609
4348,Tolgay Arslan,30,1861,3,0.9118159711360933,0,0.5380894970148802,22,9,9,0,M S,Udinese,3,0.9118159711360933,5.48398669809103,4.289577286690474
6997,Ignacio Pussetto,11,761,3,2.382127633318305,1,1.0900541935116053,17,8,2,0,F S,Udinese,3,2.382127633318305,3.620887044817209,1.350266084074974
1272,Ilija Nestorovski,22,666,2,5.143586440011859,2,1.8310516877099872,25,14,1,0,F S,Udinese,2,5.143586440011859,6.923712877556682,0.8404390029609203
6262,Jens Stryger Larsen,33,2657,2,3.6712827486917377,0,1.1915196999907494,23,10,0,0,D M S,Udinese,2,3.6712827486917377,7.99351089913398,4.437161326408386
8963,Nahuel Molina,29,1808,2,1.221968204714358,5,2.699252560734749,16,22,1,0,D S,Udinese,2,1.221968204714358,8.575319174677134,5.599302962422371
591,Gerard Deulofeu,13,593,1,1.4934396520256996,1,0.8400336094200611,17,7,0,0,F M S,Udinese,1,1.4934396520256996,3.5614525750279427,1.3423758037388325
1030,Fernando Forestieri,19,532,1,1.6452004807069898,1,1.03226269595325,11,8,1,0,F S,Udinese,1,1.6452004807069898,2.636838929727673,0.6623281920328736
1142,Samir,30,2210,1,1.3209124691784382,0,0.894023691304028,11,9,6,0,D S,Udinese,1,1.3209124691784382,7.315221656113863,6.5204234048724174
1728,Fernando Llorente,17,762,1,1.8734220936894417,0,0.5758714936673641,13,12,2,0,F S,Udinese,1,1.8734220936894417,3.407828811556101,1.5666658524423838
6206,Bram Nuytinck,20,1645,1,0.4682929394766688,0,0.1146675981581211,4,3,1,0,D S,Udinese,1,0.4682929394766688,2.0252563217654824,1.957720710895956
6303,Marvin Zeegelaar,24,1774,1,1.2140242252498863,0,1.4033572115004065,9,10,6,0,D S,Udinese,1,1.2140242252498863,4.762895875610411,2.8939470034092665
6806,Rodrigo Becão,35,2787,1,1.8541742395609615,0,0.2160345325246453,10,7,5,0,D S,Udinese,1,1.8541742395609615,6.156187633983791,5.986800102517009
9334,Jayden Braaf,4,106,1,0.1531432978808879,0,0.0185455996543169,2,1,0,0,F S,Udinese,1,0.1531432978808879,0.250842098146677,0.0976991988718509
1153,Ryder Matos,1,11,0,0.0,0,0.0301396008580923,0,1,0,0,S,Udinese,0,0.0,0.0468325987458229,0.0166929997503757
1158,Simone Scuffet,1,90,0,0.0,0,0.0,0,0,0,0,GK,Udinese,0,0.0,0.0,0.0
1273,Mato Jajalo,1,29,0,0.0,0,0.0,0,0,0,0,S,Udinese,0,0.0,0.0,0.0
1431,Sebastien De Maio,15,855,0,0.2958129961043596,0,0.0,6,0,1,0,D S,Udinese,0,0.2958129961043596,3.13002273067832,3.100876744836569
3536,Jean-Victor Makengo,17,505,0,0.0856042997911572,0,0.1058986987918615,4,2,1,0,M S,Udinese,0,0.0856042997911572,1.1856782166287303,1.1341283144429326
3951,Kevin Bonifazi,30,2476,0,1.190489836037159,0,0.1646859943866729,17,2,4,0,D S,Udinese,0,1.190489836037159,4.658437189646065,4.517773994244635
4903,Mamadou Coulibaly,3,183,0,0.0754629001021385,0,0.1432300060987472,2,2,0,0,M S,Udinese,0,0.0754629001021385,0.7502769976854324,0.5315837962552905
5226,Walace,30,2058,0,0.4704206734895706,0,0.2353955535218119,17,9,4,0,M S,Udinese,0,0.4704206734895706,6.267740024253726,5.870208662003279
6129,Nícolas,2,180,0,0.0,0,0.0,0,0,0,0,GK,Udinese,0,0.0,0.0775336995720863,0.0775336995720863
6399,Manuel Gasparini,1,1,0,0.0,0,0.0,0,0,0,0,S,Udinese,0,0.0,0.0,0.0
7000,Hidde ter Avest,6,348,0,0.0,0,0.0,0,0,0,0,D S,Udinese,0,0.0,1.6470999596640468,1.6470999596640468
7095,Juan Musso,35,3150,0,0.0,0,0.0,0,0,5,0,GK,Udinese,0,0.0,2.012993946671486,2.012993946671486
7225,Petar Micin,1,13,0,0.0,0,0.0,0,0,0,0,S,Udinese,0,0.0,0.0,0.0
8487,Martin Palumbo,3,61,0,0.0,0,0.0,0,0,0,0,M S,Udinese,0,0.0,0.0717474967241287,0.0717474967241287
8922,Thomas Ouwejan,15,396,0,0.1375488983467221,2,1.4767006197944283,6,10,0,0,D S,Udinese,0,0.1375488983467221,1.788974612951279,1.446834814734757
