id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
502,Olivier Giroud,29,1927,11,11.489900324493648,3,2.901090707629919,63,26,4,0,F S,AC Milan,9,9.967302296310663,12.086555399000645,3.4983242135494947
7193,Rafael Leão,34,2649,11,9.124194806441665,8,7.430774804204702,97,45,4,0,F M S,AC Milan,11,9.124194806441665,18.03145491331816,3.521644489839673
1741,Zlatan Ibrahimovic,23,986,8,7.344693657010794,3,2.3740153945982456,51,23,2,0,F S,AC Milan,8,6.583394642919302,10.178349889814854,2.173675924539566
1489,Franck Kessié,31,2313,6,4.831394530832768,0,1.9243412632495165,35,28,2,0,M S,AC Milan,4,2.5474942084401846,12.66595740430057,9.775877108797433
2547,Theo Hernández,32,2716,5,5.300136870704591,6,5.6615872997790575,42,51,5,2,D S,AC Milan,4,3.777537888847292,13.63970602490008,8.629744665697217
7958,Sandro Tonali,36,2623,5,4.595865771174431,2,4.482516514137387,38,44,9,0,M S,AC Milan,5,4.595865771174431,13.69593345746398,6.915457342751324
8838,Junior Messias,26,1430,5,4.3204378969967365,2,2.0571427065879107,44,21,2,0,F M S,AC Milan,5,4.3204378969967365,7.882113374769688,2.6812446918338537
6421,Brahim Diaz,31,1900,3,4.575269402004778,3,2.4926864113658667,30,31,4,0,M S,AC Milan,3,4.575269402004778,11.33105681836605,4.679222115315497
1254,Alessandro Florenzi,24,1141,2,0.8204992981627584,0,0.8673962187021971,22,11,1,0,D M S,AC Milan,2,0.8204992981627584,3.811399824917317,3.0480838883668184
1574,Davide Calabria,26,2135,2,3.896274720318616,3,1.8661153744906187,36,19,2,0,D S,AC Milan,2,3.896274720318616,10.81116629205644,6.948578773997724
1852,Ante Rebic,24,839,2,2.8852354921400547,2,5.084753226488829,31,30,2,0,F M S,AC Milan,2,2.8852354921400547,7.626595288515091,1.264818500727415
6981,Ismael Bennacer,31,1517,2,0.6863203123211861,1,1.5997094241902232,16,22,7,0,M S,AC Milan,2,0.6863203123211861,6.6711605582386255,5.333130116574466
1119,Alessio Romagnoli,19,1404,1,0.788194801658392,0,0.0868346998468041,12,3,4,1,D S,AC Milan,1,0.788194801658392,3.613235536962748,3.573712032288313
1487,Andrea Conti,8,231,1,0.3991139084100723,0,0.0,3,0,1,0,M S,AC Milan,1,0.3991139084100723,0.1095307022333145,0.0557698011398315
4932,Pietro Pellegri,15,322,1,0.4889841955155134,0,0.2185137011110782,8,4,1,0,F S,AC Milan,1,0.4889841955155134,0.8994472026824951,0.3606466092169285
8163,Daniel Maldini,8,142,1,0.5494755879044533,0,0.0502075999975204,3,1,1,0,M S,AC Milan,1,0.5494755879044533,0.713204987347126,0.1135220006108284
8297,Alexis Saelemaekers,36,1866,1,3.180294256657362,3,4.113712633028626,39,38,2,0,F M S,AC Milan,1,3.180294256657362,14.044270288199186,8.275666370987892
8313,Pierre Kalulu Kyatengwa,28,1936,1,0.4048685040324926,2,0.9083080850541592,5,7,4,0,D S,AC Milan,1,0.4048685040324926,5.907109134830535,5.14138310495764
703,Fikayo Tomori,31,2722,0,1.9482456389814613,0,0.0577132706530392,12,4,4,0,D S,AC Milan,0,1.9482456389814613,9.618878487497568,9.56257788464427
1311,Rade Krunic,28,1407,0,0.6930702179670334,2,2.0759631283581257,10,17,2,0,M S,AC Milan,0,0.6930702179670334,4.754886619746685,3.326757125556469
1416,Ciprian Tatarusanu,6,540,0,0.0,0,0.0,0,0,0,0,GK,AC Milan,0,0.0,0.0713554993271827,0.0713554993271827
2303,Samu Castillejo,5,123,0,0.1244515031576156,0,0.1841271072626114,2,2,1,0,M S,AC Milan,0,0.1244515031576156,0.5269022062420845,0.2542951051145792
3429,Tiemoué Bakayoko,14,482,0,0.4939489979296922,0,0.4099559858441353,4,3,3,0,M S,AC Milan,0,0.4939489979296922,2.4602309186011557,1.9682861976325512
3737,Mike Maignan,32,2880,0,0.0,1,0.232414998114109,0,2,1,0,GK,AC Milan,0,0.0,4.1196687035262585,3.887254100292921
4699,Simon Kjaer,11,803,0,0.4025834947824478,0,0.3777619898319244,5,2,2,0,D S,AC Milan,0,0.4025834947824478,1.9413573993369937,1.5635959906503558
4920,Matteo Gabbia,8,545,0,0.0129901003092527,0,0.0567464008927345,1,1,3,0,D S,AC Milan,0,0.0129901003092527,1.1197961047291756,1.063050098717213
5803,Fode Toure,10,435,0,0.2721816077828407,0,0.159680699929595,2,5,2,0,D S,AC Milan,0,0.2721816077828407,0.8058351892977953,0.6461544930934906
9440,Luca Stanga,1,2,0,0.0,0,0.0,0,0,0,0,S,AC Milan,0,0.0,0.0,0.0
