id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7006,Lautaro Martínez,35,2334,21,24.57045882754028,3,3.6040150886401534,118,28,6,0,F M S,Inter,18,20.002661837264892,24.541737204417583,5.153754536062479
1253,Edin Dzeko,36,2478,13,16.463176418095827,5,4.338647693395615,87,37,2,0,F S,Inter,13,16.463176418095827,23.870775816962123,7.590861413627863
448,Ivan Perisic,35,2860,8,4.645239282399416,7,9.093384258449078,44,57,4,0,D M,Inter,7,3.88394008949399,21.975545128807425,13.473395837470887
189,Hakan Calhanoglu,34,2550,7,6.000108636915684,12,8.4635193310678,65,88,11,0,M S,Inter,4,3.716212470084429,18.553644260391597,14.091983556747437
1809,Joaquín Correa,26,1016,6,5.485465031117201,1,2.136276498436928,34,19,2,0,F S,Inter,6,5.485465031117201,9.90583144687116,3.4060542173683643
498,Alexis Sánchez,27,833,5,4.878856215626001,2,2.0303698731586337,33,20,0,0,F S,Inter,5,4.878856215626001,11.38317732140422,5.921029094606638
9840,Denzel Dumfries,33,2029,5,6.442715089768171,4,4.683003788813949,37,28,3,0,D S,Inter,5,6.442715089768171,16.912156362086535,7.212721174582839
1223,Milan Skriniar,35,3150,3,3.517575876787305,0,0.7227815082296729,25,9,3,0,D,Inter,3,3.517575876787305,18.105836808681488,17.797514781355858
1409,Nicolò Barella,36,2953,3,4.975241807289422,12,9.138775686733425,68,63,9,0,M,Inter,3,4.975241807289422,28.95583648979664,17.51832997240126
557,Matteo Darmian,25,1496,2,0.9904801808297634,1,2.527653716504574,8,21,4,0,D S,Inter,2,0.9904801808297634,9.062125224620104,6.339729204773903
1324,Federico Dimarco,32,1416,2,3.7895215693861246,2,5.9087175484746695,39,48,1,0,D S,Inter,2,3.0282275024801493,12.155453836545348,8.421477161347866
1496,Roberto Gagliardini,18,622,2,1.3104225173592567,2,1.503927756100893,8,6,2,0,M S,Inter,2,1.3104225173592567,6.51380317658186,4.831018768250942
1511,Marcelo Brozovic,35,2970,2,1.2476579081267118,1,2.19460560195148,32,35,7,0,M,Inter,2,1.2476579081267118,25.06638278439641,23.181413363665342
222,Arturo Vidal,28,674,1,1.679434584453702,2,2.4484543576836586,18,12,3,0,M S,Inter,1,1.679434584453702,10.25845055654645,6.365300580859184
1423,Matías Vecino,17,353,1,1.095955915749073,0,1.1627250239253044,7,5,2,0,M S,Inter,1,1.095955915749073,5.829170849174261,4.42627727240324
1465,Stefano Sensi,20,923,1,2.009885663166642,0,0.955834399908781,12,13,1,0,M S,Inter,1,2.009885663166642,4.288930509239435,1.410019401460886
1523,Danilo D&#039;Ambrosio,20,973,1,1.9922331124544144,1,0.0998666994273662,14,2,2,0,D S,Inter,1,1.9922331124544144,6.770738296210766,5.579721055924892
2116,Felipe Caicedo,12,289,1,1.267576428130269,2,0.9076989963650705,12,7,1,0,F S,Inter,1,1.267576428130269,2.0813899356871843,0.0144795998930931
4939,Alessandro Bastoni,31,2338,1,0.2192311976104974,3,2.3262839131057262,8,14,4,0,D S,Inter,1,0.2192311976104974,13.273063968867064,12.759306952357292
6155,Robin Gosens,13,619,1,1.5688585042953491,1,1.0674740932881832,18,7,3,0,D M S,Inter,1,1.5688585042953491,4.557620592415333,3.336175438016653
621,Aleksandar Kolarov,3,38,0,0.0130425002425909,0,0.0,1,0,0,0,S,Inter,0,0.0130425002425909,0.5067075081169605,0.4936650078743696
1505,Samir Handanovic,37,3330,0,0.0,0,0.0,0,0,1,0,GK,Inter,0,0.0,8.01733011007309,8.01733011007309
1522,Andrea Ranocchia,6,337,0,0.8782170116901398,0,0.0,2,0,1,0,D S,Inter,0,0.8782170116901398,2.3562569618225098,2.3562569618225098
1541,Stefan de Vrij,30,2413,0,2.257809321396053,0,0.0,21,0,3,0,D S,Inter,0,2.257809321396053,13.359213259071112,13.179013293236494
1830,Ionut Radu,1,90,0,0.0,0,0.0,0,0,0,0,GK,Inter,0,0.0,0.3202010095119476,0.3202010095119476
9001,Martín Satriano,4,30,0,0.0,0,0.0361334010958671,0,1,0,0,S,Inter,0,0.0,0.0,0.0
10139,Mattia Zanotti,1,7,0,0.0,0,0.1235919967293739,0,1,0,0,S,Inter,0,0.0,0.1235919967293739,0.1235919967293739
