id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7084,Dusan Vlahovic,36,2948,24,18.232162565924227,3,3.117640297859907,119,29,4,0,F S,Juventus,19,13.664370813407004,19.07837056368589,5.176782550290227
1294,Paulo Dybala,29,2079,10,8.141843285411596,5,5.419801661744714,99,38,3,0,F M S,Juventus,9,6.619241151958704,16.03753306157887,6.974124785512686
1804,Álvaro Morata,35,2326,9,9.878891909494996,7,6.9221428241580725,61,44,5,0,F M S,Juventus,8,9.117592895403504,16.754406172782183,4.392625104635954
1287,Leonardo Bonucci,24,2003,5,5.713716873899102,1,0.7871844824403524,17,11,1,0,D S,Juventus,2,3.4298158083111048,5.81349428370595,5.336602035909891
1304,Moise Kean,32,1078,5,6.978520222008228,1,0.1932152993977069,28,5,5,0,F S,Juventus,5,6.978520222008228,6.677115347236395,0.7944269105792046
1089,Juan Cuadrado,33,2503,4,2.4366768915206194,4,6.2659034337848425,36,59,9,0,D M S,Juventus,4,2.4366768915206194,15.234529078006744,11.088610474020244
1122,Manuel Locatelli,31,2167,3,2.310969188809395,4,1.612101472914219,21,18,6,0,M S,Juventus,3,2.310969188809395,10.789089791476728,7.525343533605337
5360,Weston McKennie,21,1367,3,3.0620887018740177,0,1.2541380934417248,23,20,1,0,M S,Juventus,3,3.0620887018740177,5.111866511404514,2.322309710085392
7902,Matthijs de Ligt,31,2680,3,2.398972501046956,1,1.7362264841794968,20,9,2,1,D S,Juventus,3,2.398972501046956,8.804609082639217,8.173653170466423
1433,Federico Chiesa,14,867,2,2.4671006333082914,2,1.070226013660431,28,17,0,0,F M S,Juventus,2,2.4671006333082914,4.272592857480049,1.2171736918389795
1120,Mattia De Sciglio,20,1154,1,0.4609701065346598,2,2.6100465757772326,6,19,2,0,D S,Juventus,1,0.4609701065346598,5.210814825259149,3.0884424350224435
1424,Federico Bernardeschi,28,1489,1,1.4562089014798405,2,1.746007790789008,33,17,5,0,D F M S,Juventus,1,1.4562089014798405,6.263498036190867,3.968253238126636
2244,Danilo,22,1895,1,0.8573665861040354,1,1.328511467203498,13,14,6,0,D M,Juventus,1,0.8573665861040354,8.310253189876676,7.8383340034633875
6147,Denis Zakaria,9,596,1,1.3900226689875126,1,0.1411261977627873,9,3,1,0,M S,Juventus,1,1.3900226689875126,1.967302475124597,0.4619570933282375
6691,Dejan Kulusevski,20,758,1,2.578633788973093,3,1.5339280180633068,18,10,1,0,F M S,Juventus,1,2.578633788973093,5.610760862007737,1.741172606125474
504,Aaron Ramsey,3,97,0,0.0,0,0.1508100032806396,0,2,0,0,M S,Juventus,0,0.0,0.9046973958611488,0.7538869976997375
1093,Mattia Perin,5,409,0,0.0,0,0.0,0,0,0,0,GK,Juventus,0,0.0,0.0257468000054359,0.0257468000054359
1244,Wojciech Szczesny,33,2970,0,0.0,0,0.0896009770222008,0,3,2,0,GK,Juventus,0,0.0,4.171329610049725,4.09042302146554
1289,Alex Sandro,28,1777,0,1.074178292416036,1,1.8968807011842728,9,23,3,0,D S,Juventus,0,1.074178292416036,7.677789393812418,5.464324567466974
1301,Daniele Rugani,12,876,0,0.1430075019598007,0,0.0141952997073531,2,1,2,0,D S,Juventus,0,0.1430075019598007,2.0401200875639915,2.0401200875639915
1576,Giorgio Chiellini,21,1345,0,0.8362672217190266,0,0.4100733064115047,4,7,2,0,D S,Juventus,0,0.8362672217190266,3.0758681651204824,2.7377726659178734
2371,Cristiano Ronaldo,1,28,0,0.2049690037965774,0,0.0353769995272159,1,1,1,0,S,Juventus,0,0.2049690037965774,0.0513100996613502,0.0159331001341342
3291,Adrien Rabiot,32,2303,0,1.6153665278106928,2,2.410898270085454,26,21,5,0,M S,Juventus,0,1.6153665278106928,7.945747874677181,5.336479272693396
4970,Luca Pellegrini,18,1122,0,0.1947389962151646,1,1.596484523266554,6,13,6,0,D M S,Juventus,0,0.1947389962151646,4.225424867123365,3.352605666965246
6107,Carlo Pinsoglio,1,41,0,0.0,0,0.0,0,0,0,0,S,Juventus,0,0.0,0.0,0.0
6108,Rodrigo Bentancur,19,1164,0,0.4962538061663508,2,0.8821825888007879,8,11,1,0,M S,Juventus,0,0.4962538061663508,6.5250401850789785,5.512392750009894
6942,Arthur,20,938,0,0.1194669976830482,0,0.4900059914216399,2,6,3,0,M S,Juventus,0,0.1194669976830482,5.789945802651346,5.263425547629595
8037,Marley Aké,4,67,0,0.0,0,0.0,0,0,1,0,S,Juventus,0,0.0,0.1191750019788742,0.1191750019788742
8487,Martin Palumbo,1,11,0,0.0,0,0.0,0,0,0,0,S,Juventus,0,0.0,0.0,0.0
9872,Kaio Jorge,9,111,0,0.531188003718853,0,0.5476000010967255,5,2,0,0,S,Juventus,0,0.531188003718853,1.01472570002079,0.0952275022864341
9965,Matìas Soulè Malvano,2,2,0,0.077965997159481,0,0.0,2,0,0,0,S,Juventus,0,0.077965997159481,0.013689300045371,0.0
9966,Fabio Miretti,6,327,0,0.15658900141716,0,0.335702396929264,2,5,0,0,M S,Juventus,0,0.15658900141716,0.8382008224725723,0.602271780371666
