id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1209,Ciro Immobile,31,2731,27,22.364816416054964,2,2.5868874872103333,118,27,4,0,F,Lazio,20,15.51312769204378,20.60471131280065,4.54159916844219
1543,Sergej Milinkovic-Savic,37,3121,11,8.492887605912983,11,7.113518685102463,75,52,4,1,M S,Lazio,11,8.492887605912983,18.03498783241957,11.111050514504312
687,Pedro,32,2048,9,4.05756788700819,5,3.8734197160229087,36,28,5,0,F S,Lazio,9,4.05756788700819,13.376773338764906,6.06186394020915
1208,Felipe Anderson,38,2930,6,6.128228355199099,8,6.424979998730123,44,51,2,0,F M S,Lazio,6,6.128228355199099,17.280533079057932,7.419308198615909
1958,Mattia Zaccagni,31,2061,6,5.092445960268378,5,4.353458316065371,37,32,6,0,F M S,Lazio,5,4.331146975979209,9.649489598348737,2.430202417075634
1219,Luis Alberto,34,2374,5,4.228031841106713,10,8.957732898183167,47,65,5,0,M S,Lazio,5,4.228031841106713,16.61635478772223,9.552706542424858
1463,Francesco Acerbi,30,2535,4,3.017673497088253,0,0.2833092045038938,15,5,2,1,D S,Lazio,4,3.017673497088253,8.441426385194063,7.780984997749329
6180,Manuel Lazzari,31,1643,3,0.8267302997410297,3,2.658029062673449,12,13,3,0,D S,Lazio,3,0.8267302997410297,6.8734574699774384,4.7139779487624764
1204,Patric,24,1658,1,1.0303372321650386,1,0.5391825959086418,6,6,4,1,D S,Lazio,1,1.0303372321650386,5.5381163796409965,4.867778389714658
1206,Danilo Cataldi,32,1725,1,0.3089275015518069,2,3.3425218733027577,12,25,8,0,M S,Lazio,1,0.3089275015518069,6.359654291532934,5.456883037462831
1375,Elseid Hysaj,29,2034,1,0.5768290990963578,0,0.9398706033825874,4,12,3,0,D S,Lazio,1,0.5768290990963578,6.940342787653208,6.142318584024906
6176,Adam Marusic,33,2730,1,0.2303932001814246,1,0.5671647004783154,8,8,4,1,D S,Lazio,1,0.2303932001814246,7.77238810248673,7.1120892353355885
10378,Jovane Cabral,3,198,1,0.8664800133556128,0,0.0392397008836269,6,1,0,0,F S,Lazio,1,0.8664800133556128,1.2300002127885818,0.4138472005724907
475,Lucas Leiva,35,1688,0,0.0946264024823904,1,0.3398288041353225,3,6,9,0,M S,Lazio,0,0.0946264024823904,6.712816031649709,6.398229727521539
1214,Thomas Strakosha,23,2070,0,0.0,0,0.0246869008988142,0,1,2,0,GK,Lazio,0,0.0,2.3877945225685835,2.3877945225685835
1374,José Reina,15,1350,0,0.0,1,0.2545689940452575,0,1,3,0,GK,Lazio,0,0.0,2.1695396844297647,1.9149702955037355
1542,Stefan Radu,10,553,0,0.0528112016618251,0,0.0,2,0,2,0,D S,Lazio,0,0.0528112016618251,1.119432583451271,1.100082591176033
2437,Gonzalo Escalante,1,8,0,0.0,0,0.0,0,0,0,0,S,Lazio,0,0.0,0.0,0.0
3209,Jean-Daniel Akpa-Akpro,10,310,0,0.2226017005741596,0,0.0257919998839497,3,2,1,0,M S,Lazio,0,0.2226017005741596,0.1991478959098458,0.0869672009721398
6177,Luiz Felipe,31,2501,0,0.3730597756803036,0,0.1546626035124063,5,3,9,1,D S,Lazio,0,0.3730597756803036,5.45508424192667,5.300421942025423
6902,Toma Basic,29,953,0,1.5776849826797843,2,1.048076719045639,16,6,3,0,M S,Lazio,0,1.5776849826797843,4.117382510565221,2.073049093596637
7940,Denis Vavro,1,5,0,0.0,0,0.0,0,0,0,0,S,Lazio,0,0.0,0.0373972989618778,0.0373972989618778
7941,André Anderson,4,56,0,0.1357080042362213,0,0.0,1,0,1,0,S,Lazio,0,0.1357080042362213,0.1357080042362213,0.0
8429,Luka Romero,8,61,0,0.0146153001114726,0,0.0618565008044242,1,1,0,0,S,Lazio,0,0.0146153001114726,0.1405394989997148,0.1259240973740816
8584,Raul Moro,11,175,0,0.2032729983329773,1,0.2323821010068059,2,6,0,0,F S,Lazio,0,0.2032729983329773,0.539667702279985,0.3215425964444875
9002,Vedat Muriqi,11,186,0,0.807509783655405,0,0.0,4,0,1,0,F S,Lazio,0,0.807509783655405,0.8750349255278707,0.0675256000831723
10409,Dimitrije Kamenovic,1,40,0,0.6101920008659363,0,0.0,1,0,0,0,S,Lazio,0,0.6101920008659363,0.0,0.0
