id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3751,Thomas Henry,33,2138,9,7.637231107801199,3,2.638835303485393,51,20,4,1,F S,Venezia,9,7.637231107801199,8.767545774579048,0.9426808916032314
1566,Mattia Aramu,32,2123,7,6.246447209268808,5,4.522364687174559,59,35,6,0,F M S,Venezia,4,3.2012508921325207,7.375948952510953,3.119507599622011
9905,David Okereke,32,2073,7,5.30778388492763,0,0.8920550048351288,40,13,5,1,F M S,Venezia,7,5.30778388492763,7.601597452536225,2.460304057225585
9903,Domen Crnigoj,34,1902,3,2.116329695098102,1,1.147607086226344,31,11,3,0,D M S,Venezia,3,2.116329695098102,5.285825802013278,3.0110707134008408
9878,Pietro Ceccaroni,35,3123,2,2.264233836904168,1,0.7693423237651587,19,6,7,1,D,Venezia,2,2.264233836904168,4.838703699409962,4.59632308781147
1486,Mattia Caldara,31,2703,1,1.8033107947558165,0,0.0972339967265725,15,3,9,0,D S,Venezia,1,1.8033107947558165,3.300024898722768,2.9486567042768
4942,Sofian Kiyine,26,1236,1,1.8619300378486516,0,2.7978722900152206,21,20,8,1,F M S,Venezia,1,1.1006340039893985,5.186787010170519,3.5997082851827145
9882,Dennis Johnsen,27,1458,1,1.7242124937474728,2,3.240261210128665,15,24,2,0,F M S,Venezia,1,1.7242124937474728,5.408687021583319,1.0643508043140173
9883,Francesco Forte,12,394,1,1.265053890645504,0,0.4483823999762535,11,4,3,0,F S,Venezia,1,1.265053890645504,1.3781151003204286,0.1012357133440673
9904,Gianluca Busio,29,1961,1,0.7105171512812376,2,1.5203611855395138,14,15,8,0,M S,Venezia,1,0.7105171512812376,4.38904176466167,3.1134350541979074
9952,Ridgeciano Haps,25,2070,1,0.5123381335288286,1,0.6422964530065656,11,13,6,0,D M S,Venezia,1,0.5123381335288286,4.064136115834117,3.17904869839549
560,Sergio Romero,16,1440,0,0.0,0,0.0938476994633674,0,1,2,0,GK,Venezia,0,0.0,0.6044665966182947,0.5106188971549273
