id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1868,Daniel Ciofani,32,1030,8,6.3114085383713245,0,0.6939694732427597,32,10,1,0,F S,Cremonese,5,3.26621325686574,3.270833982154727,0.8133191857486963
9905,David Okereke,33,2277,7,5.145014280453324,0,1.0039336625486612,61,21,4,0,F M S,Cremonese,6,4.383715664967895,7.210744492709637,2.490612177178264
10937,Cyriel Dessers,26,1598,6,6.505328755825758,2,2.111249329522252,50,23,3,0,F S,Cremonese,6,5.744029771536589,7.769972678273916,1.177916144952178
6558,Frank Tsadjout,20,1060,3,2.0377023220062256,1,0.3423418952152133,26,10,1,0,F M S,Cremonese,3,2.0377023220062256,2.509815964847803,0.6242934679612517
7004,Leonardo Sernicola,32,2328,2,1.0741685228422284,2,2.183116588741541,25,25,11,0,D M S,Cremonese,2,1.0741685228422284,5.674621271900833,3.124750909395516
11027,Emanuele Valeri,37,2796,2,2.5298722153529525,3,4.336974482983351,39,54,3,0,D M S,Cremonese,2,2.5298722153529525,8.256239663809538,3.3098297901451588
1843,Matteo Bianchetti,25,2128,1,1.231351524591446,0,0.5340379662811756,7,5,5,0,D S,Cremonese,1,1.231351524591446,2.9574700109660625,2.4676188193261623
2040,Paolo Ghiglione,15,713,1,0.6312382444739342,1,0.6070749275386333,7,12,4,0,D M S,Cremonese,1,0.6312382444739342,2.2866541631519794,1.4051702516153457
9985,Johan Vásquez,25,1801,1,0.5733857955783606,0,0.2462121006101369,12,6,7,0,D S,Cremonese,1,0.5733857955783606,3.217744057998061,3.1105768624693155
10034,Pablo Galdames,13,740,1,0.2628095764666796,2,0.6943611539900303,7,10,2,0,M S,Cremonese,1,0.2628095764666796,2.1372707411646843,1.4562242049723864
10936,Charles Pickel,33,2510,1,2.030045371502638,0,1.1359755769371986,23,20,8,1,D F M S,Cremonese,1,2.030045371502638,5.679394750855863,3.1487753745168447
10939,Cristian Buonaiuto,29,957,1,2.8947981540113688,0,1.559725319966674,43,17,3,0,F M S,Cremonese,0,2.1334993224591017,4.385597541928291,1.850079108029604
11026,Luka Lochoshvili,25,1878,1,0.9533305000513792,2,1.1276969406753778,9,5,4,0,D S,Cremonese,1,0.9533305000513792,1.8814018331468103,1.3135414430871606
1183,Marco Benassi,17,1095,0,0.875769380480051,0,0.5209657028317451,19,8,0,0,D M S,Cremonese,0,0.875769380480051,2.394029103219509,1.6071797981858251
1395,Vlad Chiriches,16,991,0,0.0,0,0.048097301274538,0,1,2,0,D S,Cremonese,0,0.0,0.7115270011126995,0.7115270011126995
1454,Alex Ferrari,28,1891,0,0.136252298951149,0,0.5059699043631554,5,5,6,0,D S,Cremonese,0,0.136252298951149,2.028401341289282,1.8511371444910765
1459,Mouhamadou Sarr,2,180,0,0.0,0,0.0,0,0,0,0,GK,Cremonese,0,0.0,0.0797559339553117,0.0797559339553117
1631,Luca Zanimacchia,15,756,0,0.9467373881489038,0,0.6613525087013841,18,13,2,0,M S,Cremonese,0,0.9467373881489038,2.4599271416664124,1.292407626286149
1830,Ionut Radu,9,810,0,0.0,0,0.1955696083605289,0,2,0,0,GK,Cremonese,0,0.0,0.3690148126333952,0.1734452024102211
1970,Jaime Báez,2,92,0,0.0711053013801574,0,0.1248552035540342,2,2,0,0,M S,Cremonese,0,0.0711053013801574,0.1895733028650283,0.0104182995855808
2437,Gonzalo Escalante,9,556,0,0.183239996433258,1,0.2103489004075527,6,4,0,1,M S,Cremonese,0,0.183239996433258,0.6173969991505146,0.3278623968362808
3739,Soualiho Meité,31,2383,0,0.4154317565262317,2,0.5776339061558247,17,14,5,0,M S,Cremonese,0,0.4154317565262317,4.274687374010682,3.672938199713826
6289,Santiago Ascacibar,13,719,0,0.3245410975068807,0,0.2394837979227304,14,8,1,0,M S,Cremonese,0,0.3245410975068807,1.6430711932480335,1.2236735001206398
8035,Samuel Di Carmine,2,23,0,0.053939301520586,0,0.0,1,0,0,0,S,Cremonese,0,0.053939301520586,0.053939301520586,0.0
8871,Marco Carnesecchi,27,2430,0,0.0,1,0.4115757197141647,0,2,1,0,GK,Cremonese,0,0.0,1.3965469785034657,1.0035979934036732
9138,Tommaso Milanese,2,20,0,0.0,0,0.1312799006700515,0,3,0,0,S,Cremonese,0,0.0,0.0908000022172927,0.0
10077,Felix Afena-Gyan,23,794,0,1.573454374447465,0,0.1365373022854328,21,3,4,0,F M S,Cremonese,0,1.573454374447465,2.2429215647280216,0.9630447197705508
10938,Emanuel Aiwu,23,1637,0,0.0758662316948175,0,0.1516227712854743,3,4,3,0,D S,Cremonese,0,0.0758662316948175,1.7030266216024756,1.5427827052772043
10940,Giacomo Quagliata,20,679,0,0.3579525062814355,1,0.705325985327363,9,13,0,1,D M S,Cremonese,0,0.3579525062814355,1.285959213040769,0.7513819970190525
10941,Christian Acella,1,13,0,0.0,0,0.0,0,0,0,0,S,Cremonese,0,0.0,0.0,0.0
11036,Michele Castagnetti,27,1402,0,0.4735700115561485,1,1.772659558802843,12,25,2,0,M S,Cremonese,0,0.4735700115561485,4.723732424899936,3.4107125028967857
11117,Jack Hendry,4,217,0,0.0,0,0.039395298808813,0,1,1,0,D S,Cremonese,0,0.0,0.2265308983623981,0.187135599553585
11482,Alberto Basso,1,11,0,0.0675310939550399,0,0.0,1,0,0,0,S,Cremonese,0,0.0675310939550399,0.0675310939550399,0.0
