id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7944,Gabriel Strefezza,35,2490,8,6.200784156098962,4,4.351724906824529,69,49,5,0,F M S,Lecce,6,3.9168875012546778,10.515463771298528,3.9286852329969406
10905,Assan Ceesay,34,1824,6,5.534616737626493,0,0.7234046012163162,43,8,2,0,F S,Lecce,5,4.773317902348936,6.192364240065217,1.173143593594432
8478,Lorenzo Colombo,33,1521,5,6.120212663896382,2,2.099439567886293,45,17,4,0,F S,Lecce,4,4.597614844329655,8.333452368155122,2.4184894198551774
6884,Remi Oudin,31,1296,3,1.7650826815515757,0,1.5305240098387003,38,30,3,0,F M S,Lecce,3,1.7650826815515757,3.74467608705163,2.015547691844404
10902,Federico Baschirotto,37,3330,3,2.203796305693686,0,0.462596776895225,21,8,6,0,D,Lecce,3,2.203796305693686,2.1448944099247456,1.9154890906065705
1449,Federico Di Francesco,36,2051,2,3.6530117858201274,2,3.4439872670918703,40,26,6,0,F M S,Lecce,2,3.6530117858201274,6.8861882127821445,0.8109445990994573
7628,Lameck Banda,36,1639,2,2.959470801055432,1,1.367088827304542,36,14,6,0,F M S,Lecce,2,2.959470801055432,4.827993106096983,1.026559923775494
3207,Alexis Blin,35,2376,1,2.975117596797645,0,0.995334199629724,23,15,8,0,D M S,Lecce,1,2.975117596797645,6.872414098121226,4.275244216434658
10904,Joan Gonzàlez,35,2229,1,1.8161845924332736,3,1.6023670099675655,17,15,8,0,M S,Lecce,1,1.8161845924332736,4.975102760829032,3.0367706203833222
1281,Giuseppe Pezzella,16,925,0,0.1325980592519045,1,0.7635912243276834,4,7,2,0,D S,Lecce,0,0.1325980592519045,1.534914162941277,1.2127532428130507
1971,Simone Romagnoli,7,153,0,0.0121958497911691,0,0.0,1,0,0,0,D S,Lecce,0,0.0121958497911691,0.0070645799860358,0.0070645799860358
2043,Kastriot Dermaku,1,31,0,0.0,0,0.0,0,0,0,0,S,Lecce,0,0.0,0.0,0.0
3567,Samuel Umtiti,25,2118,0,0.6503426562994719,0,0.0725647462531924,12,3,8,0,D S,Lecce,0,0.6503426562994719,2.8460891265422106,2.745433152653277
4984,Wladimiro Falcone,38,3420,0,0.0,0,0.088120786473155,0,3,2,0,GK,Lecce,0,0.0,0.8154107015579939,0.7272898014634848
6585,Kristijan Bistrovic,11,464,0,0.4617681000381708,0,0.3679186031222343,8,6,0,0,M S,Lecce,0,0.4617681000381708,0.8901818115264177,0.7162699028849602
7742,Valentin Gendrey,37,3111,0,0.8668723739683628,2,2.642714575864374,10,27,4,0,D S,Lecce,0,0.8668723739683628,7.145823913626373,4.896775901317596
8007,Yildirim Mert Cetin,1,20,0,0.0,0,0.0,0,0,0,0,D,Lecce,0,0.0,0.0,0.0
8009,Antonino Gallo,32,2483,0,0.518067067489028,1,1.8089760625734923,10,38,3,1,D S,Lecce,0,0.518067067489028,4.689418321475387,2.707048837095499
8303,Marin Pongracic,9,794,0,0.0137780997902154,0,0.1133681964129209,1,2,2,0,D,Lecce,0,0.0137780997902154,1.320097791031003,1.206728784367442
8309,Kristoffer Askildsen,21,710,0,0.4141448391601443,0,0.5065091382712126,10,7,3,0,M S,Lecce,0,0.4141448391601443,1.502536976709962,1.1428260076791048
8884,Alessandro Tuia,7,515,0,0.082428902387619,0,0.0162489991635084,2,1,1,0,D S,Lecce,0,0.082428902387619,0.1842466965317726,0.1679976973682642
9878,Pietro Ceccaroni,2,35,0,0.0592290982604026,0,0.0397587865591049,2,1,0,0,S,Lecce,0,0.0592290982604026,0.0123979989439249,0.0
9893,Youssef Maleh,24,980,0,0.8603933043777943,1,0.6259836331009865,13,12,5,0,M S,Lecce,0,0.8603933043777943,2.60530786216259,1.3491609003394842
10903,Morten Hjulmand,35,2967,0,0.491272771731019,4,1.794936815276742,17,25,9,1,M S,Lecce,0,0.491272771731019,7.871476680040359,6.6831129267811775
10906,Thórir Helgason,12,200,0,0.0525697795674204,0,0.5119712520390749,2,4,0,0,M S,Lecce,0,0.0525697795674204,0.1699342830106616,0.1628697030246257
10907,Marcin Listkowski,5,63,0,0.0714624971151351,0,0.0,1,0,0,0,S,Lecce,0,0.0714624971151351,0.0911933965981006,0.0197308994829654
10909,Joel Voelkerling Persson,9,75,0,0.0348738580942153,0,0.0231029000133276,1,1,0,0,S,Lecce,0,0.0348738580942153,0.1747420951724052,0.139868238940835
10911,Pablo Rodríguez,4,42,0,0.0,0,0.0147596001625061,0,1,0,0,S,Lecce,0,0.0,0.0313156992197036,0.0165561009198427
11308,Tommaso Cassandro,1,12,0,0.0,0,0.0,0,0,0,0,S,Lecce,0,0.0,0.0,0.0
