id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3856,Milan Djuric,37,2479,9,7.573165649548173,2,2.5195388458669186,51,21,4,0,F S,Monza,8,5.289269166998565,9.16340547800064,3.656920501962304
6718,Andrea Colpani,38,2751,8,5.195591009221971,4,6.015339965000749,65,57,1,0,F M S,Monza,8,5.195591009221971,16.83323433622718,8.72997466288507
7013,Matteo Pessina,37,3243,6,6.191244266927242,3,1.2209580885246396,28,27,3,1,M,Monza,2,2.3847501277923584,13.443852856755257,10.650530990213156
8163,Daniel Maldini,18,568,4,1.815977042540908,1,0.97320815641433,21,12,1,0,F M S,Monza,4,1.815977042540908,3.545224618166685,1.6822674944996834
8478,Lorenzo Colombo,25,1351,4,4.194637024775147,1,0.4335366464219987,37,8,3,0,F S,Monza,4,4.194637024775147,6.460399262141436,1.996957939118147
10895,Dany Mota,34,2084,4,5.251721445471048,3,3.44157709274441,38,34,3,0,D F M S,Monza,4,5.251721445471048,11.03209387511015,5.333640689961612
11080,Valentín Carboni,31,1137,2,2.1189415901899338,3,1.994642379693687,23,24,2,0,M S,Monza,2,2.1189415901899338,4.993029025383294,2.265473666600883
3,Luca Caldirola,29,2140,1,0.723320740275085,1,0.4904024042189121,9,5,5,1,D S,Monza,1,0.723320740275085,6.14009296707809,5.715118063613772
1496,Roberto Gagliardini,33,2392,1,4.718925521709025,2,1.4507102305069566,36,20,5,0,D M S,Monza,1,4.718925521709025,12.74323767144233,10.012927846051753
8232,Andrea Carboni,21,1489,1,1.466522696428001,0,0.5416123308241367,18,8,1,0,D S,Monza,1,1.466522696428001,5.455737911164761,3.9659536480903625
10897,Samuele Vignato,10,332,1,1.6053274646401403,0,0.1686290772631764,7,4,2,0,M S,Monza,1,1.6053274646401403,2.085781052708626,0.4161661900579929
10898,Warren Bondo,25,1456,1,1.0160550205036998,1,0.5501793222501874,17,7,9,0,M S,Monza,1,1.0160550205036998,5.249609800055623,3.849331934005022
11498,Mirko Maric,10,266,1,1.1588000692427158,0,0.7266653086990118,7,5,0,0,F S,Monza,1,1.1588000692427158,2.1612824201583862,0.7623992189764977
193,Giulio Donati,4,23,0,0.018066257238388,0,0.3515257742255926,1,3,1,0,S,Monza,0,0.018066257238388,0.3898247182369232,0.0339217595756053
1096,Armando Izzo,23,1663,0,0.5234021171927452,0,0.7562816748395562,5,7,9,0,D S,Monza,0,0.5234021171927452,5.485083221457899,5.326382507570088
1170,Gianluca Caprari,6,284,0,0.774406723678112,0,0.9869644418358804,8,11,0,0,F M S,Monza,0,0.774406723678112,1.630188811570406,0.2261303663253784
1241,Pedro Pereira,23,828,0,0.1887575536966323,2,1.635898425243795,3,14,3,0,D S,Monza,0,0.1887575536966323,3.2076416639611125,1.5267320713028312
1491,Alejandro Gomez,2,37,0,0.0,0,0.1360279321670532,0,1,0,0,S,Monza,0,0.0,0.8234249874949455,0.6873970553278923
1523,Danilo D&#039;Ambrosio,24,1525,0,0.7400869764387608,0,0.2313196407631039,14,4,3,1,D S,Monza,0,0.7400869764387608,4.484826764091849,4.147360630333424
1946,Pepín,10,224,0,0.1443074801936745,0,0.076927326619625,5,2,2,0,M S,Monza,0,0.1443074801936745,0.7213570214807987,0.598285373300314
3209,Jean-Daniel Akpa-Akpro,19,685,0,0.3536526430398226,0,0.0818582475185394,7,1,5,0,D M S,Monza,0,0.3536526430398226,2.5619549266994,2.149956703186035
4911,Alessio Zerbin,20,820,0,0.7994290422648191,1,1.5719266142696142,9,16,0,1,D F M S,Monza,0,0.7994290422648191,3.744940564036369,2.1480026189237837
7124,Davide Bettella,1,1,0,0.0,0,0.0,0,0,0,0,S,Monza,0,0.0,0.0,0.0
8034,Georgios Kyriakopoulos,28,1722,0,1.161013673990965,3,1.8630351405590773,24,21,3,0,D S,Monza,0,1.161013673990965,5.851192948408425,4.496173164341599
8380,Pablo Marí,34,2609,0,0.3156427722424269,0,0.6654438972473145,8,4,7,0,D S,Monza,0,0.3156427722424269,5.760206629522145,5.714745820499957
10268,Giorgio Cittadini,6,117,0,0.0,0,0.0,0,0,1,0,D S,Monza,0,0.0,0.0826758220791816,0.0826758220791816
10890,Michele Di Gregorio,33,2872,0,0.0,0,0.0,0,0,0,0,GK,Monza,0,0.0,5.725842714309692,5.725842714309692
10892,Samuele Birindelli,35,2006,0,1.2049254719167948,2,2.6630832497030497,25,23,7,0,D S,Monza,0,1.2049254719167948,9.27482590917498,6.304812270216644
10894,Patrick Ciurria,22,1606,0,1.475392802618444,1,3.146348964422941,28,31,2,0,D F M S,Monza,0,1.475392802618444,7.059582455083728,3.7341069895774126
10896,Alessandro Sorrentino,7,548,0,0.0,0,0.0,0,0,0,0,GK S,Monza,0,0.0,0.5653340164572,0.5653340164572
11413,Andrea Ferraris,1,8,0,0.0,0,0.0,0,0,0,0,S,Monza,0,0.0,0.0,0.0
