id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1148,Duván Zapata,37,3036,13,12.924597828648984,4,3.023106226697564,104,29,2,0,F S,Torino,13,12.924597828648984,16.45599003881216,6.094204256311059
2217,Antonio Sanabria,35,2156,5,10.537829289212825,0,1.1701391767710447,54,15,2,0,F M S,Torino,3,9.015231618657708,12.769075983203948,5.5119775626808405
5025,Alessandro Buongiorno,29,2531,3,2.133894484490156,0,0.1651349896565079,13,4,7,0,D,Torino,3,2.133894484490156,6.109036276116967,5.352526945993304
6276,Nikola Vlasic,33,2630,3,3.2144442331045866,2,3.407337000593543,46,35,3,0,F M S,Torino,3,3.2144442331045866,13.114470873959364,7.353357671760023
7160,Nemanja Radonjic,10,370,3,1.1274005435407162,0,0.4384387284517288,12,3,1,0,M S,Torino,3,1.1274005435407162,1.6060902811586857,0.0977730359882116
8828,Ivan Ilic,31,2097,3,2.571698747575283,2,5.4198929220438,27,47,3,0,M S,Torino,3,2.571698747575283,7.87908730097115,4.572807356715202
308,Ricardo Rodríguez,35,2792,1,0.2766037099063396,2,1.4691500328481195,11,20,4,0,D M S,Torino,1,0.2766037099063396,8.555893468670547,7.499153194949031
4932,Pietro Pellegri,24,728,1,1.5631389655172825,1,0.1794552765786647,13,4,3,0,F M S,Torino,1,1.5631389655172825,1.3027387280017138,0.4921676684170961
6412,Raoul Bellanova,37,3104,1,1.7604174735024571,7,6.650871468707919,32,52,5,0,D M S,Torino,1,1.7604174735024571,11.59403127618134,6.98616261780262
7530,Samuele Ricci,32,2425,1,1.2500714594498277,2,2.916640043258667,30,26,6,1,M S,Torino,1,1.2500714594498277,9.489967902190983,6.507628761231899
11008,Perr Schuurs,9,771,1,0.7242057342082262,0,0.1234192624688148,7,1,2,0,D,Torino,1,0.7242057342082262,1.1792714418843389,0.8482931600883603
12155,Zanos Savva,2,25,1,0.4502986371517181,0,0.0,1,0,0,0,S,Torino,1,0.4502986371517181,1.0481181144714355,0.5978194624185562
1226,Karol Linetty,28,1856,0,0.5407502222806215,0,1.1149951126426458,16,15,12,0,M S,Torino,0,0.5407502222806215,5.900664731860161,4.934686308726668
1441,Adam Masina,20,1081,0,0.2205374017357826,0,0.0827008336782455,6,2,2,0,D S,Torino,0,0.2205374017357826,3.518620727583766,3.4830709267407656
1445,Simone Verdi,1,1,0,0.0,0,0.0604485683143138,0,1,0,0,S,Torino,0,0.0,0.0604485683143138,0.0
3550,Koffi Djidji,13,751,0,0.0930693745613098,0,0.0,2,0,2,0,D S,Torino,0,0.0930693745613098,2.632842756807804,2.632842756807804
5700,Yann Karamoh,10,135,0,0.1784261763095855,0,0.0946688055992126,2,1,0,0,M S,Torino,0,0.1784261763095855,0.4036844819784164,0.1825510412454605
5996,Adrien Tameze,29,2171,0,0.4694110434502363,2,2.187949159182608,9,19,6,1,D M S,Torino,0,0.4694110434502363,8.490508006885648,7.367256930097938
6167,Vanja Milinkovic-Savic,36,3240,0,0.0,0,0.0,0,0,2,0,GK,Torino,0,0.0,4.207985732704401,4.207985732704401
6352,Valentino Lazaro,35,1966,0,2.348205342888832,4,3.1190716549754143,18,34,3,0,D M S,Torino,0,2.348205342888832,7.661769658327103,4.8102430403232574
7324,Luca Gemello,2,180,0,0.0,0,0.0,0,0,0,0,GK,Torino,0,0.0,0.6422152072191238,0.6422152072191238
8522,Matteo Lovato,26,1482,0,0.0544194560497999,0,0.1685897819697857,2,3,4,0,D S,Torino,0,0.0544194560497999,3.056273942813277,2.9812231678515677
8639,Brandon Soppy,5,173,0,0.0183064453303813,0,0.0406885482370853,1,1,0,0,D S,Torino,0,0.0183064453303813,0.441145472228527,0.441145472228527
8819,Mergim Vojvoda,28,1372,0,0.2669189944863319,3,1.501221808604896,9,18,3,0,D M S,Torino,0,0.2669189944863319,5.784149983897805,5.116446918807924
9381,Saba Sazonov,12,340,0,0.3835054039955139,0,0.0382866822183132,1,1,2,0,D S,Torino,0,0.3835054039955139,0.3872452601790428,0.3489585816860199
9905,David Okereke,9,238,0,0.3632239531725645,0,0.1005034651607275,8,2,0,0,F M S,Torino,0,0.3632239531725645,1.143243219703436,0.7818590216338634
9982,David Zima,5,81,0,0.0,0,0.0,0,0,0,0,S,Torino,0,0.0,0.335852712392807,0.335852712392807
10396,Demba Seck,20,716,0,1.4840920213609934,0,0.7436612918972969,16,5,1,0,F M S,Torino,0,1.4840920213609934,2.7555592600256205,0.7159791886806488
11278,Gvidas Gineitis,14,522,0,0.6061288490891457,0,0.4122712407261133,9,8,2,0,M S,Torino,0,0.6061288490891457,2.425183964893222,2.0006659291684628
12597,Alessandro Dellavalle,1,13,0,0.0,0,0.0,0,0,0,0,S,Torino,0,0.0,0.0553994327783584,0.0553994327783584
