id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3856,Milan Djuric,37,2479,9,7.573165649548173,2,2.5195388458669186,51,21,4,0,F S,Verona,8,5.289269166998565,9.16340547800064,3.656920501962304
11306,Cyril Ngonge,32,1750,8,5.592625975608826,2,2.7090163761749864,59,30,6,0,F M S,Verona,8,5.592625975608826,8.655464269220829,2.435427289456129
11877,Michael Folorunsho,34,2827,5,4.301565490663052,1,1.3998309317976236,47,18,5,0,F M S,Verona,5,4.301565490663052,6.740188028663397,2.493741159327328
12378,Tijjani Noslin,17,1368,5,3.635997879318893,4,1.871297030709684,36,26,2,0,F M,Verona,5,3.635997879318893,7.412537131458521,2.347518300637603
1106,Darko Lazovic,32,1965,3,3.126208140514791,2,3.6228156751021743,34,31,0,1,D F M S,Verona,2,2.364909335039556,7.023141970857978,2.464788753539324
2019,Federico Bonazzoli,24,997,3,2.0861231544986367,1,1.164365341886878,27,8,2,0,F S,Verona,3,2.0861231544986367,4.569867891259491,2.4164443155750632
3751,Thomas Henry,18,287,3,3.1893111262470484,0,0.088482798077166,14,3,2,2,F S,Verona,3,2.428012298420072,2.4909921092912555,0.3665539622306824
12095,Tomás Suslov,32,2105,3,3.3827812066301703,5,3.2258242769166827,53,28,7,0,M S,Verona,2,2.6214823788031936,5.601638951338828,2.192126054316759
10169,Diego Coppola,24,1639,2,1.7048195209354162,0,0.1992175914347171,13,4,9,0,D S,Verona,2,1.7048195209354162,1.786657601594925,1.6403288803994656
12419,Karol Swiderski,15,484,2,2.0812334790825844,0,0.3934734687209129,15,8,0,0,F M S,Verona,2,2.0812334790825844,2.516543637961149,0.1879445556551218
5240,Ondrej Duda,32,2505,1,2.166810128837824,4,3.7828885642811656,23,54,10,2,M S,Verona,1,1.4055112935602665,6.363787721842527,4.314336875453591
307,Suat Serdar,25,1661,0,1.060647669248283,2,1.1698606880381703,22,17,7,0,M S,Verona,0,1.060647669248283,3.126561622135341,1.5272986348718405
1313,Riccardo Saponara,12,323,0,0.1368810683488845,0,0.2080950513482093,5,3,0,0,F M S,Verona,0,0.1368810683488845,0.863316722214222,0.5749543663114309
3978,Marco Faraoni,19,997,0,0.575445618480444,2,0.6825410705059767,10,12,5,0,D M S,Verona,0,0.575445618480444,2.771657489240169,2.286839947104454
5103,Martin Hongla,15,1079,0,0.0897515546530485,0,0.2959393579512834,3,9,0,0,M S,Verona,0,0.0897515546530485,1.571519217453897,1.2555691627785563
6396,Jordi Mboula,11,311,0,0.4280407819896936,1,0.2378566563129425,4,3,0,0,F M S,Verona,0,0.4280407819896936,1.693010849878192,1.088365314528346
6856,Rúben Vinagre,12,267,0,0.0243673538789153,0,0.2362872082740068,2,5,0,0,D S,Verona,0,0.0243673538789153,0.2730931071564555,0.1428012885153293
7002,Giangiacomo Magnani,33,2433,0,0.5251049250364304,0,0.4376089368015528,11,6,6,0,D S,Verona,0,0.5251049250364304,4.217370260506868,3.738872779533267
7763,Fabien Centonze,10,680,0,0.009466852992773,1,0.8775856494903564,1,6,2,0,D S,Verona,0,0.009466852992773,1.5264255739748478,0.8688952811062336
7923,Pawel Dawidowicz,28,2144,0,0.4296509325504303,0,0.0400943383574485,9,2,5,0,D M S,Verona,0,0.4296509325504303,2.514886982738972,2.4780776873230934
8512,Filippo Terracciano,21,1361,0,0.342523486353457,1,1.1813033670186996,8,17,2,0,D M S,Verona,0,0.342523486353457,3.91193412989378,2.6313380654901266
8881,Lorenzo Montipò,37,3330,0,0.0,1,0.0145514784380793,0,1,0,0,GK,Verona,0,0.0,2.229683101177216,2.2151316218078136
